Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;24;8;1;0;0;0;0;0;0;0;24;8;1;0;0;98,076389;106.296;0;58887.9;0;52500;26500;13334
1_0;1;0;0;1;0;0;0;0;22;13;0;0;0;0;0;0;1;0;22;13;0;1;0;96,451389;105.205;0;62070.9;45448.5;52500;13000;6667
2_0;1;0;0;2;0;0;0;0;22;4;1;0;0;0;0;0;1;1;22;4;1;0;1;94,465278;84.6637;0;37590.7;97363.2;52500;22500;13334
3_0;1;0;0;2;0;0;0;0;23;8;1;0;0;0;0;0;1;1;23;8;1;0;0;93,128472;83.6099;0;45065.8;120398;52500;26500;13334
4_0;1;0;0;2;0;0;0;0;27;3;1;0;0;0;0;0;1;1;27;3;1;0;0;93,267361;93.2017;0;46507.6;134210;52500;21500;13334
5_0;2;1;0;3;0;0;0;0;50;19;2;2;0;0;0;0;0;1;50;19;2;1;0;95,704861;102.297;0;179430;73654.1;390000;203000;20001
0_1;1;0;0;2;0;0;0;0;23;16;1;0;0;0;0;0;0;0;23;16;1;0;0;97,572917;106.296;0;74300.8;0;52500;34500;13334
1_1;1;0;0;1;0;0;0;0;28;5;0;0;0;0;0;0;0;0;28;5;0;0;0;98,194444;105.205;0;54706.6;0;52500;5000;6667
2_1;1;0;0;2;0;0;0;0;21;5;1;0;0;0;0;0;0;0;21;5;1;0;0;98,440972;84.6637;0;38014;0;52500;23500;13334
3_1;1;0;0;2;0;0;0;0;24;10;0;0;0;0;0;0;0;0;24;10;0;0;0;98,055556;83.6099;0;46821.6;0;52500;10000;13334
4_1;1;0;0;2;0;0;0;0;22;14;0;0;0;0;0;0;0;0;22;14;0;0;0;97,881944;93.2017;0;56853;0;52500;14000;13334
5_1;2;1;0;3;0;0;0;0;56;20;2;0;0;0;0;0;0;1;56;20;2;0;1;96,555556;102.297;0;133805;69153;390000;57000;20001
0_2;1;0;0;2;0;0;0;0;28;13;0;0;0;0;0;0;0;0;28;13;0;0;0;97,638889;106.296;0;72281.2;0;52500;13000;13334
1_2;1;0;0;1;0;0;0;0;27;9;0;0;0;0;0;0;0;0;27;9;0;0;0;97,968750;105.205;0;61544.9;0;52500;9000;6667
2_2;1;0;0;2;0;0;0;0;21;12;0;0;0;0;0;0;0;0;21;12;0;0;0;98,072917;84.6637;0;46988.3;0;52500;12000;13334
3_2;1;0;0;2;0;0;0;0;25;11;2;0;0;0;0;0;0;0;25;11;2;0;0;97,697917;83.6099;0;55433.4;0;52500;48000;13334
4_2;1;0;0;2;0;0;0;0;27;11;4;0;0;0;0;0;0;0;27;11;4;0;0;97,357639;93.2017;0;70926.5;0;52500;85000;13334
5_2;2;1;0;3;0;0;0;0;48;16;0;0;0;0;0;0;0;1;48;16;0;0;1;97,848958;102.297;0;106389;20357.2;390000;16000;20001
0_3;1;0;0;2;0;0;0;0;21;10;0;0;0;0;0;0;0;0;21;10;0;0;0;98,211806;106.296;0;54742.4;0;52500;10000;13334
1_3;1;0;0;1;0;0;0;0;21;9;2;0;0;0;0;0;1;0;21;9;2;1;0;96,895833;105.205;0;59230.4;34822.8;52500;46000;6667
2_3;1;0;0;2;0;0;0;0;26;11;3;0;0;0;0;0;1;0;26;11;3;0;0;95,027778;84.6637;0;60280.5;60957.8;52500;66500;13334
3_3;1;0;0;2;0;0;0;0;26;8;2;0;0;0;0;0;1;0;26;8;2;0;0;95,354167;83.6099;0;51670.9;60199.2;52500;45000;13334
4_3;1;0;0;2;0;0;0;0;28;15;3;0;0;0;0;0;1;0;28;15;3;0;0;94,645833;93.2017;0;76611.8;67105.2;52500;70500;13334
5_3;2;1;0;3;0;0;0;0;46;22;2;1;0;0;0;0;0;0;46;22;2;0;0;97,875000;102.297;0;125212;0;390000;132500;20001
0_4;1;0;0;2;0;0;0;0;23;9;2;0;0;0;0;0;0;0;23;9;2;0;0;97,940972;106.296;0;63033.4;0;52500;46000;13334
1_4;1;0;0;1;0;0;0;0;26;10;1;0;0;0;0;0;0;0;26;10;1;0;0;97,833333;105.205;0;65647.9;0;52500;28500;6667
2_4;1;0;0;2;0;0;0;0;27;15;0;0;0;0;0;0;0;1;27;15;0;0;1;95,534722;84.6637;0;59687.9;49189.6;52500;15000;13334
3_4;1;0;0;2;0;0;0;0;30;12;3;0;0;0;0;0;0;1;30;12;3;0;0;94,750000;83.6099;0;66219.1;60199.2;52500;67500;13334
4_4;1;0;0;2;0;0;0;0;31;8;0;0;0;0;0;0;0;1;31;8;0;0;0;95,329861;93.2017;0;58251;67105.2;52500;8000;13334
5_4;2;1;0;3;0;0;0;0;45;15;3;0;0;0;0;0;0;1;45;15;3;0;0;96,880208;102.297;0;110174;73654.1;390000;70500;20001
