Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;36;15;0;0;0;0;0;0;0;0;36;15;0;0;0;98,055556;142;0;119280;0;52500;15000;20001
1_0;1;0;0;3;0;0;0;0;36;18;1;0;0;0;0;1;0;0;36;18;2;0;0;97,534722;142;0;132628;18602;52500;36500;20001
2_0;1;0;0;3;0;0;0;0;34;17;3;0;0;0;0;0;0;0;34;17;2;0;0;97,824074;142;0;133480;0;52500;72500;20001
3_0;1;0;0;3;0;0;0;0;33;18;0;0;0;0;0;0;0;0;33;18;0;0;0;98,020833;142;0;121410;0;52500;18000;20001
4_0;1;0;0;3;0;0;0;0;44;15;1;0;0;0;0;0;0;0;44;15;1;0;0;97,699074;142;0;141148;0;52500;33500;20001
5_0;2;0;0;4;0;0;0;0;78;20;4;0;0;0;0;0;1;0;78;20;4;1;0;97,819444;142;0;242252;25276;105000;94000;26668
0_1;1;0;0;3;0;0;0;0;37;21;0;0;0;0;0;0;0;0;37;21;0;0;0;97,743056;142;0;138450;0;52500;21000;20001
1_1;1;0;0;3;0;0;0;0;35;14;0;0;0;0;0;0;0;0;35;14;0;0;0;98,136574;142;0;114310;0;52500;14000;20001
2_1;1;0;0;3;0;0;0;0;38;19;0;0;0;0;0;1;0;0;38;19;1;0;0;97,178241;142;0;134900;38198;52500;19000;20001
3_1;1;0;0;3;0;0;0;0;36;18;2;0;0;0;0;0;1;0;36;18;1;1;0;96,472222;142;0;135752;80656;52500;55000;20001
4_1;1;0;0;3;0;0;0;0;38;10;0;0;0;0;0;0;1;0;38;10;0;0;0;96,550926;142;0;109340;102240;52500;10000;20001
5_1;2;0;0;4;0;0;0;0;65;39;1;0;0;0;0;0;2;0;65;39;1;1;0;96,278935;142;0;254038;202492;105000;57500;26668
0_2;1;0;0;3;0;0;0;0;38;14;2;0;0;0;0;0;0;0;38;14;2;0;0;97,875000;142;0;130356;0;52500;51000;20001
1_2;1;0;0;3;0;0;0;0;36;14;1;0;0;0;0;0;0;0;36;14;1;0;0;98,023148;142;0;121268;0;52500;32500;20001
2_2;1;0;0;3;0;0;0;0;36;14;1;0;0;0;0;0;0;1;36;14;1;0;1;97,569444;142;0;121268;27832;52500;32500;20001
3_2;1;0;0;3;0;0;0;0;36;16;2;0;0;0;0;0;1;2;36;16;2;1;1;95,504630;142;0;131776;143988;52500;53000;20001
4_2;1;0;0;3;0;0;0;0;40;15;1;0;0;0;0;0;2;3;40;15;1;1;1;92,178241;142;0;132628;347190;52500;33500;20001
5_2;2;0;0;4;0;0;0;0;80;36;2;0;0;0;0;0;3;3;80;36;2;1;0;92,745370;142;0;282296;607760;105000;73000;26668
0_3;1;0;0;3;0;0;0;0;40;14;1;0;0;0;0;0;0;0;40;14;1;0;0;97,884259;142;0;129788;0;52500;32500;20001
1_3;1;0;0;3;0;0;0;0;42;24;1;0;0;0;0;0;0;0;42;24;1;0;0;97,351852;142;0;162448;0;52500;42500;20001
2_3;1;0;0;3;0;0;0;0;42;8;0;0;0;0;0;0;0;1;42;8;0;0;1;96,541667;142;0;112180;99968;52500;8000;20001
3_3;1;0;0;3;0;0;0;0;36;14;0;0;0;0;0;0;0;1;36;14;0;0;0;96,435185;142;0;116440;102240;52500;14000;20001
4_3;1;0;0;3;0;0;0;0;30;13;1;0;0;0;0;0;0;1;30;13;1;0;0;96,611111;142;0;105648;102240;52500;31500;20001
5_3;2;0;0;4;0;0;0;0;79;24;2;0;0;0;0;0;0;1;79;24;2;0;0;97,160880;142;0;246086;102240;105000;61000;26668
0_4;1;0;0;3;0;0;0;0;37;14;2;0;0;0;0;0;0;0;37;14;2;0;0;97,909722;142;0;128226;0;52500;51000;20001
1_4;1;0;0;3;0;0;0;0;37;16;1;0;0;0;0;0;0;0;37;16;1;0;0;97,895833;142;0;129078;0;52500;34500;20001
2_4;1;0;0;3;0;0;0;0;42;9;1;0;0;0;0;0;0;0;42;9;1;0;0;98,046296;142;0;119848;0;52500;27500;20001
3_4;1;0;0;3;0;0;0;0;34;14;1;0;0;0;0;0;0;0;34;14;1;0;0;98,092593;142;0;117008;0;52500;32500;20001
4_4;1;0;0;3;0;0;0;0;42;15;1;0;0;0;0;0;1;0;42;15;1;1;0;96,358796;142;0;136888;86478;52500;33500;20001
5_4;2;0;0;4;0;0;0;0;67;23;2;0;0;0;0;0;1;0;67;23;2;0;0;97,392361;142;0;217686;102240;105000;60000;26668
