Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;34;15;1;0;0;0;0;0;0;0;34;15;1;0;0;98,046296;106.296;0;89713.7;0;52500;33500;20001
1_0;1;0;0;3;0;0;0;0;33;16;1;0;0;0;0;0;0;0;33;16;1;0;0;98,034722;105.205;0;89319;0;52500;34500;20001
2_0;1;0;0;5;0;0;0;0;41;16;3;0;0;0;0;0;0;0;41;16;3;0;0;97,599537;84.6637;0;87796.2;0;52500;71500;33335
3_0;1;0;0;5;0;0;0;0;36;14;3;0;1;0;0;0;0;1;36;14;3;0;2;93,662037;83.6099;0;201834;27089.6;52500;404000;33335
4_0;2;0;0;5;0;0;0;0;37;19;4;0;1;0;0;0;0;0;37;19;4;0;0;97,400463;93.2017;0;104665;0;105000;427500;33335
5_0;3;0;0;5;0;0;0;0;75;34;6;0;0;0;0;0;0;0;75;34;6;0;0;97,674769;102.297;0;205515;0;157500;145000;33335
0_1;1;0;0;3;0;0;0;0;43;12;1;0;0;0;0;0;0;0;43;12;1;0;0;97,872685;106.296;0;97685.9;0;52500;30500;20001
1_1;1;0;0;3;0;0;0;0;44;15;1;0;0;0;0;0;0;0;44;15;1;0;0;97,699074;105.205;0;104574;0;52500;33500;20001
2_1;1;0;0;5;0;0;0;0;37;9;0;2;0;0;0;0;0;0;37;9;0;2;0;95,844907;84.6637;0;151971;0;52500;156000;33335
3_1;1;0;0;5;0;0;0;0;35;13;1;0;0;0;0;0;0;0;35;13;1;0;0;98,104167;83.6099;0;68476.5;0;52500;31500;33335
4_1;2;0;0;5;0;0;0;0;40;16;2;0;1;0;0;0;0;0;40;16;2;0;1;94,259259;93.2017;0;231140;0;105000;387500;33335
5_1;3;0;0;5;0;0;0;0;74;25;3;0;1;0;0;0;0;0;74;25;3;0;1;96,291667;102.297;0;327761;0;157500;415000;33335
0_2;1;0;0;3;0;0;0;0;36;14;2;0;0;0;0;0;0;0;36;14;2;0;0;97,944444;106.296;0;94390.7;0;52500;51000;20001
1_2;1;0;0;3;0;0;0;0;33;17;2;0;0;0;0;0;0;0;33;17;2;0;0;97,909722;105.205;0;95000;0;52500;54000;20001
2_2;1;0;0;5;0;0;0;0;38;10;3;0;1;0;0;0;0;0;38;10;3;0;1;94,527778;84.6637;0;200145;0;52500;400000;33335
3_2;1;0;0;5;0;0;0;0;34;17;1;0;0;0;0;0;0;0;34;17;1;0;0;97,953704;83.6099;0;73911.2;0;52500;35500;33335
4_2;2;0;0;5;0;0;0;0;35;13;0;0;0;0;0;0;0;0;35;13;0;0;0;98,182870;93.2017;0;73163.3;0;105000;13000;33335
5_2;3;0;0;5;0;0;0;0;76;30;4;0;1;0;0;0;0;1;76;30;4;0;2;96,041667;102.297;0;344538;5319.46;157500;438500;33335
0_3;1;0;0;3;0;0;0;0;34;16;1;0;0;0;0;0;0;0;34;16;1;0;0;98,000000;106.296;0;91839.6;0;52500;34500;20001
1_3;1;0;0;3;0;0;0;0;41;10;1;0;0;0;0;0;0;0;41;10;1;0;0;98,034722;105.205;0;89319;0;52500;28500;20001
2_3;1;0;0;5;0;0;0;0;38;16;0;0;0;0;0;0;0;0;38;16;0;0;0;97,939815;84.6637;0;75350.6;0;52500;16000;33335
3_3;1;0;0;5;0;0;0;0;37;19;1;0;0;0;0;0;0;0;37;19;1;0;0;97,756944;83.6099;0;81018;0;52500;37500;33335
4_3;2;0;0;5;0;0;0;0;42;12;2;0;0;0;0;0;0;0;42;12;2;0;0;97,828704;93.2017;0;87423.1;0;105000;49000;33335
5_3;3;0;0;5;0;0;0;0;70;33;4;0;0;0;0;0;0;0;70;33;4;0;0;97,863426;102.297;0;188841;0;157500;107000;33335
0_4;1;0;0;3;0;0;0;0;38;12;0;0;0;0;0;0;0;0;38;12;0;0;0;98,125000;106.296;0;86099.6;0;52500;12000;20001
1_4;1;0;0;3;0;0;0;0;29;15;0;0;0;0;0;0;0;0;29;15;0;0;0;98,298611;105.205;0;77325.6;0;52500;15000;20001
2_4;1;0;0;5;0;0;0;0;40;19;1;0;0;0;0;0;0;0;40;19;1;0;0;97,652778;84.6637;0;85848.9;0;52500;37500;33335
3_4;1;0;0;5;0;0;0;0;31;13;2;0;0;0;0;0;0;0;31;13;2;0;0;98,164352;83.6099;0;66302.7;0;52500;50000;33335
4_4;2;0;0;5;0;0;0;0;40;13;2;0;0;0;0;0;0;0;40;13;2;0;0;97,851852;93.2017;0;86491.1;0;105000;50000;33335
5_4;3;0;0;5;0;0;0;0;78;25;4;0;0;0;0;0;0;0;78;25;4;0;0;97,909722;102.297;0;184749;0;157500;99000;33335
