Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;62;23;2;0;0;0;0;0;0;0;62;23;2;0;0;97,975000;106.296;0;154979;0;105000;60000;20001
1_0;2;0;0;4;0;0;0;0;64;21;4;0;0;0;0;0;0;0;64;21;4;0;0;97,894444;105.205;0;159491;0;105000;95000;26668
2_0;2;0;0;3;0;0;0;0;62;27;3;0;0;0;0;0;0;0;62;27;3;0;0;97,816667;84.6637;0;133091;0;105000;82500;20001
3_0;2;0;0;4;0;0;0;0;63;20;4;0;1;0;0;0;0;0;63;20;4;0;1;95,870833;83.6099;0;248572;0;105000;428500;26668
4_0;2;0;0;4;0;0;0;0;59;21;1;0;0;0;0;0;0;0;59;21;1;0;0;98,140278;93.2017;0;124797;0;105000;39500;26668
5_0;3;0;0;3;0;0;0;0;61;16;2;0;0;0;0;0;0;2;61;16;2;0;2;97,597222;102.297;0;133293;43681;157500;53000;20001
6_0;3;0;0;3;0;0;0;0;63;26;1;0;0;0;0;0;0;2;63;26;1;0;0;95,918056;124.668;0;186878;179523;157500;44500;20001
7_0;4;0;0;3;0;0;0;0;56;32;5;0;0;0;0;0;0;3;56;32;5;0;1;94,911111;128.355;0;211786;258507;210000;124500;20001
8_0;4;0;0;3;0;0;0;0;58;24;1;0;0;0;0;0;0;3;58;24;1;0;0;95,077778;169.512;0;234605;366146;210000;42500;20001
9_0;4;0;0;3;0;0;0;0;57;37;4;0;0;0;0;0;0;4;57;37;4;0;1;94,484722;155.618;0;269375;348584;210000;111000;20001
10_0;3;0;0;3;0;0;0;0;70;18;4;0;0;0;0;0;0;5;70;18;4;0;1;93,080556;149.164;0;230607;512526;157500;92000;20001
11_0;4;0;0;6;0;0;0;0;128;47;3;0;0;0;0;0;0;6;128;47;3;0;1;95,377083;125.69;0;372294;464425;210000;102500;40002
