Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;27;10;1;0;0;0;0;0;0;0;27;10;1;0;0;97,781250;142;0;90738;0;52500;28500;20001
1_0;1;0;0;3;0;0;0;0;27;16;1;0;0;0;0;0;0;0;27;16;1;0;0;97,364583;142;0;107778;0;52500;34500;20001
2_0;1;0;0;3;0;0;0;0;26;12;1;0;0;0;0;0;1;0;26;12;1;1;0;96,725694;142;0;94288;39618;52500;30500;20001
3_0;1;0;0;3;0;0;0;0;25;8;1;0;0;0;0;0;1;1;25;8;1;0;1;94,371528;142;0;80798;149384;52500;26500;20001
4_0;1;0;0;3;0;0;0;0;26;11;0;0;0;0;0;0;1;1;26;11;0;0;0;92,881944;142;0;86620;204480;52500;11000;20001
5_0;1;1;0;4;0;0;0;0;25;7;1;1;0;0;0;0;0;1;25;7;1;0;0;95,503472;142;0;81650;102240;337500;99000;26668
6_0;1;0;0;3;0;0;0;0;23;14;2;0;0;0;0;0;0;1;23;14;2;0;0;95,093750;142;0;98406;102240;52500;51000;20001
7_0;1;1;0;4;0;0;0;0;31;12;0;0;0;0;0;0;0;2;31;12;0;0;1;94,545139;142;0;100110;122972;337500;12000;26668
8_0;1;0;0;3;0;0;0;0;27;11;1;0;0;0;0;0;0;3;27;11;1;0;1;90,927083;142;0;93578;277468;52500;29500;20001
9_0;1;0;0;3;0;0;0;0;30;7;1;0;0;0;0;0;0;3;30;7;1;0;0;90,333333;142;0;88608;306720;52500;25500;20001
10_0;1;0;0;3;0;0;0;0;28;12;1;0;0;0;0;0;0;3;28;12;1;0;0;90,090278;142;0;98548;306720;52500;30500;20001
11_0;1;1;0;4;0;0;0;0;51;18;3;0;0;0;0;0;0;3;51;18;3;0;0;94,119792;142;0;174234;306720;337500;73500;26668
0_1;1;0;0;3;0;0;0;0;30;8;1;0;0;0;0;0;1;0;30;8;1;1;0;95,454861;142;0;91448;94430;52500;26500;20001
1_1;1;0;0;3;0;0;0;0;19;10;1;0;0;0;0;0;1;0;19;10;1;0;0;95,697917;142;0;73698;102240;52500;28500;20001
