Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;37;14;3;0;0;0;0;0;0;0;37;14;3;0;0;97,831019;142;0;133054;0;52500;69500;13334
1_0;1;0;0;2;0;0;0;0;44;14;0;0;0;0;0;0;0;0;44;14;0;0;0;97,824074;142;0;133480;0;52500;14000;13334
2_0;1;0;0;2;0;0;0;0;40;12;3;0;0;0;0;0;0;0;40;12;3;0;0;97,819444;142;0;133764;0;52500;67500;13334
3_0;1;0;0;2;0;0;0;0;36;16;2;0;0;0;0;0;1;0;36;16;2;1;0;96,571759;142;0;131776;78526;52500;53000;13334
4_0;1;0;0;2;0;0;0;0;32;9;1;0;0;0;0;0;1;0;32;9;1;0;0;96,726852;142;0;98548;102240;52500;27500;13334
5_0;1;1;0;2;0;0;0;0;42;20;0;2;0;0;0;0;0;0;42;20;0;1;0;96,328704;142;0;225212;0;337500;167000;13334
6_0;1;0;0;2;0;0;0;0;36;20;2;0;0;0;0;0;0;0;36;20;2;0;0;97,666667;142;0;143136;0;52500;57000;13334
7_0;1;0;0;2;0;0;0;0;43;23;2;0;0;0;0;0;0;0;43;23;2;0;0;97,284722;142;0;166566;0;52500;60000;13334
8_0;1;0;0;2;0;0;0;0;33;15;1;0;0;0;0;0;0;1;33;15;1;0;1;97,942130;142;0;117718;8520;52500;33500;13334
9_0;1;0;0;2;0;0;0;0;40;26;1;0;0;0;0;0;0;1;40;26;1;0;0;95,662037;142;0;163868;102240;52500;44500;13334
10_0;1;1;0;2;0;0;0;0;44;16;0;0;0;0;0;0;0;2;44;16;0;0;1;95,331019;142;0;139160;147254;337500;16000;13334
11_0;2;1;0;3;0;0;0;0;78;28;2;0;0;0;0;0;0;2;78;28;2;0;0;96,252315;142;0;255316;204480;390000;65000;20001
0_1;1;0;0;2;0;0;0;0;36;13;2;0;0;0;0;0;0;0;36;13;2;0;0;97,990741;142;0;123256;0;52500;50000;13334
1_1;1;0;0;2;0;0;0;0;41;11;2;0;0;0;0;0;0;0;41;11;2;0;0;97,909722;142;0;128226;0;52500;48000;13334
2_1;1;0;0;2;0;0;0;0;34;15;1;0;0;0;0;0;0;1;34;15;1;0;1;97,097222;142;0;119848;58220;52500;33500;13334
3_1;1;0;0;2;0;0;0;0;38;9;1;0;0;0;0;0;0;1;38;9;1;0;0;96,518519;142;0;111328;102240;52500;27500;13334
4_1;1;0;0;2;0;0;0;0;44;20;1;0;0;0;0;0;0;2;44;20;1;0;1;94,967593;142;0;155348;153360;52500;38500;13334
5_1;1;1;0;2;0;0;0;0;40;21;2;0;0;0;0;0;0;2;40;21;2;0;0;94,148148;142;0;154496;204480;337500;58000;13334
6_1;1;0;0;2;0;0;0;0;40;15;4;0;0;0;0;0;0;3;40;15;4;0;1;92,979167;142;0;147112;283574;52500;89000;13334
