Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;43;23;3;0;0;0;0;0;0;0;43;23;3;0;0;97,764815;106.296;0;128299;0;105000;78500;13334
1_0;1;0;0;2;0;0;0;0;38;23;1;0;0;0;0;0;0;0;38;23;1;0;0;98,029630;105.205;0;111938;0;52500;41500;13334
2_0;2;0;0;3;0;0;0;0;50;21;1;0;0;0;0;0;0;0;50;21;1;0;0;97,770370;84.6637;0;101935;0;105000;39500;20001
3_0;2;0;0;3;0;0;0;0;51;18;3;0;0;0;0;0;1;0;51;18;3;1;0;96,738889;83.6099;0;102589;44647.7;105000;73500;20001
4_0;2;0;0;2;0;0;0;0;38;16;2;0;0;0;0;0;1;0;38;16;2;0;0;96,892593;93.2017;0;89287.2;67105.2;105000;53000;13334
5_0;2;1;0;3;0;0;0;0;47;24;2;1;0;0;0;0;0;0;47;24;2;0;0;97,631481;102.297;0;130838;0;390000;134500;20001
6_0;2;0;0;3;0;0;0;0;56;16;4;0;0;0;0;0;2;0;56;16;4;2;0;95,901852;124.668;0;161570;114321;105000;90000;20001
7_0;3;0;0;3;0;0;0;0;39;20;2;0;1;0;0;0;2;0;39;20;2;0;1;92,620370;128.355;0;326663;184831;157500;391500;20001
8_0;3;1;0;3;0;0;0;0;52;22;2;2;0;0;0;0;0;1;52;22;2;0;1;96,927778;169.512;0;227146;54074.3;442500;206000;20001
9_0;3;0;0;2;0;0;0;0;53;13;2;0;0;0;0;0;0;2;53;13;2;0;1;95,572222;155.618;0;174759;197324;157500;50000;13334
10_0;2;1;0;3;0;0;0;0;48;22;1;1;1;0;0;0;0;1;48;22;1;1;0;95,377778;149.164;0;264915;107398;390000;448500;20001
11_0;3;0;0;5;0;0;0;0;99;44;2;0;1;0;0;0;0;1;99;44;2;0;1;95,699074;125.69;0;493333;90496.8;157500;415500;33335
0_1;2;0;0;2;0;0;0;0;42;21;0;0;0;0;0;0;0;0;42;21;0;0;0;98,055556;106.296;0;111611;0;105000;21000;13334
1_1;1;0;0;2;0;0;0;0;46;14;2;0;0;0;0;0;0;0;46;14;2;0;0;98,077778;105.205;0;109203;0;52500;51000;13334
2_1;2;0;0;3;0;0;0;0;46;27;3;0;0;0;0;0;0;0;46;27;3;0;0;97,533333;84.6637;0;112772;0;105000;82500;20001
3_1;2;0;0;3;0;0;0;0;39;20;1;0;0;0;0;0;0;0;39;20;1;0;0;98,112963;83.6099;0;85198.5;0;105000;38500;20001
4_1;2;0;0;2;0;0;0;0;48;15;1;0;0;0;0;0;0;0;48;15;1;0;0;98,048148;93.2017;0;98234.5;0;105000;33500;13334
5_1;2;1;0;3;0;0;0;0;49;19;3;0;1;0;0;0;0;0;49;19;3;0;1;94,983333;102.297;0;277124;0;390000;409000;20001
6_1;2;0;0;3;0;0;0;0;48;20;2;0;0;0;0;0;0;0;48;20;2;0;0;97,800000;124.668;0;148106;0;105000;57000;20001
7_1;3;0;0;3;0;0;0;0;50;28;1;0;0;0;0;0;0;0;50;28;1;0;0;97,511111;128.355;0;172509;0;157500;46500;20001
8_1;3;1;0;3;0;0;0;0;45;19;0;0;0;0;0;0;0;0;45;19;0;0;0;98,046296;169.512;0;178835;0;442500;19000;20001
9_1;3;0;0;2;0;0;0;0;49;25;1;0;0;0;0;0;0;0;49;25;1;0;0;97,650000;155.618;0;197479;0;157500;43500;13334
10_1;2;1;0;3;0;0;0;0;50;21;1;0;1;0;0;0;0;0;50;21;1;0;1;95,007407;149.164;0;402145;0;390000;374000;20001
11_1;3;0;0;5;0;0;0;0;96;37;3;0;1;0;0;0;0;0;96;37;3;0;1;96,505556;125.69;0;474354;0;157500;427000;33335
0_2;2;0;0;2;0;0;0;0;40;19;1;0;0;0;0;0;0;0;40;19;1;0;0;98,122222;106.296;0;107784;0;105000;37500;13334
1_2;1;0;0;2;0;0;0;0;40;20;2;0;0;0;0;2;0;0;40;20;4;0;0;96,177778;105.205;0;112359;104784;52500;57000;13334
2_2;2;0;0;3;0;0;0;0;48;16;4;0;1;0;0;0;1;0;48;16;2;1;1;94,187037;84.6637;0;223851;41908.5;105000;424500;20001
3_2;2;0;0;3;0;0;0;0;51;22;2;0;0;0;0;0;1;0;51;22;2;0;0;96,309259;83.6099;0;106435;60199.2;105000;59000;20001
4_2;2;0;0;2;0;0;0;0;48;16;0;0;0;0;0;0;1;0;48;16;0;0;0;96,740741;93.2017;0;96929.7;67105.2;105000;16000;13334
5_2;2;1;0;3;0;0;0;0;50;18;1;2;1;0;0;0;0;0;50;18;1;1;1;94,088889;102.297;0;326533;0;390000;518000;20001
6_2;2;0;0;3;0;0;0;0;46;18;1;0;1;0;0;0;0;0;46;18;1;0;1;95,229630;124.668;0;321146;0;105000;371000;20001
7_2;3;0;0;3;0;0;0;0;51;21;2;0;0;0;0;0;0;0;51;21;2;0;0;97,679630;128.355;0;160829;0;157500;58000;20001
8_2;3;1;0;3;0;0;0;0;51;19;1;1;0;0;0;0;0;0;51;19;1;1;0;96,835185;169.512;0;289696;0;442500;111000;20001
9_2;3;0;0;2;0;0;0;0;48;25;0;0;0;0;0;0;2;1;48;25;0;2;1;95,525926;155.618;0;189854;186119;157500;25000;13334
10_2;2;1;0;3;0;0;0;0;48;26;0;2;1;0;0;0;0;0;48;26;0;0;0;97,511111;149.164;0;200476;0;390000;507500;20001
11_2;3;0;0;5;0;0;0;0;86;40;2;0;1;0;0;0;0;0;86;40;2;0;1;96,620370;125.69;0;458768;0;157500;411500;33335
0_3;2;0;0;2;0;0;0;0;50;22;2;0;0;0;0;0;1;0;50;22;2;1;0;96,507407;106.296;0;133720;66753.8;105000;59000;13334
1_3;1;0;0;2;0;0;0;0;43;18;2;0;0;0;0;0;1;0;43;18;2;0;0;96,679630;105.205;0;112885;75747.5;52500;55000;13334
2_3;2;0;0;3;0;0;0;0;58;20;2;0;0;0;0;0;1;0;58;20;2;0;0;96,188889;84.6637;0;113280;60957.8;105000;57000;20001
3_3;2;0;0;3;0;0;0;0;44;20;3;0;1;0;0;0;1;0;44;20;3;0;1;93,751852;83.6099;0;221901;60199.2;105000;410000;20001
4_3;2;0;0;2;0;0;0;0;47;20;4;0;0;0;0;0;2;0;47;20;4;1;0;96,048148;93.2017;0;115663;83229.1;105000;94000;13334
5_3;2;1;0;3;0;0;0;0;54;17;1;2;0;0;0;0;0;0;54;17;1;0;0;97,711111;102.297;0;126440;0;390000;182500;20001
6_3;2;0;0;3;0;0;0;0;40;24;2;0;1;0;0;0;0;0;40;24;2;0;1;95,111111;124.668;0;329125;0;105000;395500;20001
7_3;3;0;0;3;0;0;0;0;40;22;5;0;1;0;0;0;1;0;40;22;5;1;1;93,898148;128.355;0;346815;76114.5;157500;449000;20001
8_3;3;1;0;3;0;0;0;0;41;17;1;1;0;0;0;0;0;0;41;17;1;0;0;98,120370;169.512;0;172055;0;442500;109000;20001
9_3;3;0;0;2;0;0;0;0;39;17;1;0;0;0;0;0;0;0;39;17;1;0;0;98,224074;155.618;0;149238;0;157500;35500;13334
10_3;2;1;0;3;0;0;0;0;49;16;4;0;0;0;0;0;0;0;49;16;4;0;0;97,794444;149.164;0;177654;0;390000;90000;20001
11_3;3;0;0;5;0;0;0;0;93;37;2;0;0;0;0;0;0;0;93;37;2;0;0;97,960185;125.69;0;276895;0;157500;74000;33335
0_4;2;0;0;2;0;0;0;0;49;17;0;0;0;0;0;0;0;0;49;17;0;0;0;98,009259;106.296;0;114268;0;105000;17000;13334
1_4;1;0;0;2;0;0;0;0;48;17;2;0;0;0;0;0;0;0;48;17;2;0;0;97,911111;105.205;0;118671;0;52500;54000;13334
2_4;2;0;0;3;0;0;0;0;45;24;3;0;0;0;0;0;0;0;45;24;3;0;0;97,672222;84.6637;0;106422;0;105000;79500;20001
3_4;2;0;0;3;0;0;0;0;48;15;5;0;0;0;0;0;0;0;48;15;5;0;0;97,796296;83.6099;0;99495.8;0;105000;107500;20001
4_4;2;0;0;2;0;0;0;0;48;14;2;0;0;0;0;0;0;0;48;14;2;0;0;98,022222;93.2017;0;99539.4;0;105000;51000;13334
5_4;2;1;0;3;0;0;0;0;44;26;0;0;0;0;0;0;0;0;44;26;0;0;0;97,814815;102.297;0;120711;0;390000;26000;20001
6_4;2;0;0;3;0;0;0;0;52;21;1;0;0;0;0;0;0;0;52;21;1;0;0;97,714815;124.668;0;153841;0;105000;39500;20001
7_4;3;0;0;3;0;0;0;0;49;27;1;0;1;0;0;0;0;0;49;27;1;0;1;94,812963;128.355;0;359522;0;157500;380000;20001
8_4;3;1;0;3;0;0;0;0;52;19;1;1;0;0;0;0;0;0;52;19;1;1;0;96,807407;169.512;0;292239;0;442500;111000;20001
9_4;3;0;0;2;0;0;0;0;54;15;0;0;0;0;0;0;0;0;54;15;0;0;0;97,944444;155.618;0;172736;0;157500;15000;13334
10_4;2;1;0;3;0;0;0;0;50;19;0;0;1;0;0;0;0;0;50;19;0;0;1;95,144444;149.164;0;391107;0;390000;353500;20001
11_4;3;0;0;5;0;0;0;0;92;39;2;0;1;0;0;0;0;2;92;39;2;0;3;95,824074;125.69;0;467567;99295.1;157500;410500;33335
