Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;30;10;3;0;0;0;0;0;0;0;30;10;3;0;0;98,259259;106.296;0;79934.5;0;105000;65500;20001
1_0;2;0;0;3;0;0;0;0;36;19;1;0;0;0;0;0;0;0;36;19;1;0;0;97,791667;105.205;0;100365;0;105000;37500;20001
2_0;1;0;0;3;0;0;0;0;45;12;2;0;0;0;0;0;1;0;45;12;2;1;0;97,092593;84.6637;0;83224.4;23113.2;52500;49000;20001
3_0;2;1;0;4;0;0;0;0;34;18;2;1;0;0;0;0;0;2;34;18;2;0;2;96,250000;83.6099;0;80600;54848.1;390000;128500;26668
4_0;2;0;0;3;0;0;0;0;36;18;1;0;0;0;0;0;0;2;36;18;1;0;0;94,504630;93.2017;0;87050.3;134210;105000;36500;20001
5_0;2;0;0;3;0;0;0;0;35;13;1;0;0;0;0;0;0;2;35;13;1;0;0;94,770833;102.297;0;83781.5;147308;105000;31500;20001
6_0;2;0;0;3;0;0;0;0;37;10;1;0;0;0;0;0;1;2;37;10;1;1;0;93,888889;124.668;0;98363.4;230761;105000;28500;20001
7_0;2;0;0;3;0;0;0;0;35;19;0;0;0;0;0;0;1;2;35;19;0;0;0;92,905093;128.355;0;116161;277247;105000;19000;20001
8_0;3;0;0;3;0;0;0;0;39;13;0;0;0;0;0;0;1;2;39;13;0;0;0;93,043981;169.512;0;143238;366146;157500;13000;20001
9_0;3;0;0;3;0;0;0;0;38;16;1;0;0;0;0;0;1;2;38;16;1;0;0;92,861111;155.618;0;143791;336135;157500;34500;20001
10_0;2;1;0;4;0;0;0;0;41;12;2;1;0;0;0;0;0;4;41;12;2;0;2;92,793981;149.164;0;141556;322790;390000;122500;26668
11_0;3;1;0;4;0;0;0;0;78;26;1;0;0;0;0;0;0;4;78;26;1;0;0;94,671296;125.69;0;216690;361987;442500;44500;26668
0_1;2;0;0;3;0;0;0;0;40;25;2;0;0;0;0;0;0;0;40;25;2;0;0;97,296296;106.296;0;124154;0;105000;62000;20001
1_1;2;0;0;3;0;0;0;0;40;16;0;0;0;0;0;0;1;0;40;16;0;1;0;97,340278;105.205;0;96788.5;24091.9;105000;16000;20001
2_1;1;0;0;3;0;0;0;0;38;15;1;0;0;0;0;0;1;0;38;15;1;0;0;96,240741;84.6637;0;76535.9;60957.8;52500;33500;20001
3_1;2;1;0;4;0;0;0;0;42;11;1;1;0;0;0;0;0;1;42;11;1;0;1;96,583333;83.6099;0;76085;47323.2;390000;103000;26668
4_1;2;0;0;3;0;0;0;0;41;18;2;0;0;0;0;0;0;1;41;18;2;0;0;95,918981;93.2017;0;97209.3;67105.2;105000;55000;20001
5_1;2;0;0;3;0;0;0;0;37;13;2;0;0;0;0;0;0;1;37;13;2;0;0;96,289352;102.297;0;90328.6;73654.1;105000;50000;20001
6_1;2;0;0;3;0;0;0;0;38;15;0;0;0;0;0;0;0;1;38;15;0;0;0;96,319444;124.668;0;108462;89761.3;105000;15000;20001
7_1;2;0;0;3;0;0;0;0;31;17;1;0;0;0;0;0;0;3;31;17;1;0;2;93,858796;128.355;0;107690;232836;105000;35500;20001
8_1;3;0;0;3;0;0;0;0;44;17;1;0;0;0;0;0;0;3;44;17;1;0;0;92,606481;169.512;0;175275;366146;157500;35500;20001
9_1;3;0;0;3;0;0;0;0;39;16;1;0;0;0;0;0;0;3;39;16;1;0;0;92,826389;155.618;0;146125;336135;157500;34500;20001
10_1;2;1;0;4;0;0;0;0;37;14;2;1;0;0;0;0;0;4;37;14;2;1;1;91,215278;149.164;0;213752;352325;390000;124500;26668
11_1;3;1;0;4;0;0;0;0;81;27;2;1;0;0;0;0;0;4;81;27;2;1;0;93,943287;125.69;0;295749;361987;442500;137500;26668
0_2;2;0;0;3;0;0;0;0;40;15;2;0;0;0;0;0;0;0;40;15;2;0;0;97,759259;106.296;0;102894;0;105000;52000;20001
1_2;2;0;0;3;0;0;0;0;38;11;0;0;0;0;0;0;1;0;38;11;0;1;0;97,030093;105.205;0;83111.9;51866;105000;11000;20001
2_2;1;0;0;3;0;0;0;0;40;16;0;0;0;0;0;0;1;0;40;16;0;0;0;96,203704;84.6637;0;77890.6;60957.8;52500;16000;20001
3_2;2;1;0;4;0;0;0;0;42;14;2;2;0;0;0;0;0;0;42;14;2;1;0;96,449074;83.6099;0;128258;0;390000;198000;26668
4_2;2;0;0;3;0;0;0;0;42;18;1;0;0;0;0;0;0;2;42;18;1;0;2;96,203704;93.2017;0;95438.5;57412.2;105000;36500;20001
5_2;2;0;0;3;0;0;0;0;36;20;1;0;0;0;0;0;0;3;36;20;1;0;1;93,629630;102.297;0;99637.6;181885;105000;38500;20001
6_2;2;0;0;3;0;0;0;0;43;13;0;0;0;0;0;0;0;3;43;13;0;0;0;92,905093;124.668;0;112825;269284;105000;13000;20001
7_2;2;0;0;3;0;0;0;0;39;15;2;0;0;0;0;0;0;3;39;15;2;0;0;92,793981;128.355;0;122322;277247;105000;52000;20001
8_2;3;0;0;3;0;0;0;0;39;19;1;0;0;0;0;0;0;3;39;19;1;0;0;92,687500;169.512;0;169342;366146;157500;37500;20001
9_2;3;0;0;3;0;0;0;0;40;19;0;0;0;0;0;0;0;4;40;19;0;0;1;91,097222;155.618;0;152506;446001;157500;19000;20001
