Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;4;0;0;0;0;58;32;3;0;0;0;0;0;0;0;58;32;3;0;0;97,761111;142;0;228904;0;105000;87500;26668
1_0;2;0;0;4;0;0;0;0;66;14;2;0;0;0;0;0;0;0;66;14;2;0;0;98,141667;142;0;189996;0;105000;51000;26668
2_0;2;0;0;5;0;0;0;0;66;24;3;0;1;0;0;0;0;0;66;24;3;0;1;95,744444;142;0;435088;0;105000;414000;33335
3_0;2;0;0;5;0;0;0;0;55;23;3;0;0;0;0;0;0;0;55;23;3;0;0;98,073611;142;0;196954;0;105000;78500;33335
4_0;2;0;0;5;0;0;0;0;57;28;2;0;0;0;0;0;0;0;57;28;2;0;0;97,940278;142;0;210586;0;105000;65000;33335
5_0;2;0;0;5;0;0;0;0;62;22;2;0;1;0;0;0;0;0;62;22;2;0;1;95,930556;142;0;416060;0;105000;393500;33335
6_0;2;0;0;5;0;0;0;0;59;21;3;1;0;0;0;0;0;0;59;21;3;1;0;97,309722;142;0;275054;0;105000;150000;33335
7_0;2;0;0;5;0;0;0;0;62;19;3;1;0;0;0;0;0;0;62;19;3;1;0;97,302778;142;0;275764;0;105000;148000;33335
8_0;2;0;0;4;0;0;0;0;62;26;3;0;0;0;0;0;0;1;62;26;3;0;1;97,676389;142;0;220384;17182;105000;81500;26668
9_0;2;0;0;4;0;0;0;0;65;26;2;1;0;0;0;0;0;1;65;26;2;1;0;96,093056;142;0;297206;102240;105000;136500;26668
10_0;2;0;0;4;0;0;0;0;63;29;1;0;0;0;0;0;0;2;63;29;1;0;1;96,744444;142;0;221378;111470;105000;47500;26668
11_0;3;0;0;7;0;0;0;0;126;49;7;2;0;0;0;0;0;2;126;49;7;2;0;96,105556;142;0;591856;204480;157500;325500;46669
0_1;2;0;0;4;0;0;0;0;65;25;5;0;0;0;0;0;0;0;65;25;5;0;0;97,715278;142;0;233590;0;105000;117500;26668
1_1;2;0;0;4;0;0;0;0;70;32;5;1;0;0;0;0;0;0;70;32;5;1;0;96,680556;142;0;339380;0;105000;198000;26668
2_1;2;0;0;5;0;0;0;0;61;19;3;0;0;0;0;0;0;0;61;19;3;0;0;98,059722;142;0;198374;0;105000;74500;33335
3_1;2;0;0;5;0;0;0;0;53;33;3;0;1;0;0;0;0;2;53;33;3;0;3;95,016667;142;0;432958;76538;105000;423000;33335
4_1;2;0;0;5;0;0;0;0;66;23;3;0;1;0;0;0;0;2;66;23;3;0;1;93,772222;142;0;432248;204480;105000;413000;33335
5_1;2;0;0;5;0;0;0;0;64;24;2;0;1;0;0;0;0;1;64;24;2;0;0;96,833333;142;0;221520;102240;105000;395500;33335
6_1;2;0;0;5;0;0;0;0;64;29;1;1;1;0;0;0;0;0;64;29;1;1;0;97,005556;142;0;306152;0;105000;455500;33335
7_1;2;0;0;5;0;0;0;0;59;17;0;1;1;0;0;0;0;0;59;17;0;1;1;95,490278;142;0;461074;0;105000;425000;33335
8_1;2;0;0;4;0;0;0;0;60;29;3;0;0;0;0;0;0;1;60;29;3;0;1;97,390278;142;0;224644;42174;105000;84500;26668
9_1;2;0;0;4;0;0;0;0;61;25;6;1;0;0;0;0;0;3;61;25;6;1;2;94,438889;142;0;305158;263410;105000;209500;26668
10_1;2;0;0;4;0;0;0;0;65;17;3;0;0;0;0;0;0;4;65;17;3;0;1;94,333333;142;0;201214;378146;105000;72500;26668
11_1;3;0;0;7;0;0;0;0;120;53;5;0;0;0;0;0;0;5;120;53;5;0;1;95,527083;142;0;430260;484362;157500;145500;46669
0_2;2;0;0;4;0;0;0;0;61;22;1;0;0;0;0;0;0;0;61;22;1;0;0;98,070833;142;0;197238;0;105000;40500;26668
1_2;2;0;0;4;0;0;0;0;66;38;0;0;0;0;0;0;0;0;66;38;0;0;0;97,569444;142;0;248500;0;105000;38000;26668
2_2;2;0;0;5;0;0;0;0;63;23;0;0;1;0;0;0;0;0;63;23;0;0;1;95,976389;142;0;411374;0;105000;357500;33335
3_2;2;0;0;5;0;0;0;0;62;23;3;1;0;0;0;0;0;0;62;23;3;1;0;97,191667;142;0;287124;0;105000;152000;33335
4_2;2;0;0;5;0;0;0;0;53;14;1;0;1;0;0;0;0;0;53;14;1;0;1;96,387500;142;0;369342;0;105000;367000;33335
5_2;2;0;0;5;0;0;0;0;62;29;1;0;0;0;0;0;0;0;62;29;1;0;0;97,855556;142;0;219248;0;105000;47500;33335
6_2;2;0;0;5;0;0;0;0;66;22;3;0;1;0;0;0;0;0;66;22;3;0;1;95,800000;142;0;429408;0;105000;412000;33335
7_2;2;0;0;5;0;0;0;0;64;25;1;0;0;0;0;0;0;0;64;25;1;0;0;97,925000;142;0;212148;0;105000;43500;33335
8_2;2;0;0;4;0;0;0;0;59;27;3;1;0;0;0;0;0;0;59;27;3;1;0;97,143056;142;0;292094;0;105000;156000;26668
9_2;2;0;0;4;0;0;0;0;62;25;4;1;0;0;0;0;0;1;62;25;4;1;1;96,698611;142;0;297632;39902;105000;172500;26668
10_2;2;0;0;4;0;0;0;0;59;32;1;0;0;0;0;0;0;1;59;32;1;0;0;96,834722;142;0;221378;102240;105000;50500;26668
11_2;3;0;0;7;0;0;0;0;128;53;6;0;0;0;0;0;0;3;128;53;6;0;2;96,751389;142;0;452128;212148;157500;164000;46669
0_3;2;0;0;4;0;0;0;0;63;30;3;0;0;0;0;0;0;0;63;30;3;0;0;97,712500;142;0;233874;0;105000;85500;26668
1_3;2;0;0;4;0;0;0;0;65;27;1;1;0;0;0;0;0;0;65;27;1;1;0;97,112500;142;0;295218;0;105000;119000;26668
2_3;2;0;0;5;0;0;0;0;64;32;1;0;1;0;0;0;0;1;64;32;1;0;2;95,161111;142;0;443892;50836;105000;385000;33335
3_3;2;0;0;5;0;0;0;0;60;28;3;0;1;0;0;0;0;0;60;28;3;0;0;97,758333;142;0;229188;0;105000;418000;33335
4_3;2;0;0;5;0;0;0;0;62;24;1;0;1;0;0;0;0;0;62;24;1;0;1;95,922222;142;0;416912;0;105000;377000;33335
5_3;2;0;0;5;0;0;0;0;55;21;1;1;1;0;0;0;0;0;55;21;1;1;1;95,415278;142;0;468742;0;105000;447500;33335
6_3;2;0;0;5;0;0;0;0;65;27;3;0;0;0;0;0;0;0;65;27;3;0;0;97,754167;142;0;229614;0;105000;82500;33335
7_3;2;0;0;5;0;0;0;0;68;30;2;1;0;0;0;0;0;0;68;30;2;1;0;96,919444;142;0;314956;0;105000;140500;33335
8_3;2;0;0;4;0;0;0;0;64;25;2;0;0;0;0;0;0;0;64;25;2;0;0;97,877778;142;0;216976;0;105000;62000;26668
9_3;2;0;0;4;0;0;0;0;56;29;0;0;0;0;0;0;0;2;56;29;0;0;2;97,637500;142;0;201640;39902;105000;29000;26668
10_3;2;0;0;4;0;0;0;0;60;22;2;2;0;0;0;0;0;2;60;22;2;2;0;94,572222;142;0;350456;204480;105000;206000;26668
11_3;3;0;0;7;0;0;0;0;119;52;6;0;0;0;0;0;0;3;119;52;6;0;1;96,445833;142;0;430118;296638;157500;163000;46669
0_4;2;0;0;4;0;0;0;0;56;23;3;0;0;0;0;0;0;0;56;23;3;0;0;98,052778;142;0;199084;0;105000;78500;26668
1_4;2;0;0;4;0;0;0;0;61;21;1;0;0;0;0;0;0;0;61;21;1;0;0;98,098611;142;0;194398;0;105000;39500;26668
2_4;2;0;0;5;0;0;0;0;61;24;2;0;1;0;0;0;0;1;61;24;2;0;2;95,502778;142;0;419610;40186;105000;395500;33335
3_4;2;0;0;5;0;0;0;0;64;24;2;1;1;0;0;0;0;0;64;24;2;1;0;97,097222;142;0;296780;0;105000;469000;33335
