Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,611111;172;0;5160;0;52500;0;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;4;0;1;0;0;97,824074;162;0;15228;0;52500;18500;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,762346;152;0;22040;0;52500;2000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;9;4;0;0;0;97,511574;142;0;30530;0;52500;4000;20001
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;0;0;0;0;0;0;0;12;5;0;0;0;97,407407;132;0;36960;0;52500;5000;13334
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;10;6;1;0;1;0;0;0;0;0;10;6;1;0;1;86,141975;122;0;219112;0;52500;359000;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;0;0;0;0;0;0;0;12;5;0;0;0;98,148148;112;0;31360;0;52500;5000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;5;1;0;0;0;0;0;0;0;14;5;1;0;0;98,009259;122;0;41968;0;52500;23500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;8;0;0;0;0;0;0;0;0;17;8;0;0;0;97,865226;132;0;54780;0;52500;8000;20001
9_0;2;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;23;7;0;0;0;0;0;0;0;1;23;7;0;0;1;94,675926;142;25560;68870;68870;390000;62500;26668
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;10;0;0;0;0;0;1;0;1;25;10;1;0;0;94,381313;152;0;87400;115520;52500;10000;20001
11_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;6;2;0;0;0;0;0;0;1;27;6;1;0;0;94,980710;162;0;94122;116640;157500;43000;13334
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;4;0;0;0;0;5;0;0;1;26;9;0;0;0;90,534188;172;0;80840;376336;157500;4000;13334
13_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;19;1;0;0;0;0;1;0;1;22;14;2;0;0;94,649471;162;0;110808;151308;157500;37500;20001
14_0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;29;12;3;0;0;0;0;0;0;1;29;12;2;0;0;95,231481;152;9120;116280;109440;157500;86000;20001
15_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;13;4;0;0;0;0;0;0;1;27;13;4;0;0;95,598958;142;0;113742;102240;105000;87000;20001
16_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;35;17;2;0;0;0;0;0;0;1;35;17;2;0;0;95,008170;132;23760;123156;95040;105000;109500;26668
17_0;2;1;0;5;3;0;0;0;0;0;0;0;0;0;0;0;36;19;2;1;1;0;0;0;0;0;36;19;2;1;0;95,498971;122;21960;191540;0;390000;519500;33335
18_0;2;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;38;14;1;0;0;0;0;0;0;0;38;14;1;0;0;96,968811;112;40320;99008;0;105000;143500;33335
19_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;41;18;1;0;0;0;0;0;1;0;41;18;1;1;0;96,252315;122;21960;123098;52460;105000;92000;26668
20_0;2;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;44;17;2;1;0;0;0;0;1;1;44;17;2;1;1;94,089506;132;15840;210936;127116;390000;164500;26668
21_0;3;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;43;17;0;0;0;0;0;0;1;1;43;17;0;0;0;94,391835;142;34080;139870;204480;157500;91000;26668
