Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;7;0;0;0;0;0;0;0;0;22;7;0;0;0;98,368056;172;0;80840;0;52500;7000;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;14;3;0;0;0;0;0;0;0;17;14;3;0;0;97,788194;162;0;103194;0;52500;69500;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;9;1;0;0;0;0;0;0;0;20;9;1;0;0;98,215278;152;0;78128;0;52500;27500;20001
3_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;8;2;1;0;0;0;0;0;0;25;8;2;1;0;96,065972;142;0;160886;0;337500;118500;26668
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;11;0;0;0;0;0;0;0;1;21;11;0;0;1;98,000000;132;0;70620;5412;52500;11000;20001
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;14;1;0;1;0;0;0;1;0;25;14;1;1;0;95,517361;122;0;90402;67100;52500;367000;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;13;1;0;0;0;0;0;1;0;22;13;1;0;0;95,333333;112;0;69888;80640;52500;31500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;8;1;0;0;0;0;0;1;0;28;8;1;0;0;95,368056;122;0;74908;87840;52500;26500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;11;2;0;0;0;0;0;1;1;25;11;2;0;1;94,034722;132;0;87516;139260;52500;48000;20001
9_0;2;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;27;14;0;0;0;0;0;0;1;2;27;14;0;0;1;90,059028;142;68160;97270;241116;105000;162000;40002
10_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;33;7;2;2;0;0;0;0;0;3;33;7;2;1;1;87,822917;152;18240;191368;323456;337500;228000;26668
11_0;1;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;23;12;0;0;1;0;0;0;0;2;23;12;0;0;0;92,163194;162;29160;103194;233280;52500;402000;33335
12_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;17;11;1;0;0;0;0;0;0;2;17;11;1;0;0;92,815972;172;20640;87548;247680;52500;66500;20001
13_0;1;0;1;5;3;0;0;0;0;0;0;0;0;0;0;0;22;9;1;0;3;0;0;0;0;0;22;9;1;0;1;91,944444;162;29160;346680;0;4552500;1.0865e+06;33335
14_0;2;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;25;9;3;0;0;0;0;0;0;0;25;9;3;0;0;96,052083;152;72960;99864;0;105000;212500;40002
15_0;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;27;8;3;0;0;0;0;0;0;0;27;8;3;0;0;94,767361;142;119280;94714;0;157500;322500;60003
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;16;1;0;0;0;0;0;0;0;26;16;1;0;0;97,416667;132;0;98208;0;52500;34500;20001
17_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;22;13;1;0;0;0;0;0;0;0;22;13;1;0;0;97,833333;122;0;76128;0;337500;31500;26668
18_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;8;1;0;0;0;0;0;0;0;18;8;1;0;0;98,388889;112;0;51968;0;52500;26500;20001
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;5;1;0;0;0;0;0;0;0;22;5;1;0;0;98,388889;122;0;56608;0;52500;23500;20001
20_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;11;0;0;0;0;0;0;0;0;24;11;0;0;0;97,986111;132;0;76560;0;52500;11000;20001
