Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;52500;0;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;96,527778;162;0;8100;0;52500;1000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;152;0;7600;0;52500;1000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;142;0;6390;0;52500;0;13334
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;4;1;0;0;0;98,148148;132;0;10560;0;52500;1000;20001
5_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;2;3;0;0;0;98,437500;122;0;10980;0;0;3000;6667
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;9;1;0;0;0;97,847222;112;0;17360;0;52500;1000;20001
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;8;4;0;0;0;97,685185;122;0;24400;0;52500;4000;13334
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;4;1;0;0;0;0;0;0;0;9;4;1;0;0;97,694444;132;0;32868;0;52500;22500;20001
9_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;0;1;12;3;0;0;1;95,262346;142;8520;34080;44588;52500;21500;20001
10_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;1;12;1;0;0;0;93,518519;152;9120;30400;109440;52500;19500;20001
11_0;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;13;8;1;0;1;0;0;0;0;0;13;8;1;0;0;97,100694;162;9720;71442;0;52500;379500;26668
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;18;11;2;0;0;0;0;0;0;0;18;11;2;0;0;97,232143;172;0;95976;0;52500;48000;20001
13_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;22;10;0;0;0;0;0;0;0;0;22;10;0;0;0;97,178819;162;19440;85860;0;52500;47000;20001
14_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;18;8;2;0;0;0;0;0;0;0;18;8;2;0;0;97,615741;152;18240;75696;0;52500;82000;20001
15_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;20;10;1;0;0;0;0;0;0;0;20;10;1;0;0;97,729167;142;17040;75828;0;52500;65500;20001
16_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;24;11;1;1;0;0;0;0;0;0;24;11;1;1;0;96,098765;132;15840;151008;0;337500;140000;26668
17_0;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;33;11;3;0;0;0;0;0;0;0;33;11;3;0;0;97,563889;122;7320;99674;0;337500;85000;26668
18_0;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;37;14;4;0;0;0;0;0;1;1;37;14;4;1;1;96,383838;112;13440;108752;38192;105000;125000;20001
19_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;35;14;2;0;0;0;0;0;1;2;35;14;2;0;1;93,085648;122;7320;106506;250588;52500;69500;20001
20_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;40;16;3;0;0;0;0;0;2;3;40;16;3;1;1;90,865385;132;0;134904;429396;52500;71500;20001
21_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;43;17;1;3;0;0;0;0;0;3;43;17;1;1;0;92,537698;142;0;227342;306720;337500;256000;26668
22_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;45;15;0;0;0;0;0;0;1;4;45;15;0;1;1;92,431481;152;0;148200;473024;105000;15000;20001
23_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;50;33;3;0;0;0;0;0;1;5;50;33;3;0;1;90,508681;162;0;244944;640710;105000;88500;20001
0_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;52500;0;13334
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;98,958333;162;0;2430;0;52500;0;13334
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,611111;152;0;4560;0;52500;0;13334
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;97,916667;142;0;8520;0;52500;0;13334
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,958333;132;0;5940;0;52500;0;20001
5_1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;98,003472;122;0;14030;0;0;2000;6667
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;1;7;2;0;0;1;96,847222;112;0;16240;9184;52500;2000;20001
