Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;98,421717;172;0;21500;0;52500;1000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;98,737374;162;0;16200;0;52500;2000;13334
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,611111;152;0;16720;0;52500;1000;6667
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,358586;142;0;18460;0;52500;2000;13334
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;2;0;0;7;4;2;0;0;94,772727;132;0;24420;30228;52500;4000;26668
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;5;4;2;0;1;0;0;0;0;1;5;4;0;0;2;74,015152;122;0;206302;44774;52500;375500;26668
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;16;2;2;0;1;0;0;0;0;0;16;2;2;0;0;97,474747;112;0;44800;0;52500;373500;26668
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;7;2;0;0;0;0;0;1;0;13;7;2;1;0;94,273990;122;0;49166;61488;52500;44000;13334
8_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;6;0;2;0;0;0;0;0;0;13;6;0;1;0;94,501263;132;0;114972;0;337500;153000;20001
9_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;18;7;0;0;0;0;0;0;0;0;18;7;0;0;0;97,411616;142;0;58220;0;52500;7000;26668
10_0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;0;0;0;0;0;0;12;8;0;0;0;97,095960;152;18240;51680;0;52500;45000;13334
11_0;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;14;8;0;0;1;0;0;0;0;0;14;8;0;0;1;86,729798;162;38880;301644;0;52500;416500;26668
12_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;8;0;0;0;0;0;0;0;0;26;8;0;0;0;97,685185;172;0;94600;0;52500;8000;26668
13_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;22;8;1;0;0;0;0;0;0;0;22;8;1;0;0;97,794613;162;0;84888;0;52500;26500;26668
14_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;19;8;2;0;0;0;0;0;0;0;19;8;2;0;0;97,335859;152;18240;77976;0;337500;82000;26668
15_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;21;14;0;0;0;0;0;0;0;0;21;14;0;0;0;96,738215;142;25560;84490;0;52500;69500;20001
16_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;18;7;1;0;0;0;0;0;0;0;18;7;1;0;0;98,131313;132;0;58608;0;52500;25500;26668
17_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;22;3;1;0;0;0;0;0;0;0;22;3;1;0;0;98,215488;122;0;51728;0;52500;21500;26668
18_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;9;0;0;1;0;0;0;0;0;29;9;0;0;1;93,349116;112;0;235984;0;52500;343500;26668
