Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;2;1;0;0;20;8;1;0;0;93,642361;172;0;72240;242692;157500;6000;6667
1_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;9;2;0;0;0;0;0;0;0;25;7;1;0;0;97,961806;162;0;95094;0;157500;46000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;0;0;27;9;1;0;0;97,850694;152;0;94088;0;52500;27500;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;9;1;0;0;0;0;0;0;0;26;9;1;0;0;97,902778;142;0;85768;0;52500;27500;13334
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;8;2;0;0;0;0;0;0;0;25;8;2;0;0;97,906250;132;0;79596;0;52500;45000;26668
5_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;12;1;0;0;0;0;0;0;0;25;12;1;0;0;97,746528;122;0;79178;0;337500;30500;26668
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;29;7;1;0;0;0;0;0;0;0;29;7;1;0;0;97,885417;112;0;68208;0;52500;25500;13334
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;8;1;0;0;0;0;0;0;0;28;8;1;0;0;97,868056;122;0;74908;0;52500;26500;26668
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;0;0;0;0;0;0;23;9;0;0;0;98,177083;132;0;69300;0;52500;9000;26668
9_0;3;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;27;13;0;0;0;0;0;2;0;0;27;13;2;0;0;93,965278;142;85200;94430;67166;157500;198000;40002
10_0;3;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;26;8;0;0;0;1;4;4;0;0;27;12;2;0;0;81,965278;152;54720;83600;651168;157500;119000;26668
11_0;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;24;16;0;0;0;0;0;4;0;1;23;12;0;0;1;85,798611;162;9720;100440;552420;442500;34500;20001
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27;4;0;0;0;0;4;5;0;1;27;8;1;0;0;78,027778;172;0;83420;1.005e+06;157500;4000;6667
13_0;3;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;19;2;0;0;0;0;10;5;0;1;19;8;0;0;0;68,364583;162;29160;52650;1.39417e+06;157500;57500;13334
14_0;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;3;15;8;1;1;29;5;3;1;0;42,611111;152;63840;59280;2.38914e+06;157500;129500;33335
15_0;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;24;20;10;2;2;26;5;2;1;1;-8,177083;142;110760;10650;4.3026e+06;157500;240500;53336
16_0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;51;28;10;0;0;0;0;0;2;2;27;8;0;0;0;86,468750;132;0;134244;380160;157500;213000;33335
17_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;45;19;2;0;0;0;0;0;2;2;45;19;2;0;0;93,050347;122;0;137006;351360;105000;56000;20001
0_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;0;0;0;5;1;1;0;29;8;1;1;0;88,434028;172;0;85140;487792;157500;3000;6667
1_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;20;1;0;0;0;0;0;1;0;26;15;0;0;0;94,888889;162;0;121824;116640;157500;38500;13334
2_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;8;0;0;0;0;0;0;1;0;27;8;0;0;0;95,538194;152;0;85880;109440;52500;8000;13334
