Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;6667
1_0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;97,916667;162;0;4860;0;285000;0;20001
2_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;98,379630;152;0;5320;0;0;1000;13334
3_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;3;0;0;0;96,354167;142;0;14910;0;0;3000;6667
4_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;98,333333;132;0;7920;0;0;0;13334
5_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;1;0;0;0;0;3;4;0;0;0;95,995370;122;0;13420;7686;0;4000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;5;4;0;0;0;97,256944;112;0;17696;0;52500;4000;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;5;1;0;0;0;98,680556;122;0;11590;0;52500;1000;13334
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;1;0;0;0;0;0;8;5;0;0;1;80,185185;132;0;225984;0;52500;339500;26668
9_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;4;1;0;0;0;0;0;0;0;7;4;1;0;0;97,827381;142;0;31098;0;52500;22500;13334
10_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,871528;152;0;19760;0;52500;2000;13334
11_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;5;1;0;0;0;0;0;0;0;11;5;1;0;0;97,692901;162;0;48438;0;52500;23500;26668
12_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;8;1;0;0;0;0;0;0;0;15;8;1;0;0;97,090278;172;0;72068;0;52500;26500;13334
13_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;0;0;0;8;8;1;0;0;98,017677;162;0;50868;0;52500;26500;13334
14_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;7;2;0;0;0;0;0;0;0;16;7;2;0;0;97,407407;152;0;68096;0;52500;44000;13334
