Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;0;0;0;0;0;0;0;9;3;1;0;0;98,012153;172;0;39388;0;52500;21500;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;0;0;0;0;0;0;0;12;2;2;0;0;97,500000;162;0;46656;0;52500;39000;13334
2_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;1;0;0;0;0;0;0;10;5;0;1;0;93,229167;152;0;118560;0;337500;78500;20001
3_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;1;0;0;0;0;0;11;4;0;0;1;84,921875;142;0;246654;0;52500;338500;26668
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;0;0;0;0;0;0;0;12;5;0;0;0;97,569444;132;0;36960;0;52500;5000;26668
5_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;1;0;0;11;3;1;0;0;92,456597;122;0;27450;78568;0;3000;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;7;2;0;0;0;0;0;0;0;23;7;1;0;0;97,651910;112;0;60592;0;52500;44000;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;4;0;0;0;0;0;0;1;0;18;4;0;1;0;97,035590;122;0;42700;40626;52500;4000;13334
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;6;0;0;0;0;0;0;1;0;19;6;0;0;0;95,117188;132;0;53460;95040;52500;6000;13334
9_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;21;8;2;2;0;0;0;0;0;0;21;8;2;1;0;94,709201;142;17040;156058;0;337500;229000;26668
10_0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;1;0;0;0;0;0;24;9;0;0;1;90,138889;152;36480;308864;0;105000;417500;26668
11_0;1;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;21;7;2;0;1;0;0;0;0;0;21;7;2;0;1;90,473090;162;29160;326430;0;52500;434000;26668
12_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;33;8;1;0;0;0;0;0;0;0;33;8;1;0;0;97,659144;172;20640;118508;0;52500;63500;20001
13_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;15;0;0;0;0;0;0;0;0;31;15;0;0;0;97,786458;162;0;123930;0;52500;15000;26668
14_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;33;12;1;0;0;0;0;0;0;0;33;12;1;0;0;97,601273;152;9120;116888;0;52500;49000;20001
15_0;2;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;30;5;1;0;1;0;0;0;0;1;30;5;1;0;2;92,381366;142;42600;294792;36494;105000;450500;33335
16_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;29;14;0;0;1;0;0;0;0;0;29;14;0;0;0;97,433449;132;15840;101244;0;337500;385500;26668
17_0;1;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;32;16;0;0;0;0;0;0;0;0;32;16;0;0;0;97,164352;122;21960;97600;0;52500;71500;26668
18_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;35;20;3;0;1;0;0;0;0;0;35;20;3;0;1;94,273003;112;13440;282128;0;105000;447000;26668
19_0;2;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;43;20;7;0;0;0;0;0;0;0;43;20;7;0;0;96,564670;122;36600;156526;0;105000;242000;40002
20_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;40;12;1;0;0;0;0;0;0;0;40;12;1;0;0;97,973090;132;7920;115368;0;52500;49000;20001
21_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;46;14;0;0;0;0;0;0;0;0;46;14;0;0;0;97,634549;142;17040;137740;0;337500;51000;26668
22_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;46;15;0;0;0;0;0;0;0;0;46;15;0;0;0;97,851562;152;0;150480;0;52500;15000;20001
23_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;50;20;1;0;0;0;0;0;0;0;50;20;1;0;0;97,944444;162;0;191808;0;52500;38500;20001
0_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;3;1;0;0;0;0;0;0;0;8;3;1;0;0;98,142361;172;0;36808;0;52500;21500;13334
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;4;1;0;0;0;0;0;0;0;10;4;1;0;0;97,708333;162;0;42768;0;52500;22500;13334
2_1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;1;0;0;0;0;0;0;10;2;0;1;0;93,750000;152;0;109440;0;337500;75500;20001
3_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;0;0;11;4;0;0;0;97,873264;142;0;34790;0;52500;4000;26668
4_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;1;0;0;0;0;0;7;5;0;0;1;85,269097;132;0;224004;0;52500;339500;26668
5_1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0;0;0;0;0;0;0;0;11;4;0;0;0;97,873264;122;0;29890;0;0;4000;13334
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;7;0;0;0;0;0;0;0;0;16;7;0;0;0;98,350694;112;0;42560;0;52500;7000;13334
7_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;7;5;0;0;0;0;0;1;0;19;7;5;1;0;94,939236;122;0;72590;69662;52500;99500;13334
8_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;6;1;0;0;0;0;0;1;0;23;6;1;0;0;94,709201;132;0;65868;95040;52500;24500;13334
9_1;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;20;7;2;1;0;0;0;0;0;0;20;7;2;0;0;97,161458;142;17040;75828;0;337500;154500;26668
10_1;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;19;8;2;0;0;0;0;0;0;0;19;8;2;0;0;96,731771;152;36480;77976;0;105000;119000;26668
11_1;1;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;13;6;0;0;2;0;0;0;0;0;13;6;0;0;2;84,900174;162;29160;534438;0;52500;730500;26668
12_1;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;31;16;1;0;0;0;0;0;1;0;31;16;1;1;0;96,924190;172;20640;140868;21328;52500;71500;20001
13_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;8;1;0;1;0;0;0;1;0;28;8;1;0;1;91,822917;162;0;341172;116640;52500;361000;26668
