Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,958333;172;0;5160;0;52500;0;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;3;3;1;0;0;97,586806;162;0;22518;0;52500;21500;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;10;3;0;0;0;97,569444;152;0;31920;0;52500;3000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;4;1;0;0;0;0;0;0;0;7;4;1;0;0;98,098958;142;0;31098;0;52500;22500;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;0;0;0;0;0;1;0;12;5;0;1;0;95,770833;132;0;36960;43428;52500;5000;13334
5_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;6;0;0;0;0;0;0;1;0;15;6;0;0;0;93,836806;122;0;42090;87840;52500;6000;13334
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;19;10;1;0;0;0;0;0;1;0;19;10;1;0;0;93,854167;112;0;58128;80640;52500;28500;26668
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;22;8;1;0;1;0;0;0;1;0;22;8;1;0;1;88,125000;122;0;245952;87840;52500;361000;26668
8_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;0;2;0;0;0;0;0;0;24;8;0;1;0;95,848765;132;0;142032;0;337500;155000;20001
9_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;11;2;0;0;0;0;0;0;0;25;11;2;0;0;97,697917;142;0;94146;0;52500;48000;13334
