Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;23;5;0;0;0;0;1;2;0;0;23;6;2;0;0;95,975694;172;0;76540;122808;157500;5000;6667
1_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;10;3;0;0;0;0;0;0;0;28;9;1;0;0;97,618056;162;0;111132;0;157500;65500;13334
2_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;13;1;0;0;0;0;0;0;1;27;13;1;0;1;95,347222;152;0;106248;97432;105000;31500;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;9;0;0;0;0;0;0;0;2;26;9;0;0;1;94,736111;142;0;80940;134332;52500;9000;13334
4_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;23;13;0;0;1;0;0;0;0;1;23;13;0;0;0;95,218750;132;0;86724;95040;52500;347500;26668
5_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;14;2;0;1;0;0;0;0;0;28;14;2;0;0;97,152778;122;0;100040;0;337500;385500;26668
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;10;1;0;0;0;0;0;1;0;21;10;1;1;0;97,597222;112;0;61488;16016;52500;28500;26668
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;10;0;0;1;0;0;0;2;0;26;10;0;1;1;89,916667;122;0;254004;100284;52500;344500;26668
8_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;27;6;2;0;0;0;0;0;2;0;27;6;2;0;0;92,940972;132;0;78276;190080;52500;43000;13334
9_0;3;1;0;7;11;0;0;0;0;0;0;0;0;0;0;0;25;5;0;2;0;0;0;0;0;0;25;5;0;0;0;95,878472;142;93720;74834;0;442500;355500;46669
10_0;3;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;28;10;1;0;0;0;0;0;0;0;28;10;1;0;0;96,687500;152;45600;99408;0;157500;121000;26668
11_0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;24;14;1;0;0;0;0;0;0;0;24;14;1;0;0;97,451389;162;9720;109188;0;157500;51000;13334
12_0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;22;6;0;0;0;1;3;0;0;1;23;9;0;0;1;93,170139;172;0;77400;260924;157500;6000;6667
13_0;3;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;3;13;0;0;1;26;10;0;0;0;71,104167;162;29160;58320;1.26068e+06;157500;55500;13334
14_0;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;4;20;0;0;1;22;8;0;0;0;44,225694;152;63840;50920;2.32682e+06;157500;130500;33335
15_0;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;26;30;0;0;1;25;10;0;0;0;-11,565972;142;110760;6390;4.44545e+06;157500;240500;53336
16_0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;52;41;0;0;1;0;0;0;0;0;26;11;0;0;0;96,597222;132;0;129360;0;105000;375500;33335
17_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;14;1;0;0;0;0;0;0;0;29;14;1;0;0;97,399306;122;0;91378;0;52500;32500;26668
18_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;24;8;2;0;0;0;0;0;0;0;24;8;2;0;0;97,958333;112;0;65856;0;52500;45000;26668
19_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;1;0;27;9;1;1;0;97,420139;122;0;75518;15128;52500;27500;26668
20_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;30;9;4;0;0;0;0;0;1;1;30;9;4;0;1;94,378472;132;0;101112;112596;52500;83000;13334
21_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;7;0;3;0;0;0;0;0;1;23;7;0;2;0;92,045139;142;0;223082;102240;337500;227500;20001
22_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;14;2;0;0;0;0;0;0;1;20;14;2;0;0;95,250000;152;0;98496;109440;105000;51000;13334
23_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;55;13;0;0;0;0;7;1;0;2;55;20;1;0;1;90,307292;162;0;175770;728676;157500;13000;13334
0_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;27;4;0;0;0;0;5;1;0;0;27;9;1;0;0;93,743056;172;0;83420;226524;157500;4000;6667
1_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;13;2;0;0;0;0;0;0;0;24;8;1;0;0;97,861111;162;0;99792;0;157500;50000;13334
2_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;9;1;0;0;0;0;0;0;0;24;9;1;0;0;98,006944;152;0;87248;0;105000;27500;13334
3_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;25;11;1;0;0;0;0;0;1;0;25;11;1;1;0;95,444444;142;0;89318;96986;52500;29500;13334
4_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;22;9;2;0;1;0;0;0;1;0;22;9;2;0;1;90,312500;132;0;273240;95040;52500;380500;26668
5_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;7;2;1;1;0;0;0;0;0;26;7;2;0;1;92,652778;122;0;258152;0;337500;452000;26668
6_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;4;3;0;0;0;0;0;0;0;26;4;3;0;0;98,013889;112;0;64064;0;52500;59500;26668
7_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;7;0;0;0;0;0;0;0;0;28;7;0;0;0;98,055556;122;0;68320;0;52500;7000;26668
8_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;11;1;0;0;0;0;0;0;1;28;11;1;0;1;96,798611;132;0;88968;32736;52500;29500;13334
9_1;3;1;0;7;11;0;0;0;0;0;0;0;0;0;0;0;26;6;0;0;0;0;0;2;0;1;26;6;2;0;0;90,961806;142;93720;72420;203486;442500;209500;46669
10_1;3;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;28;12;1;0;0;0;0;2;0;1;28;12;1;0;0;89,048611;152;45600;105488;328320;157500;123000;26668
11_1;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;27;12;1;0;0;0;0;1;0;1;27;12;0;0;0;92,475694;162;9720;108054;233280;157500;49000;13334
12_1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;2;3;0;1;19;9;2;0;0;88,350694;172;0;73100;503960;157500;7000;6667
13_1;3;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;22;1;0;0;0;4;9;4;0;1;26;8;1;0;0;65,934028;162;29160;56700;1.50352e+06;157500;56500;13334
14_1;3;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;11;15;5;0;2;28;7;1;0;1;32,340278;152;63840;50920;2.84711e+06;157500;130500;33335
15_1;3;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;34;26;7;0;2;26;11;2;0;0;-34,805556;142;110760;6390;5.39586e+06;157500;240500;53336
16_1;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;58;35;10;0;1;0;0;0;0;1;24;9;3;0;0;93,479167;132;0;152856;95040;105000;554500;33335
17_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;10;2;0;1;0;0;0;0;0;28;10;2;0;0;97,430556;122;0;90280;0;52500;381500;26668
18_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;30;14;0;0;0;0;0;0;0;0;30;14;0;0;0;97,465278;112;0;81760;0;52500;14000;26668
19_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;19;9;0;0;1;0;0;0;0;0;19;9;0;0;1;93,204861;122;0;238754;0;52500;343500;26668
20_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;6;0;0;0;0;0;0;1;0;26;6;0;1;0;95,777778;132;0;67320;93192;52500;6000;13334
21_1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;13;0;1;0;0;0;0;0;3;24;13;0;0;3;95,489583;142;0;91732;92726;337500;86500;20001
22_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;10;1;0;0;0;0;0;1;4;26;10;1;1;1;88,784722;152;0;94848;396112;105000;28500;13334
23_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;55;13;0;0;0;0;12;0;1;4;55;25;0;0;0;83,928819;162;0;175770;1.32386e+06;157500;13000;13334
