Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;96,527778;162;0;8100;0;52500;1000;13334
2_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;152;0;7600;0;52500;1000;6667
3_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;96,527778;142;0;14200;0;52500;2000;6667
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;97,685185;132;0;13200;0;52500;2000;13334
5_0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;1;0;0;3;3;2;0;0;93,940972;122;0;16958;25620;0;21500;13334
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;4;1;0;0;0;0;0;0;0;8;4;0;0;0;96,916667;112;0;24864;0;52500;22500;13334
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;10;4;0;0;0;97,337963;122;0;28060;0;52500;4000;13334
8_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;0;0;12;3;0;0;0;97,777778;132;0;31680;0;52500;3000;6667
9_0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0;0;12;4;0;0;0;97,530864;142;8520;36920;0;52500;22500;13334
10_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;10;1;0;0;0;0;0;0;0;13;10;1;0;0;97,162698;152;0;65208;0;52500;28500;13334
11_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;3;1;0;0;0;0;0;0;0;14;3;1;0;0;98,240741;162;0;49248;0;52500;21500;13334
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;8;0;0;0;2;0;1;0;0;19;8;1;0;0;91,344246;172;0;71380;228760;157500;8000;13334
13_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;2;2;0;0;0;0;0;0;0;17;2;1;0;0;98,450521;162;0;57834;0;105000;39000;13334
14_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;10;1;0;0;0;0;0;0;0;19;10;1;0;0;97,997685;152;0;78888;0;105000;28500;13334
15_0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;27;11;0;0;0;0;0;0;1;0;27;11;0;1;0;97,118056;142;8520;88750;20590;52500;29500;13334
16_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;13;4;1;0;0;0;0;0;0;26;13;4;0;0;97,493827;132;0;107184;0;337500;160500;26668
17_0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;39;13;1;0;1;0;0;0;0;0;39;13;1;0;1;93,080556;122;14640;289262;0;52500;403000;26668
18_0;2;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;39;13;1;0;0;0;0;0;0;0;39;13;1;0;0;97,022727;112;33600;98448;0;105000;124000;33335
19_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;45;14;0;0;1;0;0;0;1;0;45;14;0;1;1;93,407407;122;14640;298534;34282;105000;385500;26668
20_0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;39;16;1;1;0;0;0;0;0;0;39;16;1;0;0;97,938034;132;0;127380;0;337500;108000;20001
21_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;45;20;2;0;0;0;0;0;0;1;45;20;2;0;1;96,755952;142;25560;162306;44304;105000;112500;26668
22_0;3;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;47;22;5;0;0;0;0;0;0;1;47;22;5;0;0;96,120370;152;9120;199880;109440;157500;133000;26668
23_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;15;0;0;0;0;3;1;1;1;50;18;1;1;0;92,586806;162;0;170100;521640;157500;15000;13334
0_1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667;172;0;2580;0;0;0;6667
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;2;1;1;0;0;94,166667;162;0;13608;0;52500;19500;13334
2_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;98,611111;152;0;4560;0;52500;0;6667
3_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;98,437500;142;0;6390;0;52500;0;6667
4_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;99,305556;132;0;3960;0;52500;0;13334
5_1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;6;3;0;0;0;97,395833;122;0;18300;0;0;3000;13334
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,194444;112;0;14560;0;52500;2000;13334
7_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0;0;0;0;0;0;8;1;1;0;0;97,986111;122;0;21228;0;52500;19500;13334
8_1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;9;5;0;0;0;97,824074;132;0;31020;0;52500;5000;6667
9_1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;0;0;0;0;0;15;3;0;0;0;97,337963;142;8520;40470;0;52500;21500;13334
10_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;17;4;0;0;0;0;0;0;0;0;17;4;0;0;0;97,784392;152;0;50920;0;52500;4000;13334
11_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13;5;0;0;0;0;0;0;1;0;13;5;0;1;0;96,545139;162;0;47790;48924;52500;5000;13334
12_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;8;0;0;0;0;0;0;1;0;15;8;0;0;0;94,518849;172;0;66220;123840;157500;8000;13334
13_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;13;1;0;0;0;0;1;2;0;15;13;2;1;0;92,161458;162;0;84078;208494;105000;31500;13334
14_1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;13;2;0;0;0;0;0;2;0;20;13;1;0;0;92,067901;152;0;93632;218880;105000;50000;13334
15_1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;21;11;0;0;0;0;0;0;2;0;21;11;0;0;0;92,934028;142;8520;75970;204480;52500;29500;13334
16_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;29;12;2;2;1;0;0;0;0;0;29;12;2;0;1;92,941358;132;0;301884;0;337500;530500;26668
17_1;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;34;12;2;0;0;0;0;0;1;0;34;12;2;1;0;96,027778;122;14640;99796;60024;52500;86000;26668
18_1;2;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;39;14;1;0;1;0;0;0;1;0;39;14;1;0;1;91,386364;112;33600;267792;80640;105000;459500;33335
19_1;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;41;15;2;0;0;0;0;0;1;0;41;15;2;0;0;95,780093;122;14640;119926;87840;105000;89000;26668
20_1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;35;20;0;1;0;0;0;0;0;0;35;20;0;0;0;97,967949;132;0;125532;0;337500;93500;20001
21_1;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;46;19;0;0;0;0;0;0;0;0;46;19;0;0;0;97,519841;142;25560;151940;0;105000;74500;26668
22_1;3;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;43;14;0;0;0;0;0;0;0;0;43;14;0;0;0;98,175926;152;9120;140600;0;157500;32500;26668
23_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;46;16;0;0;0;0;10;3;1;0;46;26;3;1;0;89,868056;162;0;163620;781812;157500;16000;13334
0_2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;172;0;0;0;0;0;6667
1_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;98,958333;162;0;2430;0;52500;0;13334
2_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;99,305556;152;0;2280;0;52500;0;6667
3_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,263889;142;0;7100;0;52500;1000;6667
4_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;5;2;0;0;0;97,337963;132;0;15180;0;52500;2000;13334
5_2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;98,871528;122;0;7930;0;0;1000;13334
6_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;97,986111;112;0;16240;0;52500;2000;13334
7_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;1;0;0;7;3;1;0;0;97,766204;122;0;20130;3416;52500;3000;13334
8_2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;2;0;0;14;2;1;0;0;88,518519;132;0;33000;130680;52500;2000;6667
9_2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;11;8;3;0;0;0;0;0;0;0;11;8;1;0;0;96,427469;142;8520;57226;0;52500;82000;13334
10_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;15;10;2;0;0;0;0;0;0;0;15;10;2;0;0;96,739418;152;0;74936;0;52500;47000;13334
11_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;6;0;0;0;0;0;1;0;0;18;6;1;0;0;94,907407;162;0;63180;79380;52500;6000;13334
12_2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16;4;1;0;0;0;0;0;0;0;16;4;0;0;0;98,303571;172;0;58824;0;157500;22500;13334
13_2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;8;1;0;0;0;0;0;0;0;20;8;1;0;0;97,855903;162;0;80028;0;105000;26500;13334
14_2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;8;1;0;0;0;0;0;0;1;19;8;1;0;1;95,574846;152;0;72808;101536;105000;26500;13334
15_2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;26;6;1;0;0;0;0;0;0;1;26;6;1;0;0;95,402778;142;8520;77248;102240;52500;43000;13334
16_2;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;26;14;3;0;1;0;0;0;0;0;26;14;3;0;0;97,456790;132;0;108768;0;337500;404000;26668
17_2;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;30;13;1;0;1;0;0;0;0;0;30;13;1;0;1;93,455556;122;14640;272792;0;52500;403000;26668
