Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;97,222222;172;0;3440;0;52500;1000;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;97,916667;162;0;4860;0;52500;0;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;98,379630;152;0;5320;0;52500;1000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;4;1;1;0;0;96,041667;142;0;16188;0;52500;19500;20001
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;98,055556;132;0;9240;0;52500;2000;13334
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;6;4;0;0;0;96,064815;122;0;20740;0;52500;4000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0;0;3;5;1;0;0;96,892361;112;0;20048;0;52500;23500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;7;1;1;0;0;97,791667;122;0;19398;0;52500;19500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;5;1;0;0;0;0;0;0;0;7;5;1;0;0;97,233796;132;0;31548;0;52500;23500;20001
9_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;5;1;0;0;0;0;0;0;0;12;5;1;0;0;96,884921;142;0;44588;0;52500;23500;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;8;3;1;0;0;0;0;0;0;0;8;3;1;0;0;98,142361;152;0;32528;0;52500;21500;20001
11_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;5;0;0;0;0;0;0;0;0;14;5;0;0;0;97,608025;162;0;50220;0;105000;5000;20001
12_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;6;1;0;0;0;0;0;0;0;13;6;1;0;0;97,576389;172;0;60028;0;157500;24500;20001
13_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;5;0;0;0;0;0;0;0;0;14;5;0;0;0;98,042929;162;0;50220;0;52500;5000;13334
14_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;0;0;0;0;0;15;3;0;0;0;98,350694;152;0;43320;0;52500;3000;20001
15_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;18;6;0;0;0;0;0;0;0;0;18;6;0;0;0;97,275641;142;17040;55380;0;52500;43000;20001
16_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;14;10;2;0;0;0;0;0;0;0;14;10;2;0;0;97,628968;132;0;63096;0;337500;47000;26668
17_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;17;8;1;0;0;0;0;0;0;0;17;8;1;0;0;97,643519;122;7320;54778;0;52500;45000;20001
18_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;17;7;1;0;0;0;0;0;0;1;17;7;1;0;1;94,895833;112;20160;48048;63504;52500;81000;20001
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;5;1;0;0;0;0;0;0;1;28;5;1;0;0;94,795752;122;0;67588;87840;52500;23500;20001
20_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;6;1;0;0;0;0;0;0;1;25;6;1;0;0;95,181327;132;0;69828;95040;52500;24500;20001
21_0;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;21;13;2;0;0;0;0;0;1;1;21;13;2;1;0;91,549708;142;76680;91306;160318;157500;216500;40002
22_0;2;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;28;12;0;1;0;0;0;0;0;1;28;12;0;0;0;94,830623;152;18240;104272;109440;390000;122500;26668
23_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;14;2;0;0;0;0;0;0;1;29;14;2;0;0;95,255682;162;0;126846;116640;157500;51000;20001
24_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;3;0;0;0;1;6;4;0;1;29;9;4;0;0;87,825059;172;0;82560;626080;157500;3000;13334
