Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;5;1;0;0;0;0;1;0;0;12;5;2;0;0;93,090278;172;0;54008;117132;157500;23500;20001
1_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;2;1;0;0;0;0;0;0;0;11;2;0;0;0;98,423611;162;0;36774;0;105000;20500;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;0;0;0;11;6;0;0;0;98,020833;152;0;43320;0;52500;6000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;5;1;0;0;0;0;0;0;0;11;5;1;0;0;97,923611;142;0;42458;0;52500;23500;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;2;1;0;0;0;0;0;0;0;12;2;1;0;0;98,236111;132;0;33528;0;52500;20500;20001
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;11;6;1;0;0;0;0;0;0;0;11;6;1;0;0;97,784722;122;0;38918;0;52500;24500;33335
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;16;1;0;0;0;0;0;0;0;29;16;1;0;0;97,260417;112;0;88368;0;52500;34500;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;1;0;21;7;0;1;0;97,461806;122;0;55510;33672;52500;7000;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;10;0;0;0;0;0;0;1;0;19;10;0;0;0;95,815972;132;0;64020;95040;52500;10000;20001
9_0;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;21;10;0;0;0;0;0;0;1;0;21;10;0;0;0;93,836806;142;76680;73130;102240;157500;176500;40002
10_0;3;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;25;11;0;1;0;0;0;0;0;1;25;11;0;0;1;95,864583;152;36480;94392;50160;442500;158500;26668
11_0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;8;2;0;0;0;0;0;0;1;25;8;2;0;0;95,406250;162;0;97686;116640;442500;45000;26668
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;2;14;1;1;1;38;14;1;1;0;77,465278;172;0;92880;1.58154e+06;157500;0;13334
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;16;0;0;0;0;16;2;1;2;39;18;1;0;1;65,046296;162;0;147582;2.29862e+06;157500;16000;13334
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;33;39;4;0;0;0;0;0;1;4;33;23;2;0;2;91,731481;152;0;181640;361304;157500;113000;20001
15_0;3;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;34;16;1;0;0;0;0;0;1;5;34;16;1;0;1;87,650463;142;59640;122688;575242;157500;164000;40002
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;20;2;0;0;0;0;0;1;5;34;20;2;0;0;87,736111;132;0;129096;570240;52500;57000;20001
17_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;26;3;0;0;0;0;0;1;7;47;26;3;0;2;88,649306;122;0;161894;635742;105000;81500;20001
0_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;0;0;0;11;6;0;0;0;98,020833;172;0;49020;0;157500;6000;20001
