Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;96,759259;172;0;12040;0;52500;2000;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;3;1;0;1;0;82,314815;162;0;10530;113238;52500;1000;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;1;0;4;2;0;0;0;87,345679;152;0;15200;109440;52500;2000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;1;0;6;2;0;0;0;90,162037;142;0;18460;102240;52500;2000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;1;0;12;3;0;0;0;91,111111;132;0;31680;95040;52500;3000;20001
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;12;3;1;1;0;0;0;0;0;0;12;3;1;0;0;97,685185;122;0;36600;0;52500;95000;33335
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0;0;0;0;0;0;1;0;9;6;0;1;0;96,838624;112;0;28560;24976;52500;6000;20001
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;0;0;2;0;19;7;0;1;0;92,951389;122;0;51850;96746;52500;7000;13334
8_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;3;1;2;0;0;0;0;0;0;21;3;1;0;0;97,628601;132;0;60852;0;337500;168500;26668
9_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;19;5;0;0;0;0;0;0;0;0;19;5;0;0;0;97,384259;142;25560;54670;0;52500;60500;20001
