Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;9;0;0;0;0;0;0;0;0;29;9;0;0;0;97,864583;172;0;105780;0;52500;9000;20001
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;12;0;0;0;0;0;0;0;0;25;12;0;0;0;97,864583;162;0;99630;0;52500;12000;20001
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;6;0;0;0;0;0;0;0;0;25;6;0;0;0;98,281250;152;0;75240;0;52500;6000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;9;0;0;0;0;0;0;0;0;25;9;0;0;0;98,072917;142;0;78810;0;52500;9000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;10;0;0;0;0;0;1;0;2;29;10;1;0;2;93,128472;132;0;83820;177408;52500;10000;20001
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;26;16;1;0;1;0;0;0;0;1;26;16;0;0;0;94,777778;122;0;95648;87840;52500;369000;33335
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;6;0;0;0;0;0;0;0;1;28;6;0;0;0;95,625000;112;0;60480;80640;52500;6000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;9;1;0;0;0;0;0;0;1;21;9;1;0;0;95,663194;122;0;64538;87840;52500;27500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;0;0;0;0;0;0;1;17;10;0;0;0;95,920139;132;0;60060;95040;52500;10000;20001
9_0;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;25;5;0;0;0;0;0;0;0;1;25;5;0;0;0;92,934028;142;119280;67450;102240;157500;264000;60003
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;8;0;0;0;0;0;0;0;2;19;8;0;0;1;95,576389;152;0;67640;126008;52500;8000;20001
11_0;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;27;10;2;0;1;0;0;0;0;1;27;10;2;0;0;94,357639;162;29160;117450;116640;105000;437000;33335
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;7;0;0;0;0;0;0;0;2;26;7;0;0;1;93,336806;172;0;91160;238908;52500;7000;20001
13_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;11;0;0;0;0;0;0;0;3;28;11;0;0;1;90,822917;162;0;103680;324486;52500;11000;20001
14_0;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;23;12;1;0;0;0;0;0;0;3;23;12;1;0;0;88,475694;152;82080;94088;328320;157500;197000;40002
15_0;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;27;12;2;0;0;0;0;0;0;3;27;12;2;0;0;87,107639;142;119280;101246;306720;157500;308000;60003
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;11;2;0;0;0;0;0;0;4;24;11;2;0;1;89,809028;132;0;85536;301884;52500;48000;20001
17_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;27;11;1;1;1;0;0;0;0;3;27;11;1;1;0;88,190972;122;0;151402;263520;52500;437500;33335
18_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;13;0;0;0;0;0;0;1;4;27;13;0;1;1;87,725694;112;0;74480;321440;52500;13000;20001
19_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;6;2;0;0;0;0;0;1;4;19;6;2;0;0;85,857639;122;0;57706;439200;52500;43000;20001
20_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;24;10;1;1;0;0;0;0;0;4;24;10;1;0;0;87,847222;132;0;81840;380160;337500;102000;26668
21_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;11;1;0;0;0;0;0;0;4;25;11;1;0;0;87,815972;142;0;89318;408960;52500;29500;20001
22_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;6;1;0;0;0;0;0;0;4;29;6;1;0;0;87,954861;152;0;89528;437760;52500;24500;20001
23_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;20;0;0;0;0;0;0;0;4;47;20;0;0;0;93,081597;162;0;179010;466560;52500;20000;20001
0_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;9;0;0;0;0;0;0;0;0;28;9;0;0;0;97,916667;172;0;103200;0;52500;9000;20001
1_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;1;0;0;0;0;0;0;0;24;8;1;0;0;98,076389;162;0;89748;0;52500;26500;20001
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;0;0;27;9;1;0;0;97,850694;152;0;94088;0;52500;27500;20001
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;9;0;0;0;0;0;0;1;0;23;9;0;1;0;98,069444;142;0;74550;4402;52500;9000;20001
4_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;31;7;0;0;0;0;0;0;1;2;31;7;0;0;2;93,430556;132;0;79860;169884;52500;7000;20001
5_1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;27;6;0;1;1;0;0;0;0;1;27;6;0;0;0;95,406250;122;0;73566;87840;52500;414000;33335
6_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;10;0;0;0;0;0;0;0;3;28;10;0;0;2;91,586806;112;0;69440;201936;52500;10000;20001
7_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;8;2;0;0;0;0;0;0;3;28;8;2;0;0;90,250000;122;0;79056;263520;52500;45000;20001
8_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;15;0;0;0;0;0;0;0;3;23;15;0;0;0;90,260417;132;0;85140;285120;52500;15000;20001
9_1;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;27;11;2;0;0;0;0;0;2;4;27;11;2;2;1;84,034722;142;119280;98406;435230;157500;307000;60003
10_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;5;2;0;0;0;0;0;2;4;24;5;2;0;0;83,166667;152;0;80256;656640;52500;42000;20001
11_1;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;24;14;2;2;1;0;0;0;0;5;24;14;2;0;2;79,760417;162;29160;364824;550314;105000;588000;33335
12_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;3;0;0;0;0;0;0;6;24;8;3;0;1;83,291667;172;0;106984;720680;52500;63500;20001
13_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;6;0;0;0;0;0;0;0;6;19;6;0;0;0;83,593750;162;0;65610;699840;52500;6000;20001
14_1;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;26;8;1;0;0;0;0;0;0;6;26;8;1;0;0;81,097222;152;82080;88768;656640;157500;193000;40002
15_1;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;0;0;0;6;24;11;1;0;0;79,951389;142;119280;87188;613440;157500;288500;60003
16_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;9;0;0;0;0;0;0;1;6;26;9;0;1;0;82,881944;132;0;75240;575520;52500;9000;20001
17_1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;27;9;2;1;1;0;0;0;0;5;27;9;2;0;0;84,961806;122;0;89182;439200;52500;454000;33335
18_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;10;2;0;0;0;0;0;0;7;29;10;2;0;2;83,371528;112;0;78736;457632;52500;47000;20001
19_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;11;2;0;0;0;0;0;0;7;21;11;2;0;0;80,406250;122;0;73566;614880;52500;48000;20001
20_1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;33;7;1;0;0;0;0;0;0;7;33;7;1;0;0;80,177083;132;0;88308;665280;337500;25500;26668
21_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;10;1;0;0;0;0;0;0;7;22;10;1;0;0;80,541667;142;0;80088;715680;52500;28500;20001
22_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;8;0;0;0;0;0;0;0;7;24;8;0;0;0;80,694444;152;0;79040;766080;52500;8000;20001
23_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;47;16;0;0;0;0;0;0;0;7;47;16;0;0;0;89,470486;162;0;166050;816480;52500;16000;20001
0_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;14;0;0;0;0;0;0;0;0;29;14;0;0;0;97,517361;172;0;122980;0;52500;14000;20001
1_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;5;1;0;0;0;0;0;0;0;28;5;1;0;0;98,076389;162;0;89748;0;52500;23500;20001
2_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;12;1;0;0;0;0;0;0;0;23;12;1;0;0;97,850694;152;0;94088;0;52500;30500;20001
3_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;0;0;0;0;0;0;27;9;1;0;0;97,850694;142;0;87898;0;52500;27500;20001
4_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;14;1;0;0;0;0;0;0;1;26;14;1;0;1;96,062500;132;0;92928;56760;52500;32500;20001
5_2;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;15;0;0;1;0;0;0;0;0;23;15;0;0;0;97,579861;122;0;85034;0;52500;349500;33335
6_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;10;1;0;0;0;0;0;0;0;25;10;1;0;0;97,885417;112;0;68208;0;52500;28500;20001
7_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;14;1;0;0;0;0;0;0;1;23;14;1;0;1;96,340278;122;0;80398;48190;52500;32500;20001
8_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;12;1;0;0;0;0;0;0;2;29;12;1;0;1;93,406250;132;0;93588;157080;52500;30500;20001
9_2;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;29;13;1;0;0;0;0;0;0;3;29;13;1;0;1;88,315972;142;119280;103518;255032;157500;290500;60003
10_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;0;3;21;7;0;0;0;90,920139;152;0;69160;328320;52500;7000;20001
11_2;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;25;13;0;0;1;0;0;0;0;2;25;13;0;0;0;91,989583;162;29160;111294;233280;105000;403000;33335
12_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;0;0;0;0;3;24;5;0;0;1;93,086806;172;0;79120;263332;52500;5000;20001
13_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;9;1;0;0;0;0;0;0;3;23;9;1;0;0;90,559028;162;0;90558;349920;52500;27500;20001
14_2;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;25;11;0;0;0;0;0;0;0;4;25;11;0;0;1;88,309028;152;82080;90440;339264;157500;177500;40002
15_2;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;29;13;2;0;0;0;0;0;0;5;29;13;2;0;1;82,232639;142;119280;108346;498988;157500;309000;60003
16_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;9;1;0;0;0;0;0;0;6;17;9;1;0;1;85,631944;132;0;61908;484308;52500;27500;20001
17_2;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;26;11;2;1;1;0;0;0;0;6;26;11;2;1;1;75,625000;122;0;329400;527040;52500;456000;33335
18_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;9;1;0;0;0;0;0;0;6;30;9;1;0;0;82,694444;112;0;74368;483840;52500;27500;20001
19_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;14;2;0;0;0;0;0;1;6;20;14;2;1;0;81,652778;122;0;79056;565592;52500;51000;20001
20_2;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;32;11;1;1;0;0;0;0;0;6;32;11;1;0;0;82,361111;132;0;100320;570240;337500;103000;26668
21_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;10;2;0;0;0;0;0;0;6;22;10;2;0;0;82,923611;142;0;84916;613440;52500;47000;20001
22_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;9;1;0;0;0;0;0;0;7;23;9;1;0;1;82,159722;152;0;84968;696008;52500;27500;20001
23_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;44;23;2;0;0;0;0;0;0;7;44;23;2;0;0;89,187500;162;0;192456;816480;52500;60000;20001
0_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;10;2;0;0;0;0;0;0;0;28;10;2;0;0;97,611111;172;0;118336;0;52500;47000;20001
1_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;28;13;3;0;0;0;0;0;0;0;28;13;3;0;0;97,284722;162;0;126684;0;52500;68500;20001
2_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;15;1;0;0;0;0;0;0;0;25;15;1;0;0;97,538194;152;0;107768;0;52500;33500;20001
3_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;16;1;0;0;0;0;0;0;1;22;16;1;0;1;96,753472;142;0;97128;35642;52500;34500;20001
4_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;8;0;0;0;0;0;0;0;1;21;8;0;0;0;95,850694;132;0;62700;95040;52500;8000;20001
5_3;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;26;11;3;0;1;0;0;0;0;0;26;11;3;0;0;97,347222;122;0;93208;0;52500;401000;33335
6_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;29;11;0;0;0;0;0;0;0;0;29;11;0;0;0;97,725694;112;0;73360;0;52500;11000;20001
7_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;32;10;1;0;0;0;0;0;1;0;32;10;1;1;0;97,388889;122;0;87108;4636;52500;28500;20001
8_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;20;8;2;0;0;0;0;0;1;0;20;8;2;0;0;95,666667;132;0;69696;95040;52500;45000;20001
9_3;3;0;0;9;14;0;0;0;0;0;0;0;0;0;0;0;23;15;1;0;0;0;0;0;1;1;23;15;1;0;1;91,336806;142;119280;96418;138592;157500;292500;60003
10_3;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;9;0;0;0;0;0;0;1;2;25;9;0;0;1;91,229167;152;0;84360;299592;52500;9000;20001
11_3;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;24;10;3;2;1;0;0;0;0;2;24;10;3;1;1;84,965278;162;29160;439020;233280;105000;602500;33335
