Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;8;2;0;0;0;97,979798;172;0;27520;0;105000;2000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;9;3;0;0;0;97,537879;162;0;31590;0;52500;3000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;6;4;0;0;0;97,853535;152;0;25840;0;52500;4000;20001
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;7;1;0;0;0;98,421717;142;0;17750;0;52500;1000;13334
4_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;6;4;0;0;0;97,853535;132;0;22440;0;52500;4000;13334
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,169192;122;0;17690;0;52500;2000;33335
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0;0;13;7;0;0;0;97,885101;112;0;37520;0;52500;7000;26668
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;5;1;0;0;0;0;0;0;0;17;5;1;0;0;97,544192;122;0;47458;0;52500;23500;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;15;4;2;0;0;0;0;0;0;0;15;4;2;0;0;97,645202;132;0;49236;0;52500;41000;20001
9_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;0;1;14;2;0;0;1;96,041667;142;0;35500;53534;52500;2000;20001
10_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;1;10;3;0;0;0;94,128788;152;0;31920;109440;52500;3000;26668
11_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;14;8;0;0;0;0;0;0;0;1;14;8;0;0;0;93,118687;162;0;59940;116640;105000;8000;20001
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;0;0;2;0;0;1;19;9;0;0;0;91,022727;172;0;73100;293776;157500;7000;13334
13_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;7;1;0;0;0;0;0;0;1;25;5;1;0;0;94,760101;162;0;85050;116640;157500;25500;20001
14_0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;18;10;2;0;0;0;0;0;0;1;18;10;2;0;0;94,452862;152;9120;81776;109440;105000;65500;20001
15_0;3;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;22;7;1;0;0;0;0;0;0;1;22;7;1;0;0;92,323232;142;85200;71568;102240;157500;210500;46669
16_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;24;9;1;1;0;0;0;0;0;1;24;9;1;1;0;92,323232;132;0;145728;95040;52500;101000;33335
17_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;10;2;0;1;0;0;0;0;0;23;10;2;0;0;97,201178;122;0;81130;0;52500;381500;33335
18_0;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;26;17;1;0;0;0;0;0;0;0;26;17;1;0;0;97,209596;112;13440;85568;0;52500;72500;33335
19_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;29;9;3;1;1;0;0;0;0;1;29;9;3;1;2;89,482323;122;0;334158;72346;52500;472500;33335
20_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;14;2;0;1;0;0;0;0;0;23;14;2;0;0;97,648359;132;0;98340;0;52500;385500;33335
21_0;3;0;0;7;9;0;0;0;0;0;0;0;0;0;0;0;27;9;3;1;0;0;0;0;0;0;27;9;3;1;0;94,453914;142;76680;172814;0;157500;304500;46669
