Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;21;6;0;0;0;0;5;2;0;0;21;11;2;0;0;90,197917;172;0;74820;410736;157500;6000;13334
1_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;13;2;0;0;0;0;0;0;0;22;8;0;0;0;98,006944;162;0;92988;0;157500;50000;20001
2_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;12;2;0;0;0;0;0;0;0;25;12;2;0;0;97,628472;152;0;103816;0;105000;49000;26668
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;27;6;0;0;0;0;0;0;0;1;27;6;0;0;1;96,246528;142;0;74550;78952;52500;6000;20001
4_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;28;11;0;0;1;0;0;0;0;0;28;11;0;0;0;97,597222;132;0;91344;0;52500;345500;33335
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;28;11;0;0;0;0;0;0;0;0;28;11;0;0;0;97,777778;122;0;78080;0;52500;11000;33335
6_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;27;9;1;0;1;0;0;0;0;0;27;9;1;0;1;92,670139;112;0;236432;0;52500;362000;33335
7_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;10;1;0;0;0;0;0;0;0;23;10;1;0;0;97,989583;122;0;70638;0;52500;28500;33335
8_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;27;10;0;0;0;0;0;0;0;0;27;10;0;0;0;97,899306;132;0;79860;0;52500;10000;33335
9_0;3;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;17;11;0;0;0;0;3;0;0;0;17;14;0;0;0;95,024306;142;93720;67450;42316;157500;214500;46669
10_0;3;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;24;9;0;0;0;2;1;0;0;0;26;7;0;0;0;92,902778;152;54720;78432;177536;157500;120000;26668
11_0;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;34;12;0;0;0;0;1;0;0;0;32;12;0;0;0;94,770833;162;9720;117612;116640;157500;30500;20001
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;1;4;2;0;0;25;8;2;0;0;87,461806;172;0;79120;541972;157500;5000;13334
13_0;3;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;19;10;0;0;0;0;6;3;0;0;18;12;1;0;0;78,409722;162;19440;76626;911250;157500;47000;20001
14_0;3;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;23;1;0;0;0;0;17;3;0;0;23;12;0;0;0;66,868056;152;63840;55480;1.33106e+06;157500;130500;40002
15_0;3;0;0;9;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;18;27;3;0;0;23;10;0;0;0;12,038194;142;110760;10650;3.47588e+06;157500;240500;60003
16_0;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;51;37;3;0;0;0;0;0;0;0;33;10;0;0;0;96,420139;132;0;136092;0;157500;92500;46669
17_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;26;10;1;0;0;0;0;0;0;0;26;10;1;0;0;97,833333;122;0;76128;0;52500;28500;33335
18_0;1;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;28;8;1;0;0;0;0;0;0;0;28;8;1;0;0;97,243056;112;20160;68768;0;52500;82000;33335
19_0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;27;13;0;0;0;0;0;0;0;0;27;13;0;0;0;97,482639;122;7320;81130;0;52500;31500;33335
20_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;13;2;0;0;0;0;0;0;0;23;13;2;0;0;97,663194;132;0;88836;0;52500;50000;33335
21_0;3;0;0;7;0;10;0;0;0;0;0;0;0;0;0;0;26;9;2;1;0;0;0;1;0;0;26;9;3;1;0;93,621528;142;85200;165856;9798;157500;304500;46669
22_0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;24;13;1;0;0;0;0;0;0;0;24;13;0;0;0;97,354167;152;18240;97584;0;105000;68500;26668
23_0;3;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;21;7;2;0;0;0;0;0;0;0;21;7;2;0;0;97,975694;162;9720;84726;0;157500;62500;20001
24_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;0;4;2;0;0;24;9;2;0;0;90,944444;172;0;79120;369456;157500;5000;13334
