Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;97,222222;172;0;3440;0;52500;1000;13334
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;97,685185;162;0;8100;0;52500;1000;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;3;2;0;0;0;97,638889;152;0;12920;0;52500;2000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0;0;6;3;1;0;0;96,805556;142;0;26128;0;52500;21500;20001
4_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;1;6;4;0;0;1;96,654040;132;0;22440;12540;52500;4000;33335
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;0;1;0;0;0;0;0;10;5;0;0;0;97,003968;122;0;36844;0;52500;339500;33335
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;6;1;0;0;0;0;0;0;0;12;6;1;0;0;97,422840;112;0;37408;0;52500;24500;20001
7_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;1;0;0;0;0;0;15;3;0;0;1;88,781566;122;0;216794;0;52500;337500;33335
8_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;13;5;2;0;0;0;0;0;0;0;13;5;2;0;0;98,060897;132;0;47916;0;52500;42000;33335
9_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;20;9;2;0;0;0;0;0;0;0;20;9;2;0;0;97,275986;142;8520;77816;0;52500;64500;20001
10_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;9;0;1;0;0;0;0;0;0;21;9;0;1;0;96,045525;152;0;155800;0;52500;82500;26668
11_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;26;11;1;0;0;0;0;0;0;0;26;11;1;0;0;97,818428;162;0;104328;0;157500;29500;20001
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;31;2;0;0;0;0;9;3;0;1;31;11;3;0;1;84,790189;172;0;86860;798424;157500;2000;13334
13_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;34;20;0;0;0;0;3;5;0;2;34;14;2;0;1;81,535639;162;0;135756;1.0057e+06;157500;20000;13334
14_0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;34;17;10;0;0;0;0;0;0;2;34;14;5;0;0;94,034840;152;0;166288;218880;157500;202000;26668
15_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;41;20;0;0;0;0;0;0;0;2;41;20;0;0;0;94,833754;142;0;144130;204480;105000;20000;26668
16_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;42;10;2;0;0;0;0;0;0;2;42;10;2;0;0;95,323440;132;15840;118536;190080;105000;84000;26668
17_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;47;23;1;0;0;0;0;0;0;2;47;23;1;0;0;95,210069;122;14640;146278;175680;105000;78500;26668
