Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;0;0;0;10;0;0;0;29;13;0;0;0;84,031250;172;0;85140;705888;157500;3000;13334
1_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;20;1;0;0;0;0;0;0;0;24;10;1;0;0;97,659722;162;0;109188;0;157500;38500;20001
2_0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;24;9;1;0;0;0;0;0;0;0;24;9;1;0;0;98,006944;152;0;87248;0;105000;27500;20001
3_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;31;8;0;0;0;0;0;0;0;0;31;8;0;0;0;97,829861;142;0;88750;0;52500;8000;26668
4_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;22;9;1;0;0;0;0;0;0;0;22;9;1;0;0;98,111111;132;0;71808;0;52500;27500;33335
5_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;10;2;0;0;0;0;0;0;0;23;10;2;0;0;97,871528;122;0;74786;0;52500;47000;33335
6_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;23;11;1;0;0;0;0;0;0;0;23;11;1;0;0;97,920139;112;0;67088;0;52500;29500;33335
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;5;0;0;0;0;0;0;0;0;30;5;0;0;0;98,090278;122;0;67100;0;52500;5000;20001
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;10;0;0;0;0;0;0;0;2;25;10;0;0;2;95,312500;132;0;75900;102300;52500;10000;26668
9_0;3;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;28;12;0;0;0;0;0;2;0;2;28;12;2;0;0;88,534722;142;85200;93720;289964;157500;197000;46669
10_0;3;0;0;5;6;0;0;0;0;0;0;0;0;0;0;0;20;7;1;1;0;0;0;1;0;2;20;7;0;1;0;87,805556;152;54720;150784;328320;157500;210000;33335
11_0;3;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;20;11;0;0;0;2;0;1;0;2;22;11;0;0;0;88,020833;162;19440;84240;455220;157500;48000;26668
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;0;0;0;7;1;0;2;27;10;0;0;0;81,954861;172;0;81012;812872;157500;3000;13334
13_0;3;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;21;9;0;0;0;0;8;2;0;2;21;10;1;0;0;69,479167;162;19440;80190;1.32435e+06;157500;46000;20001
14_0;3;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;7;18;4;0;2;30;10;2;0;0;36,888889;152;63840;52440;2.64647e+06;157500;129500;40002
