Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;97,222222;172;0;3440;0;52500;1000;20001
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;1;0;0;0;96,990741;162;0;10530;0;52500;1000;13334
2_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;97,222222;152;0;15200;0;52500;2000;20001
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;6;1;0;0;0;98,090278;142;0;15620;0;52500;1000;20001
4_0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;4;3;0;0;0;98,484848;132;0;15840;0;52500;3000;33335
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;7;2;0;0;0;98,561508;122;0;17690;0;52500;2000;20001
6_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11;7;0;0;0;0;0;1;0;0;11;7;1;0;0;95,038580;112;0;34160;37856;52500;7000;13334
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;15;5;1;1;0;0;0;0;0;0;15;5;0;1;0;94,463384;122;0;106994;0;52500;97000;26668
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;0;0;0;0;0;0;1;16;4;0;0;1;94,716880;132;0;42240;88308;52500;4000;20001
9_0;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;21;12;2;0;0;0;0;0;0;1;21;12;2;0;0;93,714158;142;8520;88466;102240;52500;67500;26668
10_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;27;11;1;0;0;0;0;0;0;1;27;11;1;0;0;94,679784;152;0;100168;109440;105000;29500;26668
11_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;14;0;0;0;0;0;0;0;1;21;14;0;0;0;95,545393;162;0;96390;116640;157500;14000;20001
12_0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;24;5;0;0;0;1;8;0;0;1;25;13;0;0;0;86,643026;172;0;79120;698320;157500;5000;13334
13_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;37;19;0;0;0;0;2;2;0;1;36;13;2;0;0;89,751048;162;0;137862;495720;157500;19000;20001
14_0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;41;26;6;0;0;0;0;0;0;1;41;24;4;0;0;95,266008;152;0;196232;109440;157500;137000;20001
15_0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;40;10;2;0;0;0;0;0;0;2;40;10;2;0;1;96,180556;142;0;123256;134474;105000;47000;26668
16_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;44;23;1;1;0;0;0;0;0;2;44;23;1;1;0;93,828006;132;15840;222288;190080;105000;152000;26668
17_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;49;18;1;0;0;0;0;0;0;2;49;18;1;0;0;95,331597;122;14640;137738;175680;105000;73500;26668
0_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100,000000;172;0;0;0;52500;0;20001
1_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;97,916667;162;0;7290;0;52500;0;13334
2_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;0;0;97,222222;152;0;15200;0;52500;2000;20001
3_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;99,131944;142;0;7100;0;52500;1000;20001
4_1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;0;0;0;6;4;1;0;0;97,424242;132;0;26928;0;52500;22500;33335
5_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;0;0;0;11;3;0;0;0;97,767857;122;0;27450;0;52500;3000;20001
6_1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;10;2;0;0;0;98,533951;112;0;21280;0;52500;2000;13334
7_1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;12;7;0;0;0;0;0;0;0;0;12;7;0;0;0;97,979798;122;0;39040;0;52500;7000;26668
8_1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;19;12;0;0;0;0;0;0;0;0;19;12;0;0;0;97,195513;132;0;69300;0;52500;12000;20001
9_1;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;16;8;0;0;0;0;0;0;0;0;16;8;0;0;0;97,939068;142;8520;56800;0;52500;26500;26668
10_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;10;0;0;0;0;0;0;0;0;21;10;0;0;0;98,013117;152;0;78280;0;105000;10000;26668
11_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;8;2;0;0;0;0;0;0;0;25;8;2;0;0;97,957317;162;0;97686;0;157500;45000;20001
12_1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;32;2;0;0;0;0;4;2;0;0;32;6;2;0;0;91,046099;172;0;89440;431720;157500;2000;13334
13_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;30;13;2;0;0;0;0;0;0;2;30;9;0;0;2;95,953878;162;0;114372;135756;157500;50000;20001
14_1;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;34;19;4;0;0;0;0;0;0;3;34;19;4;0;1;93,613465;152;0;155952;256424;157500;93000;20001
15_1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;44;14;1;0;0;0;0;0;0;4;44;14;1;0;1;91,948653;142;0;138308;404984;105000;32500;26668
16_1;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;44;13;2;0;0;0;0;0;0;5;44;13;2;0;1;92,391553;132;15840;130416;381612;105000;87000;26668
17_1;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;49;17;3;1;0;0;0;0;0;6;49;17;3;1;1;90,055556;122;14640;208254;475922;105000;183000;26668
0_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;93,194444;172;0;8428;0;52500;18500;20001
1_2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;99,074074;162;0;3240;0;52500;1000;13334
2_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;5;3;0;0;0;96,250000;152;0;20520;0;52500;3000;20001
3_2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;98,177083;142;0;14910;0;52500;0;20001
4_2;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;6;2;0;0;0;98,358586;132;0;17160;0;52500;2000;33335
