Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;32;14;2;0;0;0;0;0;0;0;32;14;2;0;0;98,083333;106.296;0;88013;0;105000;51000;13334
1_0;2;0;0;2;0;0;0;0;42;11;2;0;0;0;0;0;0;0;42;11;2;0;0;97,875000;105.205;0;96578.1;0;105000;48000;13334
2_0;1;0;0;2;0;0;0;0;43;11;3;0;0;0;0;0;0;0;43;11;3;0;0;97,761574;84.6637;0;81869.7;0;52500;66500;13334
3_0;1;0;0;2;0;0;0;0;39;18;0;0;0;0;0;0;0;1;39;18;0;0;1;96,451389;83.6099;0;79011.4;49162.6;52500;18000;13334
4_0;1;0;0;2;0;0;0;0;35;12;1;0;0;0;0;0;0;2;35;12;1;0;1;96,226852;93.2017;0;74468.1;77450.6;52500;30500;13334
5_0;2;0;0;2;0;0;0;0;36;18;1;0;0;0;0;0;0;3;36;18;1;0;1;93,490741;102.297;0;95545.7;192114;105000;36500;13334
6_0;2;1;0;4;0;0;0;0;34;18;0;1;0;0;0;0;0;3;34;18;0;1;0;91,759259;124.668;0;174536;269284;390000;91500;26668
7_0;2;0;0;3;0;0;0;0;39;11;1;0;0;0;0;0;0;6;39;11;1;0;3;91,101852;128.355;0;107690;385707;105000;29500;20001
8_0;3;0;0;3;0;0;0;0;35;11;2;0;0;0;0;0;0;9;35;11;2;0;3;85,407407;169.512;0;137813;930790;157500;48000;20001
9_0;3;0;0;3;1;0;0;0;41;15;0;0;0;0;0;0;0;9;41;15;0;0;0;82,743056;155.618;9337.08;142390;1.0084e+06;157500;33500;20001
10_0;2;0;0;3;0;0;0;0;42;13;1;0;0;0;0;0;0;10;42;13;1;0;1;82,844907;149.164;0;137827;967625;105000;31500;20001
11_0;3;1;0;4;5;0;0;0;36;17;0;0;0;0;0;0;0;10;36;17;0;0;0;80,601852;125.69;37707;110607;904968;442500;109500;26668
12_0;15;1;0;30;54;0;0;0;42;17;0;0;0;0;0;0;0;10;42;17;0;0;0;73,587963;106.296;344399;103107;765330;1072500;1.016e+06;200010
13_0;1;0;0;2;0;0;0;0;44;14;0;0;0;0;0;0;0;10;44;14;0;0;0;81,157407;105.205;0;98892.6;757475;52500;14000;13334
14_0;1;0;0;2;0;0;0;0;37;19;1;0;0;0;0;2;1;10;37;19;3;1;0;77,548611;84.6637;0;82039.1;739114;52500;37500;13334
15_0;1;1;0;2;0;0;0;0;38;13;3;1;0;0;0;0;0;12;38;13;1;0;2;80,490741;83.6099;0;78091.7;626573;337500;142000;13334
16_0;2;0;0;2;0;0;0;0;37;13;3;0;0;0;0;0;0;13;37;13;3;0;1;77,432870;93.2017;0;85465.9;823157;105000;68500;13334
17_0;3;0;0;3;0;0;0;0;72;30;3;0;0;0;0;0;0;14;72;30;3;0;1;86,679398;102.297;0;182294;995047;157500;85500;20001
0_1;2;0;0;2;0;0;0;0;43;14;3;0;0;0;0;0;1;0;43;14;3;1;0;97,027778;106.296;0;109166;27318;105000;69500;13334
1_1;2;0;0;2;0;0;0;0;38;23;3;0;0;0;0;0;1;0;38;23;3;0;0;95,712963;105.205;0;119092;75747.5;105000;78500;13334
2_1;1;0;0;2;0;0;0;0;43;10;2;0;0;0;0;0;1;0;43;10;2;0;0;96,219907;84.6637;0;77297.9;60957.8;52500;47000;13334
3_1;1;0;0;2;0;0;0;0;39;20;0;0;0;0;0;0;1;0;39;20;0;0;0;96,053241;83.6099;0;82355.8;60199.2;52500;20000;13334
