Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;46;17;1;0;0;0;0;0;0;0;46;17;1;0;0;98,029630;106.296;0;113099;0;105000;35500;20001
1_0;2;0;0;3;0;0;0;0;43;24;0;0;0;0;0;0;0;0;43;24;0;0;0;97,916667;105.205;0;118356;0;105000;24000;20001
2_0;2;0;0;3;0;0;0;0;41;21;0;0;0;0;0;0;0;0;41;21;0;0;0;98,083333;84.6637;0;87626.9;0;105000;21000;20001
3_0;2;0;0;3;0;0;0;0;51;17;2;0;0;0;0;2;2;0;51;17;4;2;0;94,812963;83.6099;0;98074.5;136117;105000;54000;20001
4_0;2;0;0;3;0;0;0;0;51;26;0;0;0;0;0;3;2;0;51;26;1;0;0;91,937037;93.2017;0;119764;286036;105000;26000;20001
5_0;2;1;0;4;0;0;0;0;45;19;4;2;0;0;0;0;0;0;45;19;1;0;0;97,764815;102.297;0;123473;0;390000;240000;26668
6_0;3;0;0;4;2;0;0;0;48;15;3;0;0;0;0;0;0;0;48;15;3;0;0;97,700000;124.668;14960.2;139878;0;157500;107500;26668
7_0;3;0;0;3;1;0;0;0;42;19;2;0;0;0;0;0;0;1;42;19;2;0;1;96,744444;128.355;7701.3;138367;79580.1;157500;74500;20001
8_0;3;0;0;3;0;0;0;0;44;17;2;0;0;0;0;0;0;2;44;17;2;0;1;95,994444;169.512;0;181039;185616;157500;54000;20001
9_0;3;0;0;3;0;0;0;0;48;23;1;0;0;0;0;0;0;2;48;23;1;0;0;95,085185;155.618;0;188920;224090;157500;41500;20001
10_0;4;1;0;4;2;0;0;0;50;10;2;0;0;0;0;0;0;3;50;10;2;0;1;94,688889;149.164;17899.6;151849;258053;495000;84000;26668
11_0;7;0;0;11;17;0;0;0;49;20;3;0;0;0;0;0;0;5;49;20;3;0;2;90,700000;125.69;128204;155479;347533;367500;390000;73337
