Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;61;20;3;0;0;0;0;0;0;0;61;20;3;0;0;98,031944;106.296;0;150621;0;105000;75500;20001
1_0;2;0;0;3;0;0;0;0;59;31;2;0;0;0;0;0;0;0;59;31;2;0;0;97,815278;105.205;0;165487;0;105000;68000;20001
2_0;2;0;0;3;0;0;0;0;49;25;2;0;0;0;0;0;0;0;49;25;2;0;0;98,190278;84.6637;0;110317;0;105000;62000;20001
3_0;2;1;0;4;0;0;0;0;67;23;3;0;0;0;0;0;0;1;67;23;3;0;1;97,138889;83.6099;0;131017;41219.7;390000;78500;26668
4_0;2;0;0;3;0;0;0;0;56;31;3;0;0;0;0;0;0;1;56;31;3;0;0;96,830556;93.2017;0;145581;67105.2;105000;86500;20001
5_0;2;1;0;3;0;0;0;0;54;22;2;0;0;0;0;0;0;1;54;22;2;0;0;97,169444;102.297;0;134828;73654.1;390000;59000;20001
6_0;5;0;0;5;4;0;0;0;54;25;4;0;0;0;0;0;0;1;54;25;4;0;0;96,658333;124.668;29920.4;180271;89761.3;262500;173000;33335
7_0;4;1;0;4;0;0;0;0;63;26;1;0;0;0;0;0;1;1;63;26;1;1;0;96,000000;128.355;0;192404;177258;495000;44500;26668
8_0;4;1;0;4;0;0;0;0;60;25;1;1;0;0;0;0;2;2;60;25;1;2;1;94,626389;169.512;0;332922;322920;495000;117000;26668
9_0;4;1;0;4;0;0;0;0;65;20;2;2;0;0;0;0;0;3;65;20;2;0;1;95,140278;155.618;0;232649;311858;495000;204000;26668
10_0;3;0;0;3;0;0;0;0;60;30;2;0;0;0;0;0;1;3;60;30;2;1;0;94,558333;149.164;0;233889;350535;157500;67000;20001
11_0;15;0;0;26;45;0;0;0;56;22;3;0;0;0;0;0;1;3;56;22;3;0;0;90,330556;125.69;339363;173704;361987;787500;910000;173342
