Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;23;10;1;0;0;0;0;0;0;0;23;10;1;0;0;97,989583;142;0;82218;0;52500;28500;20001
1_0;1;0;0;3;0;0;0;0;26;10;1;0;0;0;0;0;0;0;26;10;1;0;0;97,833333;142;0;88608;0;52500;28500;20001
2_0;1;0;0;4;0;0;0;0;25;8;0;0;0;0;0;0;0;0;25;8;0;0;0;98,142361;142;0;75970;0;52500;8000;26668
3_0;1;0;0;4;0;0;0;0;23;8;0;0;0;0;0;0;0;0;23;8;0;0;0;98,246528;142;0;71710;0;52500;8000;26668
4_0;1;0;0;3;0;0;0;0;22;14;2;0;0;0;0;0;0;3;22;14;2;0;3;94,312500;142;0;96276;136320;52500;51000;20001
5_0;1;0;0;4;0;0;0;0;28;7;1;0;0;0;0;0;0;4;28;7;1;0;1;90,284722;142;0;84348;312968;52500;25500;26668
6_0;1;0;0;3;0;0;0;0;25;9;2;0;0;0;0;0;0;4;25;9;2;0;0;87,836806;142;0;88466;408960;52500;46000;20001
7_0;1;1;0;4;0;0;0;0;23;8;1;1;0;0;0;0;0;5;23;8;1;1;1;84,350694;142;0;151798;488196;337500;100000;26668
8_0;1;1;0;4;0;0;0;0;24;7;2;0;0;0;0;0;0;6;24;7;2;0;1;85,177083;142;0;80656;525542;337500;44000;26668
9_0;1;0;0;3;0;0;0;0;22;13;2;0;0;0;0;0;0;7;22;13;2;0;1;80,506944;142;0;93436;703752;52500;50000;20001
10_0;1;0;0;3;0;0;0;0;23;10;0;0;0;0;0;0;0;8;23;10;0;0;1;78,416667;142;0;77390;805282;52500;10000;20001
11_0;1;0;0;3;0;0;0;0;27;11;2;0;0;0;0;0;0;8;27;11;2;0;0;77,593750;142;0;98406;817920;52500;48000;20001
12_0;1;0;0;4;0;0;0;0;21;10;1;0;0;0;0;0;0;8;21;10;1;0;0;78,093750;142;0;77958;817920;52500;28500;26668
13_0;1;0;0;4;0;0;0;0;26;11;2;0;0;0;0;0;0;8;26;11;2;0;0;77,645833;142;0;96276;817920;52500;48000;26668
14_0;1;0;0;3;0;0;0;0;26;13;1;0;0;0;0;0;0;8;26;13;1;0;0;77,625000;142;0;97128;817920;52500;31500;20001
15_0;1;0;0;3;0;0;0;0;22;9;1;0;0;0;0;0;0;8;22;9;1;0;0;78,111111;142;0;77248;817920;52500;27500;20001
