Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;3;0;0;0;0;25;8;1;0;0;0;0;0;0;0;25;8;1;0;0;98,024306;142;0;80798;0;52500;26500;20001
1_0;1;0;0;3;0;0;0;0;22;12;2;0;0;0;0;0;0;0;22;12;2;0;0;97,784722;142;0;90596;0;52500;49000;20001
2_0;1;0;0;3;0;0;0;0;25;8;0;0;0;0;0;0;0;0;25;8;0;0;0;98,142361;142;0;75970;0;52500;8000;20001
3_0;1;0;0;3;0;0;0;0;25;11;0;0;0;0;0;0;0;1;25;11;0;0;1;97,750000;142;0;84490;7526;52500;11000;20001
4_0;1;1;0;4;0;0;0;0;24;13;0;0;0;0;0;0;0;1;24;13;0;0;0;95,347222;142;0;88040;102240;337500;13000;26668
5_0;1;0;0;3;0;0;0;0;20;12;0;0;0;0;0;0;0;1;20;12;0;0;0;95,625000;142;0;76680;102240;52500;12000;20001
6_0;1;0;0;3;0;0;0;0;20;11;0;0;0;0;0;0;0;1;20;11;0;0;0;95,694444;142;0;73840;102240;52500;11000;20001
7_0;1;0;0;3;0;0;0;0;24;12;3;0;0;0;0;0;0;2;24;12;3;0;1;94,072917;142;0;99684;142710;52500;67500;20001
8_0;1;1;0;4;0;0;0;0;18;13;1;0;0;0;0;0;0;2;18;13;1;0;0;93,041667;142;0;80088;204480;337500;31500;26668
9_0;7;0;0;19;35;0;0;0;27;8;2;0;0;0;0;0;0;2;27;8;2;0;0;85,510417;142;298200;89886;204480;367500;692500;126673
10_0;2;1;0;4;4;0;0;0;23;6;3;1;0;0;0;0;0;3;23;6;3;1;1;88,034722;142;34080;155774;299478;390000;209000;26668
11_0;1;0;0;3;0;0;0;0;23;11;1;0;0;0;0;0;0;3;23;11;1;0;0;90,420139;142;0;85058;306720;52500;29500;20001
12_0;1;0;0;3;1;0;0;0;27;15;2;0;0;0;0;0;0;4;27;15;2;0;1;87,968750;142;8520;109766;373744;52500;70500;20001
13_0;1;0;0;3;0;0;0;0;26;6;2;0;0;0;0;0;0;4;26;6;2;0;0;87,993056;142;0;82076;408960;52500;43000;20001
14_0;1;0;0;3;0;0;0;0;23;9;2;0;0;0;0;0;0;5;23;9;2;0;1;85,989583;142;0;84206;488764;52500;46000;20001
15_0;1;0;0;3;0;0;0;0;25;10;1;0;0;0;0;0;0;5;25;10;1;0;0;85,385417;142;0;86478;511200;52500;28500;20001
16_0;1;0;0;3;0;0;0;0;29;4;1;0;0;0;0;0;0;6;29;4;1;0;1;83,805556;142;0;77958;584330;52500;22500;20001
17_0;1;0;0;3;0;0;0;0;24;13;1;0;0;0;0;0;0;6;24;13;1;0;0;82,729167;142;0;92868;613440;52500;31500;20001
18_0;1;0;0;3;0;0;0;0;25;16;2;0;0;0;0;0;0;6;25;16;2;0;0;82,350694;142;0;108346;613440;52500;53000;20001
19_0;1;0;0;3;0;0;0;0;25;7;1;0;0;0;0;0;0;6;25;7;1;0;0;83,093750;142;0;77958;613440;52500;25500;20001
20_0;2;1;0;4;0;0;0;0;49;24;0;0;0;0;0;0;0;6;49;24;0;0;0;90,390625;142;0;172530;613440;390000;24000;26668
0_1;1;0;0;3;0;0;0;0;20;7;3;0;0;0;0;0;0;0;20;7;3;0;0;98,118056;142;0;76964;0;52500;62500;20001
1_1;1;0;0;3;0;0;0;0;25;11;1;0;0;0;0;0;0;0;25;11;1;0;0;97,815972;142;0;89318;0;52500;29500;20001
2_1;1;0;0;3;0;0;0;0;20;5;0;0;0;0;0;0;0;0;20;5;0;0;0;98,611111;142;0;56800;0;52500;5000;20001
3_1;1;0;0;3;0;0;0;0;22;7;0;0;0;0;0;0;0;0;22;7;0;0;0;98,368056;142;0;66740;0;52500;7000;20001
4_1;1;1;0;4;0;0;0;0;25;10;0;0;0;0;0;0;0;0;25;10;0;0;0;98,003472;142;0;81650;0;337500;10000;26668
5_1;1;0;0;3;0;0;0;0;22;10;1;0;0;0;0;0;0;1;22;10;1;0;1;96,201389;142;0;80088;75260;52500;28500;20001
6_1;1;0;0;3;0;0;0;0;21;6;0;0;0;0;0;0;0;1;21;6;0;0;0;95,989583;142;0;61770;102240;52500;6000;20001
7_1;1;0;0;3;0;0;0;0;23;11;0;0;0;0;0;0;1;1;23;11;0;1;0;94,934028;142;0;80230;126948;52500;11000;20001
8_1;1;1;0;4;0;0;0;0;24;13;2;0;0;0;0;0;1;1;24;13;2;0;0;92,611111;142;0;97696;204480;337500;50000;26668
9_1;7;0;0;19;35;0;0;0;27;8;2;0;0;0;0;0;1;1;27;8;2;0;0;85,510417;142;298200;89886;204480;367500;692500;126673
10_1;2;1;0;4;4;0;0;0;30;11;0;1;0;0;0;0;0;1;30;11;0;0;0;94,250000;142;34080;98832;102240;390000;158500;26668
11_1;1;0;0;3;0;0;0;0;27;7;0;0;0;0;0;0;0;1;27;7;0;0;0;95,607639;142;0;77390;102240;52500;7000;20001
12_1;1;0;0;3;1;0;0;0;29;11;2;0;0;0;0;0;0;1;29;11;2;0;0;94,781250;142;8520;102666;102240;52500;66500;20001
13_1;1;0;0;3;0;0;0;0;28;11;1;0;0;0;0;0;0;1;28;11;1;0;0;95,159722;142;0;95708;102240;52500;29500;20001
14_1;1;0;0;3;0;0;0;0;32;13;0;0;0;0;0;0;1;2;32;13;0;1;1;93,270833;142;0;105080;170116;52500;13000;20001
15_1;1;0;0;3;0;0;0;0;28;11;0;0;0;0;0;0;1;2;28;11;0;0;0;90,277778;142;0;90880;306720;52500;11000;20001
16_1;1;0;0;3;0;0;0;0;17;13;1;0;0;0;0;0;1;2;17;13;1;0;0;90,593750;142;0;77958;306720;52500;31500;20001
17_1;1;0;0;3;0;0;0;0;27;10;0;0;0;0;0;0;1;2;27;10;0;0;0;90,399306;142;0;85910;306720;52500;10000;20001
18_1;1;0;0;3;0;0;0;0;24;13;1;0;0;0;0;0;1;2;24;13;1;0;0;90,229167;142;0;92868;306720;52500;31500;20001
19_1;1;0;0;3;0;0;0;0;25;10;1;0;0;0;0;0;1;3;25;10;1;0;1;89,312500;142;0;86478;350598;52500;28500;20001
20_1;2;1;0;4;0;0;0;0;44;23;1;1;0;0;0;0;0;3;44;23;1;0;0;94,201389;142;0;167560;306720;390000;115000;26668
0_2;1;0;0;3;0;0;0;0;25;13;0;0;0;0;0;0;0;0;25;13;0;0;0;97,795139;142;0;90170;0;52500;13000;20001
1_2;1;0;0;3;0;0;0;0;29;9;2;0;0;0;0;0;0;0;29;9;2;0;0;97,628472;142;0;96986;0;52500;46000;20001
2_2;1;0;0;3;0;0;0;0;27;10;4;0;0;0;0;0;2;1;27;10;4;2;1;94,930556;142;0;105222;102098;52500;84000;20001
3_2;1;0;0;3;0;0;0;0;25;8;1;0;0;0;0;0;2;2;25;8;1;0;1;88,732639;142;0;80798;379992;52500;26500;20001
4_2;1;1;0;4;0;0;0;0;25;10;2;3;0;0;0;0;0;2;25;10;2;1;0;90,746528;142;0;173950;204480;337500;267500;26668
5_2;1;0;0;3;0;0;0;0;28;11;2;0;0;0;0;0;0;2;28;11;2;0;0;92,541667;142;0;100536;204480;52500;48000;20001
6_2;1;0;0;3;0;0;0;0;25;9;0;0;0;0;0;0;0;2;25;9;0;0;0;93,072917;142;0;78810;204480;52500;9000;20001
7_2;1;0;0;3;0;0;0;0;27;7;0;0;0;0;0;0;1;2;27;7;0;1;0;92,572917;142;0;77390;226348;52500;7000;20001
8_2;1;1;0;4;0;0;0;0;20;13;0;1;0;0;0;0;0;2;20;13;0;0;0;92,965278;142;0;83212;204480;337500;86500;26668
9_2;7;0;0;19;35;0;0;0;24;14;1;0;0;0;0;0;0;3;24;14;1;0;1;85,069444;142;298200;95708;216692;367500;680000;126673
10_2;2;1;0;4;4;0;0;0;21;12;0;0;0;0;0;0;0;4;21;12;0;0;1;87,590278;142;34080;78810;394618;390000;86000;26668
11_2;1;0;0;3;0;0;0;0;23;11;1;0;0;0;0;0;0;4;23;11;1;0;0;87,920139;142;0;85058;408960;52500;29500;20001
12_2;1;0;0;3;1;0;0;0;27;9;1;0;0;0;0;0;0;4;27;9;1;0;0;87,642361;142;8520;87898;408960;52500;46000;20001
13_2;1;0;0;3;0;0;0;0;21;3;1;0;0;0;0;0;0;5;21;3;1;0;1;88,322917;142;0;58078;419468;52500;21500;20001
14_2;1;0;0;3;0;0;0;0;24;11;0;0;0;0;0;0;0;5;24;11;0;0;0;85,486111;142;0;82360;511200;52500;11000;20001
15_2;1;0;0;3;0;0;0;0;22;11;1;0;0;0;0;0;0;6;22;11;1;0;1;83,729167;142;0;82928;582484;52500;29500;20001
16_2;1;0;0;3;0;0;0;0;30;8;1;0;0;0;0;0;0;6;30;8;1;0;0;82,763889;142;0;91448;613440;52500;26500;20001
17_2;1;0;0;3;0;0;0;0;23;14;1;0;0;0;0;0;0;7;23;14;1;0;1;81,555556;142;0;93578;660726;52500;32500;20001
18_2;1;0;0;3;0;0;0;0;25;9;0;0;0;0;0;0;0;7;25;9;0;0;0;80,572917;142;0;78810;715680;52500;9000;20001
19_2;1;0;0;3;0;0;0;0;29;8;1;0;0;0;0;0;2;7;29;8;1;2;0;79,298611;142;0;89318;757286;52500;26500;20001
20_2;2;1;0;4;0;0;0;0;54;22;3;2;0;0;0;0;0;7;54;22;3;0;0;88,812500;142;0;199368;715680;390000;224500;26668
0_3;1;0;0;3;0;0;0;0;21;8;1;0;0;0;0;0;0;0;21;8;1;0;0;98,232639;142;0;72278;0;52500;26500;20001
1_3;1;0;0;3;0;0;0;0;24;13;0;0;0;0;0;0;0;0;24;13;0;0;0;97,847222;142;0;88040;0;52500;13000;20001
2_3;1;0;0;3;0;0;0;0;27;13;1;0;0;0;0;0;0;0;27;13;1;0;0;97,572917;142;0;99258;0;52500;31500;20001
3_3;1;0;0;3;0;0;0;0;21;8;1;0;0;0;0;0;0;0;21;8;1;0;0;98,232639;142;0;72278;0;52500;26500;20001
4_3;1;1;0;4;0;0;0;0;27;17;0;1;0;0;0;0;0;1;27;17;0;1;1;93,145833;142;0;181050;99258;337500;90500;26668
5_3;1;0;0;3;0;0;0;0;20;11;1;0;0;0;0;0;0;1;20;11;1;0;0;95,576389;142;0;78668;102240;52500;29500;20001
6_3;1;0;0;3;0;0;0;0;28;15;0;0;0;0;0;0;0;2;28;15;0;0;1;92,725694;142;0;102240;195250;52500;15000;20001
7_3;1;0;0;3;0;0;0;0;28;14;2;0;0;0;0;0;0;2;28;14;2;0;0;92,333333;142;0;109056;204480;52500;51000;20001
8_3;1;1;0;4;0;0;0;0;20;9;1;0;0;0;0;0;0;2;20;9;1;0;0;93,215278;142;0;72988;204480;337500;27500;26668
9_3;7;0;0;19;35;0;0;0;27;12;0;0;0;0;0;0;0;3;27;12;0;0;1;83,552083;142;298200;91590;282864;367500;659500;126673
