Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;38;9;4;0;0;0;0;0;0;0;38;9;4;0;0;97,949074;149.164;0;132159;0;105000;83000;20001
1_0;2;0;0;3;0;0;0;0;38;15;0;0;0;0;0;0;0;0;38;15;0;0;0;97,986111;125.69;0;109350;0;105000;15000;20001
2_0;2;1;0;4;0;0;0;0;38;13;0;0;0;0;0;0;0;0;38;13;0;0;0;98,078704;106.296;0;88225.5;0;390000;13000;26668
3_0;1;0;0;3;0;0;0;0;36;10;0;0;0;0;0;0;0;0;36;10;0;0;0;98,287037;105.205;0;77851.6;0;52500;10000;20001
4_0;2;0;0;3;0;0;0;0;35;15;3;0;0;0;0;0;0;0;35;15;3;0;0;97,854167;84.6637;0;78483.2;0;105000;70500;20001
5_0;1;0;0;3;0;0;0;0;32;17;1;0;0;0;0;0;0;0;32;17;1;0;0;98,023148;83.6099;0;71402.9;0;52500;35500;20001
6_0;2;0;0;3;0;0;0;0;35;20;1;0;0;0;0;0;0;0;35;20;1;0;0;97,780093;93.2017;0;89380.4;0;105000;38500;20001
7_0;2;0;0;3;0;0;0;0;37;11;1;0;0;0;0;0;0;0;37;11;1;0;0;98,127315;102.297;0;82758.6;0;105000;29500;20001
8_0;2;0;0;3;1;0;0;0;39;14;1;0;0;0;0;0;0;1;39;14;1;0;1;96,900463;124.668;7480.11;112077;47374;105000;51000;20001
9_0;12;0;0;15;26;0;0;0;42;17;1;0;0;0;0;0;0;1;42;17;1;0;0;92,398148;128.355;200234;128868;92415.6;630000;516500;100005
10_0;3;0;0;3;1;0;0;0;36;14;1;0;0;0;0;0;0;1;36;14;1;0;0;96,217593;169.512;10170.7;144763;122049;157500;51000;20001
11_0;4;1;0;5;4;0;0;0;34;17;2;1;0;0;0;0;0;2;34;17;2;1;1;93,129630;155.618;37348.3;225335;199191;495000;201500;33335
12_0;12;1;0;16;28;0;0;0;43;12;2;0;0;0;0;0;0;3;43;12;2;0;1;89,439815;149.164;250595;142153;287737;915000;567000;106672
13_0;2;0;0;3;0;0;0;0;37;18;2;0;0;0;0;0;0;3;37;18;2;0;0;92,724537;125.69;0;123553;271490;105000;55000;20001
14_0;2;1;0;4;0;0;0;0;33;22;1;0;0;0;0;0;0;3;33;22;1;0;0;92,756944;106.296;0;103001;229599;390000;40500;26668
15_0;1;0;0;3;0;0;0;0;42;15;0;0;0;0;0;0;0;3;42;15;0;0;0;92,847222;105.205;0;97840.6;227243;52500;15000;20001
16_0;1;0;0;3;0;0;0;0;33;20;0;0;0;0;0;2;0;3;33;20;2;0;0;90,486111;84.6637;0;75774;272194;52500;20000;20001
17_0;2;1;0;4;0;0;0;0;34;13;6;1;0;0;0;0;0;4;34;13;4;1;1;90,918981;83.6099;0;123743;204259;390000;197500;26668
18_0;2;0;0;3;0;0;0;0;41;15;0;0;0;0;0;0;0;4;41;15;0;0;0;91,215278;93.2017;0;85279.5;268421;105000;15000;20001
19_0;2;0;0;3;0;1;0;0;34;20;0;0;0;0;0;0;0;4;34;20;0;0;0;91,087963;102.297;6137.84;93090.6;294616;105000;38500;20001
20_0;4;0;0;4;0;0;0;0;75;27;0;0;0;0;0;0;0;4;75;27;0;0;0;94,739583;124.668;0;207573;359045;210000;27000;26668
0_1;2;0;0;3;0;0;0;0;34;16;5;0;0;0;0;0;0;0;34;16;5;0;0;97,685185;149.164;0;149164;0;105000;108500;20001
1_1;2;0;0;3;0;0;0;0;43;13;2;0;0;0;0;0;0;0;43;13;2;0;0;97,747685;125.69;0;122296;0;105000;50000;20001
2_1;2;1;0;4;0;0;0;0;39;12;1;0;0;0;0;0;0;0;39;12;1;0;0;98,011574;106.296;0;91308.1;0;390000;30500;26668
3_1;1;0;0;3;0;0;0;0;41;19;0;0;0;0;0;0;0;0;41;19;0;0;0;97,696759;105.205;0;104679;0;52500;19000;20001
4_1;2;0;0;3;0;0;0;0;35;16;0;0;0;0;0;0;0;0;35;16;0;0;0;98,043981;84.6637;0;71540.8;0;105000;16000;20001
5_1;1;0;0;3;0;0;0;0;30;12;0;0;0;0;0;0;0;1;30;12;0;0;1;97,636574;83.6099;0;57690.9;27674.9;52500;12000;20001
6_1;2;0;0;3;0;0;0;0;37;16;1;0;0;0;0;0;0;1;37;16;1;0;0;96,229167;93.2017;0;84720.3;67105.2;105000;34500;20001
7_1;2;0;0;3;0;0;0;0;32;19;0;0;0;0;0;0;0;1;32;19;0;0;0;96,342593;102.297;0;87975.7;73654.1;105000;19000;20001
8_1;2;0;0;3;1;0;0;0;40;17;1;0;0;0;0;0;0;1;40;17;1;0;0;95,939815;124.668;7480.11;121427;89761.3;105000;54000;20001
9_1;12;0;0;15;26;0;0;0;33;15;1;0;0;0;0;0;0;2;33;15;1;0;1;91,645833;128.355;200234;106406;156593;630000;514500;100005
10_1;3;0;0;3;1;0;0;0;39;17;1;0;0;0;0;0;1;2;39;17;1;1;0;93,307870;169.512;10170.7;162562;317326;157500;54000;20001
11_1;4;1;0;5;4;0;0;0;41;13;4;1;0;0;0;0;0;3;41;13;4;0;1;93,025463;155.618;37348.3;161376;270153;495000;234500;33335
12_1;12;1;0;16;28;0;0;0;38;15;2;1;0;0;0;0;0;3;38;15;2;1;0;87,712963;149.164;250595;218972;322194;915000;643500;106672
13_1;2;0;0;3;0;0;0;0;34;14;2;0;0;0;0;0;0;4;34;14;2;0;1;92,812500;125.69;0;107842;282425;105000;51000;20001
14_1;2;1;0;4;0;0;0;0;36;14;1;0;0;0;0;0;0;4;36;14;1;0;0;91,356481;106.296;0;90776.6;306132;390000;32500;26668
15_1;1;0;0;3;0;0;0;0;42;10;1;0;0;0;0;0;1;4;42;10;1;1;0;89,916667;105.205;0;90897;367376;52500;28500;20001
16_1;1;0;0;3;0;0;0;0;41;10;1;0;0;0;0;0;1;4;41;10;1;0;0;89,701389;84.6637;0;71879.4;304789;52500;28500;20001
17_1;2;1;0;4;0;0;0;0;40;11;1;4;0;0;0;0;0;4;40;11;1;3;0;87,615741;83.6099;0;206517;240797;390000;323500;26668
18_1;2;0;0;3;0;0;0;0;42;21;1;0;0;0;0;0;1;4;42;21;1;1;0;89,712963;93.2017;0;101031;313158;105000;39500;20001
19_1;2;0;0;3;0;1;0;0;31;20;0;0;0;0;0;0;1;4;31;20;0;0;0;89,525463;102.297;6137.84;88487.2;368271;105000;38500;20001
20_1;4;0;0;4;0;0;0;0;74;36;3;0;0;0;0;0;1;4;74;36;3;0;0;93,597222;124.668;0;240859;448806;210000;91500;26668
0_2;2;0;0;3;0;0;0;0;35;20;2;0;0;0;0;0;0;0;35;20;2;0;0;97,701389;149.164;0;148120;0;105000;57000;20001
1_2;2;0;0;3;0;0;0;0;39;15;2;0;0;0;0;0;1;0;39;15;2;1;0;96,717593;125.69;0;119783;58445.8;105000;52000;20001
2_2;2;1;0;4;0;0;0;0;40;17;1;2;0;0;0;0;0;0;40;17;1;1;0;96,458333;106.296;0;162633;0;390000;182500;26668
3_2;1;0;0;3;0;0;0;0;34;16;0;0;0;0;0;0;0;1;34;16;0;0;1;97,706019;105.205;0;87320.1;16938;52500;16000;20001
4_2;2;0;0;3;0;0;0;0;33;16;1;0;0;0;0;0;0;1;33;16;1;0;0;96,368056;84.6637;0;71879.4;60957.8;105000;34500;20001
5_2;1;0;0;3;0;0;0;0;35;9;1;0;0;0;0;0;0;1;35;9;1;0;0;96,622685;83.6099;0;61787.7;60199.2;52500;27500;20001
6_2;2;0;0;3;0;0;0;0;37;12;4;0;0;0;0;0;0;1;37;12;4;0;0;96,178241;93.2017;0;86770.7;67105.2;105000;86000;20001
7_2;2;0;0;3;0;0;0;0;42;17;2;0;0;0;0;0;1;2;42;17;2;1;1;93,465278;102.297;0;106185;182601;105000;54000;20001
8_2;2;0;0;3;1;0;0;0;36;18;0;0;0;0;0;0;1;3;36;18;0;0;1;92,534722;124.668;7480.11;112202;282374;105000;36500;20001
9_2;12;0;0;15;26;0;0;0;32;13;0;0;0;0;0;0;2;3;32;13;0;1;0;86,752315;128.355;200234;94982.7;439359;630000;494000;100005
10_2;3;0;0;3;1;0;0;0;32;18;1;0;0;0;0;0;2;4;32;18;1;0;1;88,956019;169.512;10170.7;148153;650418;157500;55000;20001
11_2;4;1;0;5;4;0;0;0;40;17;3;2;0;0;0;0;0;5;40;17;3;0;1;89,085648;155.618;37348.3;170246;526144;495000;293500;33335
12_2;12;1;0;16;28;0;0;0;41;19;1;0;0;0;0;0;0;5;41;19;1;0;0;85,395833;149.164;250595;153489;536989;915000;555500;106672
13_2;2;0;0;3;0;0;0;0;39;19;1;0;0;0;0;0;0;5;39;19;1;0;0;89,354167;125.69;0;125564;452484;105000;37500;20001
14_2;2;1;0;4;0;0;0;0;37;22;4;0;0;0;0;0;0;6;37;22;4;0;1;87,784722;106.296;0;120221;440703;390000;96000;26668
15_2;1;0;0;3;0;0;0;0;32;20;1;0;0;0;0;1;0;7;32;20;2;0;1;87,328704;105.205;0;96157.3;479734;52500;38500;20001
16_2;1;0;0;3;0;0;0;0;41;14;1;0;0;0;0;0;0;7;41;14;0;0;0;86,210648;84.6637;0;77636.6;426705;52500;32500;20001
17_2;2;1;0;4;0;0;0;0;35;11;2;1;0;0;0;0;0;7;35;11;2;1;0;85,224537;83.6099;0;112288;421394;390000;121500;26668
18_2;2;0;0;3;0;0;0;0;40;18;2;0;0;0;0;0;0;8;40;18;2;0;1;85,377315;93.2017;0;95811.3;492944;105000;55000;20001
19_2;2;0;0;3;0;1;0;0;37;16;1;0;0;0;0;0;0;9;37;16;1;0;1;83,164352;102.297;6137.84;92988.3;644883;105000;53000;20001
20_2;4;0;0;4;0;0;0;0;71;40;0;0;0;0;0;0;0;9;71;40;0;0;0;90,341435;124.668;0;232507;807852;210000;40000;26668
0_3;2;0;0;3;0;0;0;0;34;11;4;0;0;0;0;0;0;0;34;11;4;0;0;97,995370;149.164;0;129176;0;105000;85000;20001
1_3;2;0;0;3;0;0;0;0;33;19;1;0;0;0;0;0;0;0;33;19;1;0;0;97,895833;125.69;0;114252;0;105000;37500;20001
2_3;2;1;0;4;0;0;0;0;37;21;2;0;0;0;0;0;0;1;37;21;2;0;1;97,567130;106.296;0;110867;850.367;390000;58000;26668
3_3;1;0;0;3;0;0;0;0;31;15;1;0;0;0;0;0;0;2;31;15;1;0;1;95,729167;105.205;0;84058.7;110044;52500;33500;20001
4_3;2;0;0;3;0;0;0;0;39;13;6;0;0;0;0;0;0;2;39;13;6;0;0;94,238426;84.6637;0;88812.2;121916;105000;124000;20001
5_3;1;0;0;3;0;0;0;0;40;20;0;0;0;0;4;1;0;3;40;24;1;0;1;90,620370;83.6099;0;83609.9;255178;52500;20000;20001
6_3;2;0;0;3;0;0;0;0;34;16;1;0;0;0;0;0;0;3;34;12;0;0;0;93,138889;93.2017;0;74934.1;201316;105000;34500;20001
7_3;2;0;0;3;0;0;0;0;41;18;0;0;0;0;0;0;0;3;41;18;0;0;0;92,743056;102.297;0;99739.9;220962;105000;18000;20001
8_3;2;0;0;3;1;0;0;0;37;16;0;0;0;0;0;0;0;3;37;16;0;0;0;92,835648;124.668;7480.11;109085;269284;105000;34500;20001
9_3;12;0;0;15;26;0;0;0;32;14;2;0;0;0;0;0;0;3;32;14;2;0;0;89,472222;128.355;200234;106278;277247;630000;532000;100005
10_3;3;0;0;3;1;0;0;0;36;11;2;0;0;0;0;0;2;3;36;11;2;2;0;92,770833;169.512;10170.7;140356;378859;157500;66500;20001
11_3;4;1;0;5;4;0;0;0;31;11;1;3;0;0;0;0;0;4;31;11;1;1;1;90,696759;155.618;37348.3;202459;385621;495000;324000;33335
12_3;12;1;0;16;28;0;0;0;37;12;2;1;0;0;0;0;0;6;37;12;2;1;2;84,796296;149.164;250595;207785;521327;915000;640500;106672
13_3;2;0;0;3;0;0;0;0;46;12;0;0;0;0;0;0;1;6;46;12;0;1;0;86,754630;125.69;0;116892;602306;105000;12000;20001
14_3;2;1;0;4;0;0;0;0;39;8;2;1;0;0;0;0;0;7;39;8;2;0;1;87,761574;106.296;0;89182.2;472804;390000;118500;26668
15_3;1;0;0;3;0;0;0;0;35;11;1;0;0;0;0;0;0;7;35;11;1;0;0;86,530093;105.205;0;81954.6;530233;52500;29500;20001
16_3;1;0;0;3;0;0;0;0;37;11;2;0;0;0;0;0;0;7;37;11;2;0;0;86,381944;84.6637;0;71371.5;426705;52500;48000;20001
17_3;2;1;0;4;0;0;0;0;37;20;1;0;0;0;0;0;0;7;37;20;1;0;0;86,043981;83.6099;0;82690.2;421394;390000;38500;26668
18_3;2;0;0;3;0;0;0;0;39;19;2;0;0;0;0;0;0;7;39;19;2;0;0;85,942130;93.2017;0;96277.3;469736;105000;56000;20001
19_3;2;0;0;3;0;1;0;0;34;25;1;0;0;0;0;0;0;8;34;25;1;0;1;84,416667;102.297;6137.84;106798;575730;105000;62000;20001
20_3;4;0;0;4;0;0;0;0;75;31;3;0;0;0;0;0;0;8;75;31;3;0;0;91,195602;124.668;0;230263;718090;210000;86500;26668
0_4;2;0;0;3;0;0;0;0;40;9;0;0;0;0;0;0;0;0;40;9;0;0;0;98,194444;149.164;0;116348;0;105000;9000;20001
1_4;2;0;0;3;0;0;0;0;39;16;1;0;0;0;0;0;0;0;39;16;1;0;0;97,826389;125.69;0;118023;0;105000;34500;20001
2_4;2;1;0;4;0;0;0;0;48;14;2;0;0;0;0;0;0;0;48;14;2;0;0;97,527778;106.296;0;113524;0;390000;51000;26668
3_4;1;0;0;3;0;0;0;0;30;19;1;0;0;0;0;1;0;0;30;19;2;0;0;97,152778;105.205;0;90897;38505;52500;37500;20001
4_4;2;0;0;3;0;0;0;0;41;14;3;0;0;0;0;0;0;1;41;14;2;0;1;97,331019;84.6637;0;83393.7;14223.5;105000;69500;20001
