Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;25;10;3;0;0;0;0;0;0;0;25;10;3;0;0;97,649306;142;0;96134;0;52500;65500;13334
1_0;1;0;0;2;0;0;0;0;29;11;2;0;0;0;0;0;0;0;29;11;2;0;0;97,489583;142;0;102666;0;52500;48000;13334
2_0;1;0;0;2;0;0;0;0;26;8;1;0;0;0;0;0;0;1;26;8;1;0;1;96,333333;142;0;82928;67024;52500;26500;13334
3_0;1;0;0;2;0;0;0;0;31;8;1;0;0;0;0;0;0;2;31;8;1;0;1;94,704861;142;0;93578;122972;52500;26500;13334
4_0;1;0;0;1;0;0;0;0;10;13;1;0;0;0;0;0;0;2;10;13;1;0;0;93,458333;142;0;63048;204480;52500;31500;6667
5_0;1;0;0;2;0;0;0;0;26;10;2;0;0;0;0;0;0;2;26;10;2;0;0;92,715278;142;0;93436;204480;52500;47000;13334
6_0;2;0;0;4;4;0;0;0;32;11;1;0;0;0;0;0;0;4;32;11;1;0;2;88,819444;142;34080;104228;318932;105000;103500;26668
7_0;2;0;0;4;4;0;0;0;26;8;1;0;0;0;0;0;0;4;26;8;1;0;0;87,138889;142;34080;82928;408960;105000;100500;26668
8_0;2;1;0;4;4;0;0;0;26;10;1;0;0;0;0;0;0;7;26;10;1;0;3;82,701389;142;34080;88608;584756;390000;102500;26668
9_0;2;0;0;4;4;0;0;0;26;6;1;0;0;0;0;0;0;8;26;6;1;0;1;78,854167;142;34080;77248;753452;105000;98500;26668
10_0;2;0;0;6;7;0;0;0;22;10;2;0;0;0;0;0;0;8;22;10;2;0;0;76,465278;142;59640;84916;817920;105000;176500;40002
11_0;2;0;0;3;3;0;0;0;28;10;2;0;0;0;0;0;0;8;28;10;2;0;0;76,986111;142;25560;97696;817920;105000;102500;20001
12_0;4;1;0;9;14;0;0;0;27;19;1;1;0;0;0;0;0;8;27;19;1;1;0;72,399306;142;119280;191558;817920;495000;370000;60003
13_0;1;0;0;2;0;0;0;0;23;8;0;0;0;0;0;0;0;8;23;8;0;0;0;78,246528;142;0;71710;817920;52500;8000;13334
14_0;1;0;0;2;0;0;0;0;25;13;2;0;0;0;0;0;0;8;25;13;2;0;0;77,559028;142;0;99826;817920;52500;50000;13334
15_0;1;0;0;2;0;0;0;0;26;12;0;0;0;0;0;0;0;8;26;12;0;0;0;77,812500;142;0;89460;817920;52500;12000;13334
16_0;1;0;1;8;0;0;0;0;25;12;3;0;9;0;0;0;0;0;25;12;3;0;1;90,885417;142;0;372750;0;4552500;3.078e+06;53336
17_0;1;0;0;2;0;0;0;0;44;18;3;0;0;0;0;0;0;0;44;18;3;0;0;98,052083;142;0;159324;0;52500;73500;13334
18_0;2;0;0;5;0;4;0;0;44;24;2;0;0;0;0;0;0;1;44;24;2;0;1;97,402778;142;34080;171536;6816;105000;135000;33335
19_0;6;0;0;15;0;24;0;0;57;21;0;0;0;0;0;0;0;1;57;21;0;0;0;94,036458;142;204480;181050;102240;315000;465000;100005
20_0;3;0;0;6;0;6;0;0;51;30;2;0;0;0;0;0;0;2;51;30;2;0;1;95,227431;142;51120;203486;135752;157500;178000;40002
21_0;3;0;0;5;0;4;0;0;55;24;2;0;0;0;0;0;0;4;55;24;2;0;2;93,526042;142;34080;194966;300472;157500;135000;33335
22_0;2;1;0;4;0;2;0;0;49;18;2;0;0;0;0;0;0;5;49;18;2;0;1;92,590278;142;17040;165146;423870;390000;92000;26668
23_0;2;0;0;5;4;0;0;0;51;16;3;0;0;0;0;0;0;7;51;16;3;0;2;89,996528;142;34080;168554;615570;105000;145500;33335
24_0;2;0;0;5;4;0;0;0;50;23;3;0;0;0;0;0;0;9;50;23;3;0;2;87,175347;142;34080;186304;828570;105000;152500;33335
25_0;3;0;0;5;5;0;0;0;52;17;2;0;0;0;0;0;1;10;52;17;2;1;1;84,618056;142;42600;168696;1.04682e+06;157500;146500;33335
26_0;2;0;0;5;4;0;0;0;53;21;1;0;0;0;0;0;2;10;53;21;1;1;0;83,118056;142;34080;177358;1.16937e+06;105000;113500;33335
27_0;2;1;0;5;5;0;0;0;45;19;1;2;0;0;0;0;0;10;45;19;1;0;0;84,998264;142;42600;162022;1.0224e+06;390000;277000;33335
28_0;2;0;0;3;0;0;0;0;50;13;1;0;0;0;0;0;0;11;50;13;1;0;1;85,446181;142;0;148248;1.04214e+06;105000;31500;20001
