Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;3;0;0;0;0;46;14;0;0;0;0;0;0;0;0;46;14;0;0;0;97,958754;106.296;0;103107;0;105000;14000;20001
1_0;2;0;0;3;0;0;0;0;43;15;3;0;0;0;0;0;0;0;43;15;3;0;0;97,796717;105.205;0;110150;0;105000;70500;20001
2_0;2;0;0;3;0;0;0;0;39;18;1;0;0;0;0;0;0;2;39;18;1;0;2;97,314815;84.6637;0;82885.7;25145.1;105000;36500;20001
3_0;2;0;0;3;0;0;0;0;41;15;2;0;0;0;0;1;0;3;41;15;3;0;1;93,537458;83.6099;0;82188.6;174578;105000;52000;20001
4_0;2;0;0;3;0;0;0;0;36;15;3;0;0;0;0;0;0;3;36;15;2;0;0;93,497475;93.2017;0;86677.5;201316;105000;70500;20001
5_0;2;0;0;3;0;0;0;0;39;16;1;0;0;0;0;0;0;3;39;16;1;0;0;93,478535;102.297;0;96057.2;220962;105000;34500;20001
6_0;4;1;0;4;3;0;0;0;41;14;1;0;0;0;0;0;0;3;41;14;1;0;0;93,120791;124.668;22440.3;115817;269284;495000;88000;26668
7_0;3;0;0;3;2;0;0;0;42;16;2;0;0;0;0;0;0;3;42;16;2;0;0;93,059764;128.355;15402.6;130665;277247;157500;90000;20001
8_0;3;0;0;3;0;0;0;0;41;9;0;0;0;0;0;0;0;4;41;9;0;0;1;92,683081;169.512;0;134762;454631;157500;9000;20001
9_0;3;0;0;3;1;0;0;0;43;12;1;0;0;0;0;0;0;5;43;12;1;0;1;90,690236;155.618;9337.08;143013;536104;157500;49000;20001
10_0;3;0;0;3;2;0;0;0;41;18;1;0;0;0;0;0;0;5;41;18;1;0;0;90,048401;149.164;17899.6;150506;536989;157500;73500;20001
11_0;3;0;0;5;4;0;0;0;33;19;3;0;0;0;0;0;0;5;33;19;3;0;0;89,863215;125.69;30165.6;122799;452484;157500;148500;33335
12_0;15;0;0;30;54;0;0;0;42;16;2;0;0;0;0;0;0;5;42;16;2;0;0;83,463805;106.296;344399;108209;382665;787500;1.052e+06;200010
13_0;2;0;0;3;0;0;0;0;41;10;2;0;0;0;0;0;1;6;41;10;2;1;1;88,653199;105.205;0;92895.9;474369;105000;47000;20001
14_0;1;0;0;3;0;0;0;0;42;15;1;0;0;0;0;0;1;6;42;15;1;0;0;87,365320;84.6637;0;81615.8;426705;52500;33500;20001
15_0;2;0;0;3;0;0;0;0;43;16;0;0;0;0;0;0;1;6;43;16;0;0;0;87,363215;83.6099;0;80683.6;421394;105000;16000;20001
16_0;2;0;0;3;0;0;0;0;39;15;0;0;0;0;0;0;2;7;39;15;0;1;1;86,127946;93.2017;0;82483.5;531902;105000;15000;20001
17_0;3;1;1;10;0;0;0;0;88;38;3;1;8;0;0;0;1;0;88;38;3;0;1;95,004177;102.297;0;415737;73654.1;4942500;2.843e+06;66670
18_0;5;1;0;6;0;3;0;0;92;31;4;3;0;0;0;0;0;0;92;31;4;2;0;96,447368;124.668;22440.3;401682;0;547500;381000;40002
19_0;5;0;0;5;0;2;0;0;76;33;3;0;0;0;0;0;0;1;76;33;3;0;1;97,379908;128.355;15402.6;244131;62508.9;262500;125500;33335
