Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;36;11;1;0;0;0;0;0;0;0;36;11;1;0;0;98,329125;149.164;0;118436;0;105000;29500;13334
1_0;2;0;0;2;0;0;0;0;44;18;1;0;0;0;0;0;1;0;44;18;1;1;0;97,457912;125.69;0;132477;19356.3;105000;36500;13334
2_0;2;0;0;3;0;0;0;0;36;17;2;0;0;0;0;0;1;0;36;17;2;0;0;96,489899;106.296;0;100768;76533;105000;54000;20001
3_0;2;0;0;2;0;0;0;0;40;13;2;0;0;0;0;0;1;0;40;13;2;0;0;96,531987;105.205;0;97630.2;75747.5;105000;50000;13334
4_0;2;0;0;2;0;0;0;0;41;20;1;0;0;0;0;0;2;2;41;20;1;1;2;95,206229;84.6637;0;88812.2;104052;105000;38500;13334
5_0;2;0;0;2;0;0;0;0;47;16;3;0;0;0;0;0;2;2;47;16;3;0;0;91,567761;83.6099;0;94228.4;240797;105000;71500;13334
6_0;2;0;0;4;3;0;0;0;46;15;0;0;0;0;0;0;2;3;46;15;0;0;1;91,033249;93.2017;16776.3;92269.6;288086;105000;70500;26668
7_0;3;1;0;4;2;0;0;0;35;15;1;3;0;0;0;0;0;3;35;15;1;1;0;92,169613;102.297;12275.7;147411;220962;442500;291000;26668
8_0;2;0;0;3;1;0;0;0;36;16;1;0;0;0;0;0;0;4;36;16;1;0;1;93,007155;124.668;7480.11;111454;295340;105000;53000;20001
9_0;12;0;0;15;25;0;0;0;49;13;2;0;0;0;0;0;0;4;49;13;2;0;0;88,545875;128.355;192532;136441;369662;630000;512500;100005
10_0;5;0;0;4;3;0;0;0;39;16;1;0;0;0;0;0;0;6;39;16;1;0;2;90,090488;169.512;30512.2;159172;608548;262500;90000;26668
11_0;3;0;0;3;1;0;0;0;39;24;2;0;0;0;0;0;0;6;39;24;2;0;0;88,398569;155.618;9337.08;176315;672270;157500;79500;20001
12_0;13;0;0;18;31;0;0;0;44;10;2;0;0;0;0;0;0;6;44;10;2;0;0;85,042088;149.164;277444;138424;644387;682500;620500;120006
13_0;2;0;0;2;0;0;0;0;45;17;1;0;0;0;0;0;0;7;45;17;1;0;1;87,855640;125.69;0;131849;593508;105000;35500;13334
14_0;2;1;0;3;0;0;0;0;38;15;1;0;0;0;0;0;0;7;38;15;1;0;0;87,491582;106.296;0;96091.4;535731;390000;33500;20001
15_0;2;0;0;4;0;3;0;0;48;18;0;0;0;0;0;0;0;8;48;18;0;0;1;85,633418;105.205;18936.9;113621;585676;105000;73500;26668
