Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;2;0;0;2;0;0;0;0;36;19;1;0;0;0;0;0;0;0;36;19;1;0;0;97,992424;149.164;0;142302;0;105000;37500;13334
1_0;2;0;0;2;0;0;0;0;44;18;3;0;0;0;0;0;0;0;44;18;3;0;0;97,638889;125.69;0;141024;0;105000;73500;13334
2_0;2;0;0;2;0;0;0;0;48;15;2;0;0;0;0;0;0;0;48;15;2;0;0;97,710438;106.296;0;115650;0;105000;52000;13334
3_0;2;0;0;2;0;0;0;0;43;16;1;0;0;0;0;0;0;1;43;16;1;0;1;97,792508;105.205;0;105100;5260.25;105000;34500;13334
4_0;2;0;0;2;0;0;0;0;39;17;2;0;0;0;0;0;0;1;39;17;2;0;0;96,395202;84.6637;0;84071;60957.8;105000;54000;13334
5_0;2;0;0;2;0;0;0;0;44;15;0;0;0;0;0;0;0;1;44;15;0;0;0;96,464646;83.6099;0;80265.5;60199.2;105000;15000;13334
6_0;2;1;0;5;3;0;0;0;46;15;3;0;0;0;0;0;0;1;46;15;3;0;0;95,808081;93.2017;16776.3;101776;67105.2;390000;126000;33335
7_0;2;0;0;3;2;0;0;0;42;13;4;0;0;0;0;0;0;2;42;13;4;0;1;95,355640;102.297;12275.7;104957;108538;105000;124000;20001
8_0;2;0;0;2;0;0;0;0;42;12;0;0;0;0;0;0;0;2;42;12;0;0;0;95,138889;124.668;0;108462;179523;105000;12000;13334
9_0;13;0;0;16;27;0;0;0;40;18;0;0;0;0;0;0;0;2;40;18;0;0;0;91,540404;128.355;207935;123221;184831;682500;517500;106672
10_0;3;0;0;3;0;0;0;0;41;16;1;0;0;0;0;0;0;2;41;16;1;0;0;94,930556;169.512;0;164257;244097;157500;34500;20001
11_0;3;1;0;4;1;0;0;0;45;18;0;1;0;0;0;0;0;2;45;18;0;1;0;93,550084;155.618;9337.08;243542;224090;442500;110000;26668
12_0;14;0;0;19;33;0;0;0;41;21;3;0;0;0;0;0;0;3;41;21;3;0;1;90,330387;149.164;295344;169599;220464;735000;687000;126673
13_0;2;0;0;2;0;0;0;0;41;19;1;0;0;0;0;0;1;5;41;19;1;1;2;92,697811;125.69;0;129335;306809;105000;37500;13334
14_0;2;0;0;3;0;1;0;0;45;18;5;0;0;0;0;0;2;5;45;18;5;1;0;87,904040;106.296;6377.75;128086;476524;105000;129000;20001
15_0;2;0;0;2;0;0;0;0;42;16;0;0;0;0;0;0;2;6;42;16;0;0;1;87,304293;105.205;0;99944.7;534757;105000;16000;13334
16_0;2;0;1;11;0;2;0;0;38;11;2;0;6;0;0;0;2;0;38;11;2;0;0;94,255051;84.6637;10159.6;99056.5;121916;4605000;2.092e+06;73337
17_0;1;0;0;2;0;0;0;0;39;14;1;0;0;0;0;0;2;1;39;14;1;0;1;94,288721;83.6099;0;75165.3;151752;52500;32500;13334
18_0;2;0;0;3;0;2;0;0;47;17;1;0;0;0;0;0;2;3;47;17;1;0;2;91,752946;93.2017;11184.2;100565;253508;105000;72500;20001
19_0;2;1;0;3;0;0;0;0;40;21;1;2;0;0;0;0;0;4;40;21;1;0;1;92,215909;102.297;0;113141;265257;390000;186500;20001
20_0;4;0;0;4;0;0;0;0;97;36;3;0;0;0;0;0;0;4;97;36;3;0;0;94,614662;124.668;0;283870;359045;210000;91500;26668
21_0;15;0;0;18;0;27;0;0;86;41;5;0;0;0;0;0;1;4;86;41;5;1;0;92,527151;128.355;207935;292649;417924;787500;633000;120006
22_0;6;0;0;5;0;1;0;0;90;28;4;0;0;0;0;0;1;5;90;28;4;0;1;93,780284;169.512;10170.7;346822;652621;315000;120500;33335
23_0;6;1;0;6;0;3;0;0;88;27;4;1;0;0;0;0;0;5;88;27;4;0;0;93,941103;155.618;28011.2;314660;560225;600000;230000;40002
24_0;15;0;0;19;0;30;0;0;81;38;3;0;0;0;0;0;0;5;81;38;3;0;0;92,191938;149.164;268495;309813;536989;787500;648500;126673
25_0;3;0;0;4;0;0;0;0;81;30;5;0;0;0;0;0;1;6;81;30;5;1;1;93,640351;125.69;0;249495;515957;157500;122500;26668
26_0;3;0;1;10;0;0;1;0;78;40;4;0;7;0;0;0;1;0;78;40;4;0;1;95,102339;106.296;6377.75;415617;76533;4657500;2.474e+06;66670
27_0;3;1;0;6;2;0;0;0;91;29;5;1;0;0;0;0;0;0;91;29;5;0;0;97,638889;105.205;12624.6;225244;0;442500;232000;40002
28_0;6;0;0;12;11;0;3;0;93;33;3;0;0;0;0;0;0;0;93;33;3;0;0;96,870301;84.6637;71117.5;182619;0;315000;347500;80004
29_0;13;1;0;27;44;0;1;0;75;33;0;1;0;0;0;0;0;2;75;33;0;1;2;94,382832;83.6099;225747;193557;30434;967500;939000;180009
30_0;4;0;0;8;8;0;0;0;66;29;5;0;0;0;0;0;0;3;66;29;5;0;1;95,876149;93.2017;44736.8;162171;161146;210000;269500;53336
31_0;3;0;0;4;0;0;0;0;89;31;2;0;0;0;0;0;0;4;89;31;2;0;1;95,201546;102.297;0;206948;263109;157500;68000;26668
32_0;6;1;0;7;2;0;0;0;125;54;6;0;0;0;0;0;0;4;125;54;6;0;0;95,722917;124.668;14960.2;393828;359045;600000;202000;46669
0_1;2;0;0;2;0;0;0;0;39;20;2;0;0;0;0;0;0;0;39;20;2;0;0;97,784091;149.164;0;157069;0;105000;57000;13334
1_1;2;0;0;2;0;0;0;0;35;19;2;0;0;0;0;0;0;0;35;19;2;0;0;97,952441;125.69;0;122296;0;105000;56000;13334
2_1;2;0;0;2;0;0;0;0;27;19;0;0;0;0;0;0;0;0;27;19;0;0;0;98,348064;106.296;0;83442.2;0;105000;19000;13334
3_1;2;0;0;2;0;0;0;0;44;21;1;0;0;0;0;0;0;0;44;21;1;0;0;97,655724;105.205;0;117198;0;105000;39500;13334
4_1;2;0;0;2;0;0;0;0;45;17;0;0;0;0;0;0;0;0;45;17;0;0;0;97,864057;84.6637;0;85933.6;0;105000;17000;13334
5_1;2;0;0;2;0;0;0;0;39;20;0;0;0;0;0;0;0;1;39;20;0;0;1;96,879209;83.6099;0;82355.8;41637.8;105000;20000;13334
6_1;2;1;0;5;3;0;0;0;43;12;2;0;0;0;0;0;0;1;43;12;2;0;0;96,100589;93.2017;16776.3;88821.2;67105.2;390000;104500;33335
7_1;2;0;0;3;2;0;0;0;38;21;2;0;0;0;0;0;0;1;38;21;2;0;0;96,005892;102.297;12275.7;108231;73654.1;105000;95000;20001
8_1;2;0;0;2;0;0;0;0;42;16;2;0;0;0;0;0;0;1;42;16;2;0;0;96,342593;124.668;0;126912;89761.3;105000;53000;13334
9_1;13;0;0;16;27;0;0;0;33;16;3;0;0;0;0;0;0;1;33;16;3;0;0;93,146044;128.355;207935;117702;92415.6;682500;571000;106672
10_1;3;0;0;3;0;0;0;0;41;17;2;0;0;0;0;0;1;1;41;17;2;1;0;96,174242;169.512;0;173411;134762;157500;54000;20001
11_1;3;1;0;4;1;0;0;0;42;16;1;1;0;0;0;0;0;1;42;16;1;0;0;96,233165;155.618;9337.08;157174;112045;442500;126500;26668
12_1;14;0;0;19;33;0;0;0;49;18;2;0;0;0;0;0;1;1;49;18;2;1;0;90,452441;149.164;295344;173477;207934;735000;665500;126673
13_1;2;0;0;2;0;0;0;0;37;22;1;0;0;0;0;0;1;2;37;22;1;0;1;93,327020;125.69;0;129335;269228;105000;40500;13334
14_1;2;0;0;3;0;1;0;0;44;14;4;0;0;0;0;0;1;2;44;14;4;0;0;93,063973;106.296;6377.75;114374;229599;105000;106500;20001
15_1;2;0;0;2;0;0;0;0;42;15;3;0;0;0;0;0;1;2;42;15;3;0;0;93,282828;105.205;0;108571;227243;105000;70500;13334
16_1;2;0;1;11;0;2;0;0;44;16;2;0;5;0;0;0;1;0;44;16;2;0;3;86,388889;84.6637;10159.6;476487;60957.8;4605000;1.7625e+06;73337
17_1;1;0;0;2;0;0;0;0;38;16;2;0;0;0;0;0;1;0;38;16;2;0;0;96,468855;83.6099;0;80098.3;60199.2;52500;53000;13334
18_1;2;0;0;3;0;2;0;0;39;16;1;0;0;0;0;0;1;1;39;16;1;0;1;94,968434;93.2017;11184.2;87516.3;124145;105000;71500;20001
19_1;2;1;0;3;0;0;0;0;44;14;1;1;0;0;0;0;0;1;44;14;1;0;0;96,380471;102.297;0;102297;73654.1;390000;106000;20001
20_1;4;0;0;4;0;0;0;0;82;32;7;0;0;0;0;0;0;1;82;32;7;0;0;97,046784;124.668;0;262801;89761.3;210000;161500;26668
21_1;15;0;0;18;0;27;0;0;81;47;5;0;0;0;1;0;1;2;81;48;5;1;1;93,144319;128.355;207935;298425;336290;787500;639000;120006
22_1;6;0;0;5;0;1;0;0;83;39;3;0;0;0;0;0;2;3;83;38;3;1;1;94,412072;169.512;10170.7;358518;538370;315000;113000;33335
23_1;6;1;0;6;0;3;0;0;78;31;5;3;0;0;0;0;0;6;78;31;5;1;3;94,053885;155.618;28011.2;395581;462497;600000;399500;40002
