Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;1;0;0;0;0;26;12;1;0;0;0;0;0;0;0;26;12;1;0;0;97,694444;142;0;94288;0;52500;30500;6667
1_0;1;0;0;1;0;0;0;0;24;6;0;0;0;0;0;0;0;0;24;6;0;0;0;98,333333;142;0;68160;0;52500;6000;6667
2_0;1;0;0;2;0;0;0;0;31;13;1;0;0;0;0;0;0;0;31;13;1;0;0;97,364583;142;0;107778;0;52500;31500;13334
3_0;1;1;0;2;0;0;0;0;23;8;1;1;0;0;0;0;0;0;23;8;1;1;0;96,288194;142;0;151798;0;337500;100000;13334
4_0;1;0;0;2;0;0;0;0;20;15;1;0;0;0;0;0;0;0;20;15;1;0;0;97,798611;142;0;90028;0;52500;33500;13334
5_0;1;0;0;2;0;0;0;0;31;9;2;0;0;0;0;0;0;0;31;9;2;0;0;97,524306;142;0;101246;0;52500;46000;13334
6_0;1;0;0;1;0;0;0;0;25;5;0;0;0;0;0;0;0;0;25;5;0;0;0;98,350694;142;0;67450;0;52500;5000;6667
7_0;1;0;0;1;0;0;0;0;26;9;1;0;0;0;0;0;0;0;26;9;1;0;0;97,902778;142;0;85768;0;52500;27500;6667
8_0;1;0;0;2;0;0;0;0;28;5;1;0;0;0;0;0;0;0;28;5;1;0;0;98,076389;142;0;78668;0;52500;23500;13334
9_0;1;0;0;3;0;0;0;0;24;9;1;0;0;0;0;0;0;0;24;9;1;0;0;98,006944;142;0;81508;0;52500;27500;20001
10_0;1;0;0;3;0;0;0;0;30;13;2;0;0;0;0;0;1;0;30;13;2;1;0;97,225694;142;0;110476;2982;52500;50000;20001
11_0;1;1;0;4;0;0;0;0;20;9;1;2;0;0;0;0;0;0;20;9;1;1;0;96,284722;142;0;151940;0;337500;174500;26668
12_0;1;0;0;2;0;0;0;0;27;6;0;0;0;0;0;0;0;0;27;6;0;0;0;98,177083;142;0;74550;0;52500;6000;13334
13_0;1;0;0;2;0;0;0;0;24;10;2;0;0;0;0;0;0;0;24;10;2;0;0;97,819444;142;0;89176;0;52500;47000;13334
14_0;1;0;0;2;0;0;0;0;24;9;4;0;0;0;0;0;0;0;24;9;4;0;0;97,652778;142;0;95992;0;52500;83000;13334
15_0;3;0;0;9;14;0;0;0;24;10;1;0;0;0;0;0;0;0;24;10;1;0;0;95,020833;142;119280;84348;0;157500;287500;60003
16_0;3;0;0;9;14;0;0;0;22;11;2;0;1;0;0;0;0;0;22;11;2;0;1;89,756944;142;119280;299620;0;157500;641500;60003
17_0;1;0;0;3;3;0;0;0;23;7;2;0;0;0;0;0;0;0;23;7;2;0;0;97,454861;142;25560;78526;0;52500;99500;20001
18_0;3;0;0;6;9;0;0;0;20;7;0;0;0;0;0;0;0;0;20;7;0;0;0;96,597222;142;76680;62480;0;157500;173500;40002
19_0;1;0;0;2;0;0;0;0;30;16;2;0;0;0;0;0;0;0;30;16;2;0;0;97,090278;142;0;118996;0;52500;53000;13334
20_0;2;1;0;3;0;0;0;0;51;27;2;0;0;0;0;0;0;0;51;27;2;0;0;97,616319;142;0;194966;0;390000;64000;20001
21_0;2;0;0;3;0;0;0;0;51;11;2;0;0;0;0;0;0;0;51;11;2;0;0;98,171875;142;0;149526;0;105000;48000;20001
22_0;2;1;0;4;0;0;0;0;46;26;3;1;0;0;0;0;0;0;46;26;3;1;0;96,802083;142;0;261564;0;390000;155000;26668
23_0;2;0;0;3;0;0;0;0;52;19;0;0;0;0;0;0;0;0;52;19;0;0;0;97,986111;142;0;164720;0;105000;19000;20001
24_0;1;1;0;3;0;0;0;0;49;21;1;0;1;0;0;0;0;1;49;21;1;0;2;94,494792;142;0;380702;69580;337500;374000;20001
25_0;1;0;0;3;0;0;0;0;51;20;1;0;1;0;0;0;0;0;51;20;1;0;0;97,828125;142;0;177642;0;52500;373000;20001
26_0;1;1;0;3;0;0;0;0;51;19;2;0;1;0;0;0;0;0;51;19;2;0;1;95,303819;142;0;384110;0;337500;390500;20001
27_0;2;0;0;3;0;0;0;0;46;24;3;0;0;0;0;0;0;0;46;24;3;0;0;97,791667;142;0;180624;0;105000;79500;20001
28_0;1;0;0;3;0;0;0;0;45;14;0;0;0;0;0;0;1;0;45;14;0;1;0;97,567708;142;0;135610;63332;52500;14000;20001
29_0;1;1;0;2;0;0;0;0;46;18;2;1;0;0;0;0;1;0;46;18;2;1;0;95,888889;142;0;234016;102240;337500;128500;13334
30_0;1;0;0;2;0;0;0;0;47;18;1;0;0;0;0;0;1;1;47;18;1;0;1;96,432292;142;0;156058;135752;52500;36500;13334
31_0;1;0;0;2;0;0;0;0;50;18;4;0;0;0;0;1;2;2;50;18;5;1;1;92,750000;142;0;176932;416060;52500;92000;13334
32_0;2;0;0;4;0;0;0;0;80;41;6;0;0;0;0;0;2;2;80;41;5;0;0;94,106481;142;0;314104;408960;105000;152000;26668
0_1;1;0;0;1;0;0;0;0;31;11;0;0;0;0;0;0;0;0;31;11;0;0;0;97,621528;142;0;97270;0;52500;11000;6667
1_1;1;0;0;1;0;0;0;0;24;8;0;0;0;0;0;0;0;0;24;8;0;0;0;98,194444;142;0;73840;0;52500;8000;6667
2_1;1;0;0;2;0;0;0;0;29;10;0;0;0;0;0;0;0;0;29;10;0;0;0;97,795139;142;0;90170;0;52500;10000;13334
3_1;1;1;0;2;0;0;0;0;21;10;2;1;1;0;0;0;0;0;21;10;2;1;1;90,954861;142;0;369910;0;337500;455000;13334
4_1;1;0;0;2;0;0;0;0;26;10;2;0;0;0;0;0;0;0;26;10;2;0;0;97,715278;142;0;93436;0;52500;47000;13334
5_1;1;0;0;2;0;0;0;0;22;6;0;0;0;0;0;0;0;0;22;6;0;0;0;98,437500;142;0;63900;0;52500;6000;13334
6_1;1;0;0;1;0;0;0;0;30;8;2;0;0;0;0;0;0;0;30;8;2;0;0;97,645833;142;0;96276;0;52500;45000;6667
7_1;1;0;0;1;0;0;0;0;31;10;0;0;0;0;0;0;0;0;31;10;0;0;0;97,690972;142;0;94430;0;52500;10000;6667
8_1;1;0;0;2;0;0;0;0;25;8;0;0;1;0;0;0;0;1;25;8;0;0;2;90,590278;142;0;287834;96986;52500;342500;13334
9_1;1;0;0;3;0;0;0;0;18;10;0;0;0;0;0;0;0;1;18;10;0;0;0;95,868056;142;0;66740;102240;52500;10000;20001
10_1;1;0;0;3;0;0;0;0;24;11;3;0;0;0;0;0;0;2;24;11;3;0;1;92,694444;142;0;96844;201924;52500;66500;20001
11_1;1;1;0;4;0;0;0;0;22;8;0;1;0;0;0;0;0;2;22;8;0;1;0;91,458333;142;0;144840;204480;337500;81500;26668
12_1;1;0;0;2;0;0;0;0;22;12;1;0;1;0;0;0;0;1;22;12;1;0;0;95,222222;142;0;93152;102240;52500;365000;13334
13_1;1;0;0;2;0;0;0;0;26;8;0;0;1;0;0;0;0;1;26;8;0;0;1;90,409722;142;0;289964;102240;52500;342500;13334
14_1;1;0;0;2;0;0;0;0;26;8;0;0;1;0;0;0;0;1;26;8;0;0;1;90,409722;142;0;289964;102240;52500;342500;13334
15_1;3;0;0;9;14;0;0;0;27;9;1;0;1;0;0;0;0;0;27;9;1;0;0;94,753472;142;119280;95282;0;157500;621000;60003
16_1;3;0;0;9;14;0;0;0;19;7;1;0;0;0;0;0;0;0;19;7;1;0;0;95,489583;142;119280;65178;0;157500;284500;60003
17_1;1;0;0;3;3;0;0;0;27;10;2;0;0;0;0;0;1;0;27;10;2;1;0;95,871528;142;25560;95566;47712;52500;102500;20001
