Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;4;0;0;0;0;24;8;0;0;0;0;0;0;0;0;24;8;0;0;0;98,555556;142;0;73840;0;52500;8000;26668
1_0;1;0;0;3;0;0;0;0;29;14;1;0;0;0;0;0;0;0;29;14;1;0;0;97,919444;142;0;106358;0;52500;32500;20001
2_0;1;0;0;3;0;0;0;0;31;11;1;0;0;0;0;0;0;0;31;11;1;0;0;98,002778;142;0;102098;0;52500;29500;20001
3_0;1;0;0;4;0;0;0;0;34;12;1;0;0;0;0;0;0;0;34;12;1;0;0;97,822222;142;0;111328;0;52500;30500;26668
4_0;1;0;0;4;0;0;0;0;27;16;0;0;0;0;0;0;0;0;27;16;0;0;0;97,986111;142;0;102950;0;52500;16000;26668
5_0;1;0;0;3;0;0;0;0;34;12;1;0;0;0;0;0;0;0;34;12;1;0;0;97,822222;142;0;111328;0;52500;30500;20001
6_0;1;0;0;3;0;0;0;0;29;10;1;0;0;0;0;0;0;1;29;10;1;0;1;97,988889;142;0;94998;7810;52500;28500;20001
7_0;1;0;0;4;0;0;0;0;32;13;0;1;0;0;0;0;0;2;32;13;0;1;1;94,186111;142;0;180340;116866;52500;86500;26668
8_0;1;0;0;3;0;0;0;0;32;12;2;0;0;0;0;0;0;4;32;12;2;0;2;93,427778;142;0;111896;224076;52500;49000;20001
9_0;3;0;0;9;13;0;0;0;29;8;0;0;0;0;0;0;0;4;29;8;0;0;0;88,180556;142;110760;84490;408960;157500;248500;60003
10_0;2;0;0;4;3;0;0;0;33;9;1;0;0;0;0;0;0;4;33;9;1;0;0;89,530556;142;25560;100678;408960;105000;83000;26668
11_0;2;0;0;3;3;0;0;0;31;15;1;0;0;0;0;0;0;5;31;15;1;0;1;88,502778;142;25560;113458;448720;105000;89000;20001
12_0;7;0;0;18;31;0;0;0;35;13;3;0;0;0;0;0;0;5;35;13;3;0;0;82,369444;142;264120;125954;511200;367500;642000;120006
13_0;1;0;0;3;0;0;0;0;29;14;0;0;0;0;0;0;0;5;29;14;0;0;0;88,013889;142;0;101530;511200;52500;14000;20001
14_0;1;0;0;3;0;0;0;0;34;12;1;0;0;0;0;0;0;7;34;12;1;0;2;84,733333;142;0;111328;669104;52500;30500;20001
15_0;1;0;0;3;0;0;0;0;32;15;2;0;0;0;0;0;0;7;32;15;2;0;0;83,644444;142;0;120416;715680;52500;52000;20001
16_0;1;0;0;3;0;0;0;0;34;9;2;0;0;0;0;0;0;7;34;9;2;0;0;83,894444;142;0;107636;715680;52500;46000;20001
17_0;1;0;0;3;0;0;0;0;26;12;2;0;0;0;0;0;0;7;26;12;2;0;0;84,061111;142;0;99116;715680;52500;49000;20001
18_0;1;0;1;10;0;0;0;0;30;10;0;0;8;0;0;0;0;0;30;10;0;0;1;93,038889;142;0;355852;0;4552500;2.686e+06;66670
19_0;1;0;0;4;0;0;0;0;31;14;1;0;0;0;0;0;0;0;31;14;1;0;0;97,836111;142;0;110618;0;52500;32500;26668
20_0;2;0;0;4;0;0;0;0;61;28;5;0;0;0;0;0;0;0;61;28;5;0;0;97,715278;142;0;233590;0;105000;120500;26668
21_0;4;0;0;10;0;13;0;0;60;23;3;0;0;0;0;0;0;0;60;23;3;0;0;96,886111;142;110760;207604;0;210000;319000;66670
22_0;2;1;0;5;0;3;0;0;62;26;3;0;0;0;0;0;0;0;62;26;3;0;0;97,594444;142;25560;220384;0;390000;137000;33335
23_0;7;0;0;18;0;30;0;0;64;30;1;0;0;0;0;0;1;0;64;30;1;1;0;94,343056;142;255600;226348;96418;367500;603500;120006
24_0;3;0;0;6;0;4;0;0;66;28;1;1;0;0;0;0;0;2;66;28;1;0;2;96,834722;142;34080;228620;60918;157500;194000;40002
25_0;2;0;0;4;0;0;0;0;62;26;0;0;0;0;0;0;0;3;62;26;0;0;1;95,797222;142;0;205900;223792;105000;26000;26668
26_0;3;0;0;5;3;0;0;0;61;17;5;0;0;0;0;0;0;3;61;17;5;0;0;94,770833;142;25560;202350;306720;157500;165000;33335
27_0;6;0;0;13;20;0;0;0;60;26;3;0;0;0;0;0;0;4;60;26;3;0;1;92,441667;142;170400;216124;386240;315000;451500;86671
28_0;3;0;0;6;6;0;0;0;69;21;0;0;0;0;0;0;0;4;69;21;0;0;0;93,479167;142;51120;206610;408960;157500;132000;40002
29_0;4;0;0;8;10;0;0;0;62;18;3;0;0;0;0;0;0;4;62;18;3;0;0;93,233333;142;85200;197664;408960;210000;258500;53336
30_0;2;0;0;5;4;0;0;0;52;29;1;0;0;0;0;0;0;5;52;29;1;0;1;92,755556;142;34080;197948;508644;105000;121500;33335
31_0;3;0;0;5;3;0;0;0;61;17;2;0;0;0;0;0;0;6;61;17;2;0;1;92,004167;142;25560;187866;604068;157500;109500;33335
32_0;3;0;0;7;4;0;0;0;92;45;1;1;0;0;0;0;0;8;92;45;1;1;2;92,739815;142;34080;403848;675494;157500;211000;46669
0_1;1;0;0;4;0;0;0;0;37;13;2;1;0;0;0;0;0;0;37;13;2;1;0;96,075000;142;0;200646;0;52500;123500;26668
1_1;1;0;0;3;0;0;0;0;30;20;1;0;0;0;0;0;0;0;30;20;1;0;0;97,544444;142;0;125528;0;52500;38500;20001
2_1;1;0;0;3;0;0;0;0;26;9;2;0;0;0;0;0;0;0;26;9;2;0;0;98,227778;142;0;90596;0;52500;46000;20001
3_1;1;0;0;4;0;0;0;0;31;16;0;1;0;0;0;0;0;0;31;16;0;1;0;96,347222;142;0;186730;0;52500;89500;26668
4_1;1;0;0;4;0;0;0;0;36;12;0;0;0;0;0;0;0;0;36;12;0;0;0;97,833333;142;0;110760;0;52500;12000;26668
5_1;1;0;0;3;0;0;0;0;38;9;3;0;0;0;0;0;0;0;38;9;3;0;0;97,633333;142;0;120984;0;52500;64500;20001
6_1;1;0;0;3;0;0;0;0;31;17;1;0;0;0;0;0;0;0;31;17;1;0;0;97,669444;142;0;119138;0;52500;35500;20001
7_1;1;0;0;4;0;0;0;0;27;16;0;0;0;0;0;0;0;0;27;16;0;0;0;97,986111;142;0;102950;0;52500;16000;26668
8_1;1;0;0;3;0;0;0;0;28;9;2;0;0;0;0;0;0;0;28;9;2;0;0;98,144444;142;0;94856;0;52500;46000;20001
9_1;3;0;0;9;13;0;0;0;30;15;0;0;0;0;0;0;0;0;30;15;0;0;0;95,750000;142;110760;106500;0;157500;255500;60003
10_1;2;0;0;4;3;0;0;0;27;17;2;0;0;0;0;0;0;0;27;17;2;0;0;97,241667;142;25560;115446;0;105000;109500;26668
11_1;2;0;0;3;3;0;0;0;33;12;2;0;0;0;0;0;0;0;33;12;2;0;0;97,269444;142;25560;114026;0;105000;104500;20001
12_1;7;0;0;18;31;0;0;0;33;10;1;1;0;0;0;0;0;0;33;10;1;1;0;91,336111;142;264120;178778;0;367500;675500;120006
13_1;1;0;0;3;0;0;0;0;31;8;2;0;0;0;0;0;0;0;31;8;2;0;0;98,075000;142;0;98406;0;52500;45000;20001
14_1;1;0;0;3;0;0;0;0;22;15;0;0;0;0;0;0;0;0;22;15;0;0;0;98,250000;142;0;89460;0;52500;15000;20001
15_1;1;0;0;3;0;0;0;0;33;9;2;0;0;0;0;0;0;0;33;9;2;0;0;97,936111;142;0;105506;0;52500;46000;20001
16_1;1;0;0;3;0;0;0;0;31;8;1;0;0;0;0;0;0;0;31;8;1;0;0;98,169444;142;0;93578;0;52500;26500;20001
17_1;1;0;0;3;0;0;0;0;32;16;3;0;0;0;0;0;0;0;32;16;3;0;0;97,494444;142;0;128084;0;52500;71500;20001
18_1;1;0;1;10;0;0;0;0;28;9;0;1;0;0;0;0;0;0;28;9;0;1;0;96,861111;142;0;160460;0;4552500;82500;66670
19_1;1;0;0;4;0;0;0;0;28;11;2;0;0;0;0;0;0;0;28;11;2;0;0;98,033333;142;0;100536;0;52500;48000;26668
20_1;2;0;0;4;0;0;0;0;61;23;6;1;0;0;0;0;1;0;61;23;6;2;0;96,241667;142;0;299478;84774;105000;207500;26668
