Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Al_2Y_NO_0_120;47356590,223502;0,367000;94,729784;94,573365;6696653,341163;14502834,500000;8677500,000000;5135300,000000;690034,500000;Al;2Y;NO;0;120;
Al_2Y_NO_0_150;60324716,731592;1,136000;94,303673;94,168057;8996021,382738;17071360,000000;9933750,000000;6270900,000000;866710,000000;Al;2Y;NO;0;150;
Al_2Y_NO_0_200;199479465,991248;0,511000;79,230185;77,412646;59285185,198129;22145172,000000;13312500,000000;7725950,000000;1106722,000000;Al;2Y;NO;0;200;
Al_2Y_NO_0_80;39136719,915632;0,297000;94,304036;94,142780;4818673,393254;11719490,500000;7665000,000000;3577800,000000;476690,500000;Al;2Y;NO;0;80;
Al_Su_NO_0_120;6591526,389910;0,011000;96,241590;96,264823;3713035,908012;4102750,000000;2460000,000000;1309400,000000;333350,000000;Al;Su;NO;0;120;
Al_Su_NO_0_150;7107846,597968;0,013000;96,942068;96,940004;3802322,158328;5619286,000000;3600000,000000;1632600,000000;386686,000000;Al;Su;NO;0;150;
Al_Su_NO_0_200;10176225,921338;0,021000;96,609352;96,630622;5582343,311680;6791624,000000;4230000,000000;2081600,000000;480024,000000;Al;Su;NO;0;200;
Al_Su_NO_0_80;3972823,195028;0,009000;96,737500;96,775172;2137141,414104;2881146,000000;1830000,000000;797800,000000;253346,000000;Al;Su;NO;0;80;
Al_Ye_NO_0_120;18100325,407576;0,027000;94,490625;94,140063;7231362,672596;5157850,000000;3577500,000000;1247000,000000;333350,000000;Al;Ye;NO;0;120;
Al_Ye_NO_0_150;23187352,930480;0,019000;94,243256;93,776298;9600326,376290;5512819,000000;3712500,000000;1420300,000000;380019,000000;Al;Ye;NO;0;150;
Al_Ye_NO_0_200;27952047,950632;0,030000;96,376076;96,334477;7538968,482136;15069361,000000;10192500,000000;4323500,000000;553361,000000;Al;Ye;NO;0;200;
Al_Ye_NO_0_80;13406156,868090;0,039000;94,101215;93,785594;5112526,559424;4192947,000000;2947500,000000;972100,000000;273347,000000;Al;Ye;NO;0;80;
Ba_2SL_Al_10_120;15353309,753470;0,045000;95,045440;94,966388;3529425,590475;5321864,000000;2270000,000000;2660733,333333;391130,666667;Ba;2SL;Al;10;120;
Ba_2SL_Al_10_150;18723295,459224;0,030000;95,344861;95,297041;4215219,734265;6328822,666667;2775000,000000;3100466,666667;453356,000000;Ba;2SL;Al;10;150;
Ba_2SL_Al_10_200;26124653,736502;0,041000;94,877422;94,912682;6125060,531615;8260585,333333;3665000,000000;4000000,000000;595585,333333;Ba;2SL;Al;10;200;
Ba_2SL_Al_10_80;9503411,293932;0,026000;95,602857;95,522608;2096857,550685;3606992,666667;1295000,000000;2014200,000000;297792,666667;Ba;2SL;Al;10;80;
Ba_2SL_Al_15_120;14480750,477452;0,043000;95,324164;95,479857;3178228,315280;5593508,000000;2200000,000000;3011266,666667;382241,333333;Ba;2SL;Al;15;120;
Ba_2SL_Al_15_150;19100782,914622;0,041000;94,898448;94,848368;4616104,341739;6709867,333333;2740000,000000;3512066,666667;457800,666667;Ba;2SL;Al;15;150;
Ba_2SL_Al_15_200;24682054,212994;0,031000;95,296620;95,388188;5548987,361453;8427140,000000;3440000,000000;4409333,333333;577806,666667;Ba;2SL;Al;15;200;
Ba_2SL_Al_15_80;8940977,547046;0,040000;95,902331;95,947379;1884748,645637;3756726,000000;1365000,000000;2093933,333333;297792,666667;Ba;2SL;Al;15;80;
Ba_2SL_Al_5_120;22862370,723750;0,078000;92,112115;92,141101;5850317,556288;4833485,333333;2770000,000000;1690133,333333;373352,000000;Ba;2SL;Al;5;120;
Ba_2SL_Al_5_150;22478718,244834;0,039000;93,421976;93,475438;5950787,889536;5303333,333333;2880000,000000;1978866,666667;444466,666667;Ba;2SL;Al;5;150;
Ba_2SL_Al_5_200;31285199,107386;0,064000;93,674908;93,745370;7699063,741933;7435562,000000;4165000,000000;2697200,000000;573362,000000;Ba;2SL;Al;5;200;
Ba_2SL_Al_5_80;14017336,208906;0,041000;93,910052;94,029339;2976778,345603;3543570,000000;2160000,000000;1094666,666667;288903,333333;Ba;2SL;Al;5;80;
Ba_2SL_Cr_10_120;19363371,868636;0,051000;93,856758;93,898272;4541003,537779;5036019,333333;2960000,000000;1689333,333333;386686,000000;Ba;2SL;Cr;10;120;
Ba_2SL_Cr_10_150;22429075,615336;0,047000;94,247299;94,253539;5278629,206441;6038844,666667;3430000,000000;2159933,333333;448911,333333;Ba;2SL;Cr;10;150;
Ba_2SL_Cr_10_200;28275732,794218;0,052000;94,657614;94,773208;6436836,868145;7347072,666667;4010000,000000;2772600,000000;564472,666667;Ba;2SL;Cr;10;200;
Ba_2SL_Cr_10_80;13804505,060948;0,046000;93,018829;92,986571;3468927,952232;3263701,333333;1970000,000000;1044800,000000;248901,333333;Ba;2SL;Cr;10;80;
Ba_2SL_Cr_15_120;16873452,411180;0,050000;94,394322;94,433926;4065878,906959;4713351,333333;2700000,000000;1653333,333333;360018,000000;Ba;2SL;Cr;15;120;
Ba_2SL_Cr_15_150;21197076,058634;0,060000;94,930690;95,058345;4579428,401877;5847466,000000;3345000,000000;2071333,333333;431132,666667;Ba;2SL;Cr;15;150;
Ba_2SL_Cr_15_200;27217339,225902;0,074000;94,640415;94,669608;6527080,034645;7244628,000000;3940000,000000;2744600,000000;560028,000000;Ba;2SL;Cr;15;200;
